codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
51380,47.99A,120,49.083333,4.216667
51380,47.99A,120,49.133333,4.2
51380,47.99A,120,49.15,4.166667
51380,47.99A,120,49.1,4.183333
51380,64.11,20,49.083333,4.216667
51380,64.11,20,49.133333,4.2
51380,64.11,20,49.15,4.166667
51380,64.11,20,49.1,4.183333
51380,70.3A,8,49.083333,4.216667
51380,70.3A,8,49.133333,4.2
51380,70.3A,8,49.15,4.166667
51380,70.3A,8,49.1,4.183333
51380,65.12Z,16,49.083333,4.216667
51380,65.12Z,16,49.133333,4.2
51380,65.12Z,16,49.15,4.166667
51380,65.12Z,16,49.1,4.183333
51380,46.45Z,8,49.083333,4.216667
51380,46.45Z,8,49.133333,4.2
51380,46.45Z,8,49.15,4.166667
51380,46.45Z,8,49.1,4.183333
51380,55.3A,28,49.083333,4.216667
51380,55.3A,28,49.133333,4.2
51380,55.3A,28,49.15,4.166667
51380,55.3A,28,49.1,4.183333
51380,43.22A,28,49.083333,4.216667
51380,43.22A,28,49.133333,4.2
51380,43.22A,28,49.15,4.166667
51380,43.22A,28,49.1,4.183333
51380,41.10A,4,49.083333,4.216667
51380,41.10A,4,49.133333,4.2
51380,41.10A,4,49.15,4.166667
51380,41.10A,4,49.1,4.183333
51380,67.05,8,49.083333,4.216667
51380,67.05,8,49.133333,4.2
51380,67.05,8,49.15,4.166667
51380,67.05,8,49.1,4.183333
51380,93.0D,20,49.083333,4.216667
51380,93.0D,20,49.133333,4.2
51380,93.0D,20,49.15,4.166667
51380,93.0D,20,49.1,4.183333
51380,02.10Z,16,49.083333,4.216667
51380,02.10Z,16,49.133333,4.2
51380,02.10Z,16,49.15,4.166667
51380,02.10Z,16,49.1,4.183333
51380,01.1F,8,49.083333,4.216667
51380,01.1F,8,49.133333,4.2
51380,01.1F,8,49.15,4.166667
51380,01.1F,8,49.1,4.183333
51380,01.11Z,128,49.083333,4.216667
51380,01.11Z,128,49.133333,4.2
51380,01.11Z,128,49.15,4.166667
51380,01.11Z,128,49.1,4.183333
51380,47.79Z,8,49.083333,4.216667
51380,47.79Z,8,49.133333,4.2
51380,47.79Z,8,49.15,4.166667
