codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
51520,01.11Z,65,48.9,4.4
51520,01.11Z,65,48.916667,4.4
51520,01.11Z,65,48.983333,4.333333
51520,01.11Z,65,48.983333,4.316667
51520,01.11Z,65,49.033333,4.316667
51520,01.47Z,10,48.9,4.4
51520,01.47Z,10,48.916667,4.4
51520,01.47Z,10,48.983333,4.333333
51520,01.47Z,10,48.983333,4.316667
51520,01.47Z,10,49.033333,4.316667
51520,84.11Z,10,48.9,4.4
51520,84.11Z,10,48.916667,4.4
51520,84.11Z,10,48.983333,4.333333
51520,84.11Z,10,48.983333,4.316667
51520,84.11Z,10,49.033333,4.316667
51520,01.3Z,15,48.9,4.4
51520,01.3Z,15,48.916667,4.4
51520,01.3Z,15,48.983333,4.333333
51520,01.3Z,15,48.983333,4.316667
51520,01.3Z,15,49.033333,4.316667
51520,01.4A,5,48.9,4.4
51520,01.4A,5,48.916667,4.4
51520,01.4A,5,48.983333,4.333333
51520,01.4A,5,48.983333,4.316667
51520,01.4A,5,49.033333,4.316667
51520,93.12Z,5,48.9,4.4
51520,93.12Z,5,48.916667,4.4
51520,93.12Z,5,48.983333,4.333333
51520,93.12Z,5,48.983333,4.316667
51520,93.12Z,5,49.033333,4.316667
51520,42.99Z,5,48.9,4.4
51520,42.99Z,5,48.916667,4.4
51520,42.99Z,5,48.983333,4.333333
51520,42.99Z,5,48.983333,4.316667
51520,42.99Z,5,49.033333,4.316667
51520,01.50Z,10,48.9,4.4
51520,01.50Z,10,48.916667,4.4
51520,01.50Z,10,48.983333,4.333333
51520,01.50Z,10,48.983333,4.316667
51520,01.50Z,10,49.033333,4.316667
51520,85.3K,5,48.9,4.4
51520,85.3K,5,48.916667,4.4
51520,85.3K,5,48.983333,4.333333
51520,85.3K,5,48.983333,4.316667
51520,85.3K,5,49.033333,4.316667
51520,01.2J,5,48.9,4.4
51520,01.2J,5,48.916667,4.4
51520,01.2J,5,48.983333,4.333333
51520,01.2J,5,48.983333,4.316667
51520,01.2J,5,49.033333,4.316667
51520,01.61Z,10,48.9,4.4
51520,01.61Z,10,48.916667,4.4
51520,01.61Z,10,48.983333,4.333333
51520,01.61Z,10,48.983333,4.316667
51520,01.61Z,10,49.033333,4.316667
51520,35.11Z,5,48.9,4.4
51520,35.11Z,5,48.916667,4.4
51520,35.11Z,5,48.983333,4.333333
51520,35.11Z,5,48.983333,4.316667
51520,35.11Z,5,49.033333,4.316667
51520,01.1A,50,48.9,4.4
51520,01.1A,50,48.916667,4.4
51520,01.1A,50,48.983333,4.333333
51520,01.1A,50,48.983333,4.316667
51520,01.1A,50,49.033333,4.316667
51520,01.46Z,5,48.9,4.4
51520,01.46Z,5,48.916667,4.4
51520,01.46Z,5,48.983333,4.333333
51520,01.46Z,5,48.983333,4.316667
51520,01.46Z,5,49.033333,4.316667
51520,01.62Z,10,48.9,4.4
51520,01.62Z,10,48.916667,4.4
51520,01.62Z,10,48.983333,4.333333
51520,01.62Z,10,48.983333,4.316667
51520,01.62Z,10,49.033333,4.316667
51520,88.99B,5,48.9,4.4
51520,88.99B,5,48.916667,4.4
51520,88.99B,5,48.983333,4.333333
51520,88.99B,5,48.983333,4.316667
51520,88.99B,5,49.033333,4.316667
51520,93.29Z,5,48.9,4.4
51520,93.29Z,5,48.916667,4.4
51520,93.29Z,5,48.983333,4.333333
51520,93.29Z,5,48.983333,4.316667
51520,93.29Z,5,49.033333,4.316667
51520,68.20B,10,48.9,4.4
51520,68.20B,10,48.916667,4.4
51520,68.20B,10,48.983333,4.333333
51520,68.20B,10,48.983333,4.316667
51520,68.20B,10,49.033333,4.316667
