codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
52190,47.99A,18,47.75,5.216667
52190,47.99A,18,"",""
52190,47.99A,18,47.7,5.166667
52190,47.99A,18,47.65,5.283333
52190,47.99A,18,47.716667,5.266667
52190,47.99A,18,47.733333,5.416667
52190,47.99A,18,47.666667,5.233333
52190,47.99A,18,47.666667,5.283333
52190,47.99A,18,47.616667,5.266667
52190,47.99A,18,47.666667,5.316667
52190,47.99A,18,"",""
52190,47.99A,18,47.733333,5.216667
52190,47.99A,18,47.65,5.3
52190,47.99A,18,47.683333,5.35
52190,47.99A,18,47.633333,5.35
52190,47.99A,18,"",""
52190,47.99A,18,47.716667,5.383333
52190,47.99A,18,47.733333,5.183333
52190,47.04,18,47.75,5.216667
52190,47.04,18,"",""
52190,47.04,18,47.7,5.166667
52190,47.04,18,47.65,5.283333
52190,47.04,18,47.716667,5.266667
52190,47.04,18,47.733333,5.416667
52190,47.04,18,47.666667,5.233333
52190,47.04,18,47.666667,5.283333
52190,47.04,18,47.616667,5.266667
52190,47.04,18,47.666667,5.316667
52190,47.04,18,"",""
52190,47.04,18,47.733333,5.216667
52190,47.04,18,47.65,5.3
52190,47.04,18,47.683333,5.35
52190,47.04,18,47.633333,5.35
52190,47.04,18,"",""
52190,47.04,18,47.716667,5.383333
52190,47.04,18,47.733333,5.183333
52190,01.11Z,72,47.75,5.216667
52190,01.11Z,72,"",""
52190,01.11Z,72,47.7,5.166667
52190,01.11Z,72,47.65,5.283333
52190,01.11Z,72,47.716667,5.266667
52190,01.11Z,72,47.733333,5.416667
52190,01.11Z,72,47.666667,5.233333
52190,01.11Z,72,47.666667,5.283333
52190,01.11Z,72,47.616667,5.266667
52190,01.11Z,72,47.666667,5.316667
52190,01.11Z,72,"",""
52190,01.11Z,72,47.733333,5.216667
52190,01.11Z,72,47.65,5.3
52190,01.11Z,72,47.683333,5.35
52190,01.11Z,72,47.633333,5.35
52190,01.11Z,72,"",""
52190,01.11Z,72,47.716667,5.383333
52190,01.11Z,72,47.733333,5.183333
52190,95.29Z,18,47.75,5.216667
52190,95.29Z,18,"",""
52190,95.29Z,18,47.7,5.166667
52190,95.29Z,18,47.65,5.283333
52190,95.29Z,18,47.716667,5.266667
52190,95.29Z,18,47.733333,5.416667
52190,95.29Z,18,47.666667,5.233333
52190,95.29Z,18,47.666667,5.283333
52190,95.29Z,18,47.616667,5.266667
52190,95.29Z,18,47.666667,5.316667
52190,95.29Z,18,"",""
52190,95.29Z,18,47.733333,5.216667
52190,95.29Z,18,47.65,5.3
52190,95.29Z,18,47.683333,5.35
52190,95.29Z,18,47.633333,5.35
52190,95.29Z,18,"",""
52190,95.29Z,18,47.716667,5.383333
52190,95.29Z,18,47.733333,5.183333
52190,68.20A,18,47.75,5.216667
52190,68.20A,18,"",""
52190,68.20A,18,47.7,5.166667
52190,68.20A,18,47.65,5.283333
52190,68.20A,18,47.716667,5.266667
52190,68.20A,18,47.733333,5.416667
52190,68.20A,18,47.666667,5.233333
52190,68.20A,18,47.666667,5.283333
52190,68.20A,18,47.616667,5.266667
52190,68.20A,18,47.666667,5.316667
52190,68.20A,18,"",""
52190,68.20A,18,47.733333,5.216667
52190,68.20A,18,47.65,5.3
52190,68.20A,18,47.683333,5.35
52190,68.20A,18,47.633333,5.35
