codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
52260,47.99A,10,47.95,5.266667
52260,47.99A,10,47.916667,5.2
52260,47.99A,10,47.95,5.216667
52260,47.99A,10,47.916667,5.283333
52260,47.99A,10,47.9,5.25
52260,01.11Z,10,47.95,5.266667
52260,01.11Z,10,47.916667,5.2
52260,01.11Z,10,47.95,5.216667
52260,01.11Z,10,47.916667,5.283333
52260,01.11Z,10,47.9,5.25
52260,46.23Z,10,47.95,5.266667
52260,46.23Z,10,47.916667,5.2
52260,46.23Z,10,47.95,5.216667
52260,46.23Z,10,47.916667,5.283333
52260,46.23Z,10,47.9,5.25
52260,55.60,5,47.95,5.266667
52260,55.60,5,47.916667,5.2
52260,55.60,5,47.95,5.216667
52260,55.60,5,47.916667,5.283333
52260,55.60,5,47.9,5.25
52260,74.10Z,5,47.95,5.266667
52260,74.10Z,5,47.916667,5.2
52260,74.10Z,5,47.95,5.216667
52260,74.10Z,5,47.916667,5.283333
52260,74.10Z,5,47.9,5.25
52260,84.11Z,25,47.95,5.266667
52260,84.11Z,25,47.916667,5.2
52260,84.11Z,25,47.95,5.216667
52260,84.11Z,25,47.916667,5.283333
52260,84.11Z,25,47.9,5.25
52260,94.99Z,5,47.95,5.266667
52260,94.99Z,5,47.916667,5.2
52260,94.99Z,5,47.95,5.216667
52260,94.99Z,5,47.916667,5.283333
52260,94.99Z,5,47.9,5.25
52260,42.99Z,5,47.95,5.266667
52260,42.99Z,5,47.916667,5.2
52260,42.99Z,5,47.95,5.216667
52260,42.99Z,5,47.916667,5.283333
52260,42.99Z,5,47.9,5.25
52260,01.50Z,15,47.95,5.266667
52260,01.50Z,15,47.916667,5.2
52260,01.50Z,15,47.95,5.216667
52260,01.50Z,15,47.916667,5.283333
52260,01.50Z,15,47.9,5.25
52260,68.31Z,5,47.95,5.266667
52260,68.31Z,5,47.916667,5.2
52260,68.31Z,5,47.95,5.216667
52260,68.31Z,5,47.916667,5.283333
52260,68.31Z,5,47.9,5.25
52260,37.1Z,5,47.95,5.266667
52260,37.1Z,5,47.916667,5.2
52260,37.1Z,5,47.95,5.216667
52260,37.1Z,5,47.916667,5.283333
52260,37.1Z,5,47.9,5.25
52260,45.20A,5,47.95,5.266667
52260,45.20A,5,47.916667,5.2
52260,45.20A,5,47.95,5.216667
52260,45.20A,5,47.916667,5.283333
52260,45.20A,5,47.9,5.25
52260,18.12Z,5,47.95,5.266667
52260,18.12Z,5,47.916667,5.2
52260,18.12Z,5,47.95,5.216667
52260,18.12Z,5,47.916667,5.283333
52260,18.12Z,5,47.9,5.25
52260,01.1A,5,47.95,5.266667
52260,01.1A,5,47.916667,5.2
52260,01.1A,5,47.95,5.216667
52260,01.1A,5,47.916667,5.283333
52260,01.1A,5,47.9,5.25
52260,88.99B,5,47.95,5.266667
52260,88.99B,5,47.916667,5.2
52260,88.99B,5,47.95,5.216667
52260,88.99B,5,47.916667,5.283333
52260,88.99B,5,47.9,5.25
52260,47.89Z,5,47.95,5.266667
52260,47.89Z,5,47.916667,5.2
52260,47.89Z,5,47.95,5.216667
52260,47.89Z,5,47.916667,5.283333
52260,47.89Z,5,47.9,5.25
52260,45.2V,5,47.95,5.266667
52260,45.2V,5,47.916667,5.2
52260,45.2V,5,47.95,5.216667
52260,45.2V,5,47.916667,5.283333
52260,45.2V,5,47.9,5.25
52260,43.21A,5,47.95,5.266667
52260,43.21A,5,47.916667,5.2
52260,43.21A,5,47.95,5.216667
52260,43.21A,5,47.916667,5.283333
52260,43.21A,5,47.9,5.25
52260,68.20B,5,47.95,5.266667
52260,68.20B,5,47.916667,5.2
52260,68.20B,5,47.95,5.216667
52260,68.20B,5,47.916667,5.283333
52260,68.20B,5,47.9,5.25
