codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
52310,47.99A,8,48.233333,5.116667
52310,47.99A,8,48.233333,5.133333
52310,47.99A,8,48.216667,5.083333
52310,47.99A,8,48.216667,5.066667
52310,47.99A,8,48.2,5.066667
52310,47.99A,8,48.216667,5.116667
52310,47.99A,8,48.2,5.133333
52310,47.99A,8,48.2,5.083333
52310,02.10Z,16,48.233333,5.116667
52310,02.10Z,16,48.233333,5.133333
52310,02.10Z,16,48.216667,5.083333
52310,02.10Z,16,48.216667,5.066667
52310,02.10Z,16,48.2,5.066667
52310,02.10Z,16,48.216667,5.116667
52310,02.10Z,16,48.2,5.133333
52310,02.10Z,16,48.2,5.083333
52310,01.11Z,96,48.233333,5.116667
52310,01.11Z,96,48.233333,5.133333
52310,01.11Z,96,48.216667,5.083333
52310,01.11Z,96,48.216667,5.066667
52310,01.11Z,96,48.2,5.066667
52310,01.11Z,96,48.216667,5.116667
52310,01.11Z,96,48.2,5.133333
52310,01.11Z,96,48.2,5.083333
52310,49.41A,8,48.233333,5.116667
52310,49.41A,8,48.233333,5.133333
52310,49.41A,8,48.216667,5.083333
52310,49.41A,8,48.216667,5.066667
52310,49.41A,8,48.2,5.066667
52310,49.41A,8,48.216667,5.116667
52310,49.41A,8,48.2,5.133333
52310,49.41A,8,48.2,5.083333
52310,01.47Z,16,48.233333,5.116667
52310,01.47Z,16,48.233333,5.133333
52310,01.47Z,16,48.216667,5.083333
52310,01.47Z,16,48.216667,5.066667
52310,01.47Z,16,48.2,5.066667
52310,01.47Z,16,48.216667,5.116667
52310,01.47Z,16,48.2,5.133333
52310,01.47Z,16,48.2,5.083333
52310,81.30Z,8,48.233333,5.116667
52310,81.30Z,8,48.233333,5.133333
52310,81.30Z,8,48.216667,5.083333
52310,81.30Z,8,48.216667,5.066667
52310,81.30Z,8,48.2,5.066667
52310,81.30Z,8,48.216667,5.116667
52310,81.30Z,8,48.2,5.133333
52310,81.30Z,8,48.2,5.083333
52310,84.11Z,24,48.233333,5.116667
52310,84.11Z,24,48.233333,5.133333
52310,84.11Z,24,48.216667,5.083333
52310,84.11Z,24,48.216667,5.066667
52310,84.11Z,24,48.2,5.066667
52310,84.11Z,24,48.216667,5.116667
52310,84.11Z,24,48.2,5.133333
52310,84.11Z,24,48.2,5.083333
52310,01.3Z,24,48.233333,5.116667
52310,01.3Z,24,48.233333,5.133333
52310,01.3Z,24,48.216667,5.083333
52310,01.3Z,24,48.216667,5.066667
52310,01.3Z,24,48.2,5.066667
52310,01.3Z,24,48.216667,5.116667
52310,01.3Z,24,48.2,5.133333
52310,01.3Z,24,48.2,5.083333
52310,43.22B,8,48.233333,5.116667
52310,43.22B,8,48.233333,5.133333
52310,43.22B,8,48.216667,5.083333
52310,43.22B,8,48.216667,5.066667
52310,43.22B,8,48.2,5.066667
52310,43.22B,8,48.216667,5.116667
52310,43.22B,8,48.2,5.133333
52310,43.22B,8,48.2,5.083333
52310,00.10,8,48.233333,5.116667
52310,00.10,8,48.233333,5.133333
52310,00.10,8,48.216667,5.083333
52310,00.10,8,48.216667,5.066667
52310,00.10,8,48.2,5.066667
52310,00.10,8,48.216667,5.116667
52310,00.10,8,48.2,5.133333
52310,00.10,8,48.2,5.083333
52310,97.22,8,48.233333,5.116667
52310,97.22,8,48.233333,5.133333
52310,97.22,8,48.216667,5.083333
52310,97.22,8,48.216667,5.066667
52310,97.22,8,48.2,5.066667
52310,97.22,8,48.216667,5.116667
52310,97.22,8,48.2,5.133333
52310,97.22,8,48.2,5.083333
52310,56.10A,8,48.233333,5.116667
52310,56.10A,8,48.233333,5.133333
52310,56.10A,8,48.216667,5.083333
52310,56.10A,8,48.216667,5.066667
52310,56.10A,8,48.2,5.066667
52310,56.10A,8,48.216667,5.116667
52310,56.10A,8,48.2,5.133333
52310,56.10A,8,48.2,5.083333
52310,77.31Z,8,48.233333,5.116667
52310,77.31Z,8,48.233333,5.133333
52310,77.31Z,8,48.216667,5.083333
52310,77.31Z,8,48.216667,5.066667
52310,77.31Z,8,48.2,5.066667
52310,77.31Z,8,48.216667,5.116667
52310,77.31Z,8,48.2,5.133333
52310,77.31Z,8,48.2,5.083333
52310,02.20,16,48.233333,5.116667
52310,02.20,16,48.233333,5.133333
52310,02.20,16,48.216667,5.083333
52310,02.20,16,48.216667,5.066667
52310,02.20,16,48.2,5.066667
52310,02.20,16,48.216667,5.116667
52310,02.20,16,48.2,5.133333
52310,02.20,16,48.2,5.083333
52310,46.34Z,8,48.233333,5.116667
52310,46.34Z,8,48.233333,5.133333
52310,46.34Z,8,48.216667,5.083333
52310,46.34Z,8,48.216667,5.066667
52310,46.34Z,8,48.2,5.066667
52310,46.34Z,8,48.216667,5.116667
52310,46.34Z,8,48.2,5.133333
52310,46.34Z,8,48.2,5.083333
52310,42.99Z,8,48.233333,5.116667
52310,42.99Z,8,48.233333,5.133333
52310,42.99Z,8,48.216667,5.083333
52310,42.99Z,8,48.216667,5.066667
52310,42.99Z,8,48.2,5.066667
52310,42.99Z,8,48.216667,5.116667
52310,42.99Z,8,48.2,5.133333
52310,42.99Z,8,48.2,5.083333
52310,01.50Z,8,48.233333,5.116667
52310,01.50Z,8,48.233333,5.133333
52310,01.50Z,8,48.216667,5.083333
52310,01.50Z,8,48.216667,5.066667
52310,01.50Z,8,48.2,5.066667
52310,01.50Z,8,48.216667,5.116667
52310,01.50Z,8,48.2,5.133333
52310,01.50Z,8,48.2,5.083333
52310,81.21,8,48.233333,5.116667
52310,81.21,8,48.233333,5.133333
52310,81.21,8,48.216667,5.083333
52310,81.21,8,48.216667,5.066667
52310,81.21,8,48.2,5.066667
52310,81.21,8,48.216667,5.116667
52310,81.21,8,48.2,5.133333
52310,81.21,8,48.2,5.083333
52310,51.4S,8,48.233333,5.116667
52310,51.4S,8,48.233333,5.133333
52310,51.4S,8,48.216667,5.083333
52310,51.4S,8,48.216667,5.066667
52310,51.4S,8,48.2,5.066667
52310,51.4S,8,48.216667,5.116667
52310,51.4S,8,48.2,5.133333
52310,51.4S,8,48.2,5.083333
52310,02.40Z,8,48.233333,5.116667
52310,02.40Z,8,48.233333,5.133333
52310,02.40Z,8,48.216667,5.083333
52310,02.40Z,8,48.216667,5.066667
52310,02.40Z,8,48.2,5.066667
52310,02.40Z,8,48.216667,5.116667
52310,02.40Z,8,48.2,5.133333
52310,02.40Z,8,48.2,5.083333
52310,46.61Z,8,48.233333,5.116667
52310,46.61Z,8,48.233333,5.133333
52310,46.61Z,8,48.216667,5.083333
52310,46.61Z,8,48.216667,5.066667
52310,46.61Z,8,48.2,5.066667
52310,46.61Z,8,48.216667,5.116667
52310,46.61Z,8,48.2,5.133333
52310,46.61Z,8,48.2,5.083333
52310,68.31Z,8,48.233333,5.116667
52310,68.31Z,8,48.233333,5.133333
52310,68.31Z,8,48.216667,5.083333
52310,68.31Z,8,48.216667,5.066667
52310,68.31Z,8,48.2,5.066667
52310,68.31Z,8,48.216667,5.116667
52310,68.31Z,8,48.2,5.133333
52310,68.31Z,8,48.2,5.083333
52310,01.41Z,8,48.233333,5.116667
52310,01.41Z,8,48.233333,5.133333
52310,01.41Z,8,48.216667,5.083333
52310,01.41Z,8,48.216667,5.066667
52310,01.41Z,8,48.2,5.066667
52310,01.41Z,8,48.216667,5.116667
52310,01.41Z,8,48.2,5.133333
52310,01.41Z,8,48.2,5.083333
52310,01.61Z,8,48.233333,5.116667
52310,01.61Z,8,48.233333,5.133333
52310,01.61Z,8,48.216667,5.083333
52310,01.61Z,8,48.216667,5.066667
52310,01.61Z,8,48.2,5.066667
52310,01.61Z,8,48.216667,5.116667
52310,01.61Z,8,48.2,5.133333
52310,01.61Z,8,48.2,5.083333
52310,45.20A,8,48.233333,5.116667
52310,45.20A,8,48.233333,5.133333
52310,45.20A,8,48.216667,5.083333
52310,45.20A,8,48.216667,5.066667
52310,45.20A,8,48.2,5.066667
52310,45.20A,8,48.216667,5.116667
52310,45.20A,8,48.2,5.133333
52310,45.20A,8,48.2,5.083333
52310,35.11Z,16,48.233333,5.116667
52310,35.11Z,16,48.233333,5.133333
52310,35.11Z,16,48.216667,5.083333
52310,35.11Z,16,48.216667,5.066667
52310,35.11Z,16,48.2,5.066667
52310,35.11Z,16,48.216667,5.116667
52310,35.11Z,16,48.2,5.133333
52310,35.11Z,16,48.2,5.083333
52310,45.11Z,8,48.233333,5.116667
52310,45.11Z,8,48.233333,5.133333
52310,45.11Z,8,48.216667,5.083333
52310,45.11Z,8,48.216667,5.066667
52310,45.11Z,8,48.2,5.066667
52310,45.11Z,8,48.216667,5.116667
52310,45.11Z,8,48.2,5.133333
52310,45.11Z,8,48.2,5.083333
52310,01.1A,16,48.233333,5.116667
52310,01.1A,16,48.233333,5.133333
52310,01.1A,16,48.216667,5.083333
52310,01.1A,16,48.216667,5.066667
52310,01.1A,16,48.2,5.066667
52310,01.1A,16,48.216667,5.116667
52310,01.1A,16,48.2,5.133333
52310,01.1A,16,48.2,5.083333
52310,16.10A,8,48.233333,5.116667
52310,16.10A,8,48.233333,5.133333
52310,16.10A,8,48.216667,5.083333
52310,16.10A,8,48.216667,5.066667
52310,16.10A,8,48.2,5.066667
52310,16.10A,8,48.216667,5.116667
52310,16.10A,8,48.2,5.133333
52310,16.10A,8,48.2,5.083333
52310,90.02Z,8,48.233333,5.116667
52310,90.02Z,8,48.233333,5.133333
52310,90.02Z,8,48.216667,5.083333
52310,90.02Z,8,48.216667,5.066667
52310,90.02Z,8,48.2,5.066667
52310,90.02Z,8,48.216667,5.116667
52310,90.02Z,8,48.2,5.133333
52310,90.02Z,8,48.2,5.083333
52310,88.99B,8,48.233333,5.116667
52310,88.99B,8,48.233333,5.133333
52310,88.99B,8,48.216667,5.083333
52310,88.99B,8,48.216667,5.066667
52310,88.99B,8,48.2,5.066667
52310,88.99B,8,48.216667,5.116667
52310,88.99B,8,48.2,5.133333
