codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
52360,47.99A,16,47.916667,5.483333
52360,47.99A,16,47.883333,5.5
52360,47.99A,16,47.883333,5.433333
52360,47.99A,16,47.883333,5.45
52360,47.99A,16,47.916667,5.433333
52360,47.99A,16,47.9,5.516667
52360,47.99A,16,47.866667,5.433333
52360,47.99A,16,47.95,5.45
52360,47.99A,16,47.95,5.4
52360,47.99A,16,47.85,5.45
52360,47.99A,16,"",""
52360,47.99A,16,47.933333,5.383333
52360,47.99A,16,47.916667,5.55
52360,47.99A,16,47.95,5.466667
52360,47.99A,16,47.9,5.4
52360,47.99A,16,47.916667,5.516667
52360,67.05,16,47.916667,5.483333
52360,67.05,16,47.883333,5.5
52360,67.05,16,47.883333,5.433333
52360,67.05,16,47.883333,5.45
52360,67.05,16,47.916667,5.433333
52360,67.05,16,47.9,5.516667
52360,67.05,16,47.866667,5.433333
52360,67.05,16,47.95,5.45
52360,67.05,16,47.95,5.4
52360,67.05,16,47.85,5.45
52360,67.05,16,"",""
52360,67.05,16,47.933333,5.383333
52360,67.05,16,47.916667,5.55
52360,67.05,16,47.95,5.466667
52360,67.05,16,47.9,5.4
52360,67.05,16,47.916667,5.516667
52360,01.11Z,176,47.916667,5.483333
52360,01.11Z,176,47.883333,5.5
52360,01.11Z,176,47.883333,5.433333
52360,01.11Z,176,47.883333,5.45
52360,01.11Z,176,47.916667,5.433333
52360,01.11Z,176,47.9,5.516667
52360,01.11Z,176,47.866667,5.433333
52360,01.11Z,176,47.95,5.45
52360,01.11Z,176,47.95,5.4
52360,01.11Z,176,47.85,5.45
52360,01.11Z,176,"",""
52360,01.11Z,176,47.933333,5.383333
52360,01.11Z,176,47.916667,5.55
52360,01.11Z,176,47.95,5.466667
52360,01.11Z,176,47.9,5.4
52360,01.11Z,176,47.916667,5.516667
52360,92.3A,32,47.916667,5.483333
52360,92.3A,32,47.883333,5.5
52360,92.3A,32,47.883333,5.433333
52360,92.3A,32,47.883333,5.45
52360,92.3A,32,47.916667,5.433333
52360,92.3A,32,47.9,5.516667
52360,92.3A,32,47.866667,5.433333
52360,92.3A,32,47.95,5.45
52360,92.3A,32,47.95,5.4
52360,92.3A,32,47.85,5.45
52360,92.3A,32,"",""
52360,92.3A,32,47.933333,5.383333
52360,92.3A,32,47.916667,5.55
52360,92.3A,32,47.95,5.466667
52360,92.3A,32,47.9,5.4
52360,92.3A,32,47.916667,5.516667
52360,62.11,16,47.916667,5.483333
52360,62.11,16,47.883333,5.5
52360,62.11,16,47.883333,5.433333
52360,62.11,16,47.883333,5.45
52360,62.11,16,47.916667,5.433333
52360,62.11,16,47.9,5.516667
52360,62.11,16,47.866667,5.433333
52360,62.11,16,47.95,5.45
52360,62.11,16,47.95,5.4
52360,62.11,16,47.85,5.45
52360,62.11,16,"",""
52360,62.11,16,47.933333,5.383333
52360,62.11,16,47.916667,5.55
52360,62.11,16,47.95,5.466667
52360,62.11,16,47.9,5.4
52360,62.11,16,47.916667,5.516667
52360,64.20Z,32,47.916667,5.483333
52360,64.20Z,32,47.883333,5.5
52360,64.20Z,32,47.883333,5.433333
52360,64.20Z,32,47.883333,5.45
52360,64.20Z,32,47.916667,5.433333
52360,64.20Z,32,47.9,5.516667
52360,64.20Z,32,47.866667,5.433333
52360,64.20Z,32,47.95,5.45
52360,64.20Z,32,47.95,5.4
52360,64.20Z,32,47.85,5.45
52360,64.20Z,32,"",""
52360,64.20Z,32,47.933333,5.383333
52360,64.20Z,32,47.916667,5.55
52360,64.20Z,32,47.95,5.466667
52360,64.20Z,32,47.9,5.4
52360,64.20Z,32,47.916667,5.516667
52360,71.20A,16,47.916667,5.483333
52360,71.20A,16,47.883333,5.5
52360,71.20A,16,47.883333,5.433333
52360,71.20A,16,47.883333,5.45
52360,71.20A,16,47.916667,5.433333
52360,71.20A,16,47.9,5.516667
52360,71.20A,16,47.866667,5.433333
52360,71.20A,16,47.95,5.45
52360,71.20A,16,47.95,5.4
52360,71.20A,16,47.85,5.45
52360,71.20A,16,"",""
52360,71.20A,16,47.933333,5.383333
52360,71.20A,16,47.916667,5.55
52360,71.20A,16,47.95,5.466667
52360,71.20A,16,47.9,5.4
52360,71.20A,16,47.916667,5.516667
52360,38.31Z,32,47.916667,5.483333
52360,38.31Z,32,47.883333,5.5
52360,38.31Z,32,47.883333,5.433333
52360,38.31Z,32,47.883333,5.45
52360,38.31Z,32,47.916667,5.433333
52360,38.31Z,32,47.9,5.516667
52360,38.31Z,32,47.866667,5.433333
52360,38.31Z,32,47.95,5.45
52360,38.31Z,32,47.95,5.4
52360,38.31Z,32,47.85,5.45
52360,38.31Z,32,"",""
52360,38.31Z,32,47.933333,5.383333
52360,38.31Z,32,47.916667,5.55
52360,38.31Z,32,47.95,5.466667
52360,38.31Z,32,47.9,5.4
52360,38.31Z,32,47.916667,5.516667
52360,84.11Z,48,47.916667,5.483333
52360,84.11Z,48,47.883333,5.5
52360,84.11Z,48,47.883333,5.433333
52360,84.11Z,48,47.883333,5.45
52360,84.11Z,48,47.916667,5.433333
52360,84.11Z,48,47.9,5.516667
52360,84.11Z,48,47.866667,5.433333
52360,84.11Z,48,47.95,5.45
52360,84.11Z,48,47.95,5.4
52360,84.11Z,48,47.85,5.45
52360,84.11Z,48,"",""
52360,84.11Z,48,47.933333,5.383333
52360,84.11Z,48,47.916667,5.55
52360,84.11Z,48,47.95,5.466667
52360,84.11Z,48,47.9,5.4
52360,84.11Z,48,47.916667,5.516667
52360,50.1Z,16,47.916667,5.483333
52360,50.1Z,16,47.883333,5.5
52360,50.1Z,16,47.883333,5.433333
52360,50.1Z,16,47.883333,5.45
52360,50.1Z,16,47.916667,5.433333
52360,50.1Z,16,47.9,5.516667
52360,50.1Z,16,47.866667,5.433333
52360,50.1Z,16,47.95,5.45
52360,50.1Z,16,47.95,5.4
52360,50.1Z,16,47.85,5.45
52360,50.1Z,16,"",""
52360,50.1Z,16,47.933333,5.383333
52360,50.1Z,16,47.916667,5.55
52360,50.1Z,16,47.95,5.466667
52360,50.1Z,16,47.9,5.4
52360,50.1Z,16,47.916667,5.516667
52360,74.30Z,16,47.916667,5.483333
52360,74.30Z,16,47.883333,5.5
52360,74.30Z,16,47.883333,5.433333
52360,74.30Z,16,47.883333,5.45
52360,74.30Z,16,47.916667,5.433333
52360,74.30Z,16,47.9,5.516667
52360,74.30Z,16,47.866667,5.433333
52360,74.30Z,16,47.95,5.45
52360,74.30Z,16,47.95,5.4
52360,74.30Z,16,47.85,5.45
52360,74.30Z,16,"",""
52360,74.30Z,16,47.933333,5.383333
52360,74.30Z,16,47.916667,5.55
52360,74.30Z,16,47.95,5.466667
52360,74.30Z,16,47.9,5.4
52360,74.30Z,16,47.916667,5.516667
52360,43.33Z,16,47.916667,5.483333
52360,43.33Z,16,47.883333,5.5
52360,43.33Z,16,47.883333,5.433333
52360,43.33Z,16,47.883333,5.45
52360,43.33Z,16,47.916667,5.433333
52360,43.33Z,16,47.9,5.516667
52360,43.33Z,16,47.866667,5.433333
52360,43.33Z,16,47.95,5.45
52360,43.33Z,16,47.95,5.4
52360,43.33Z,16,47.85,5.45
52360,43.33Z,16,"",""
52360,43.33Z,16,47.933333,5.383333
52360,43.33Z,16,47.916667,5.55
52360,43.33Z,16,47.95,5.466667
52360,43.33Z,16,47.9,5.4
52360,43.33Z,16,47.916667,5.516667
52360,01.80,16,47.916667,5.483333
52360,01.80,16,47.883333,5.5
52360,01.80,16,47.883333,5.433333
52360,01.80,16,47.883333,5.45
52360,01.80,16,47.916667,5.433333
52360,01.80,16,47.9,5.516667
52360,01.80,16,47.866667,5.433333
52360,01.80,16,47.95,5.45
52360,01.80,16,47.95,5.4
52360,01.80,16,47.85,5.45
52360,01.80,16,"",""
52360,01.80,16,47.933333,5.383333
52360,01.80,16,47.916667,5.55
52360,01.80,16,47.95,5.466667
52360,01.80,16,47.9,5.4
52360,01.80,16,47.916667,5.516667
52360,82.19Z,16,47.916667,5.483333
52360,82.19Z,16,47.883333,5.5
52360,82.19Z,16,47.883333,5.433333
52360,82.19Z,16,47.883333,5.45
52360,82.19Z,16,47.916667,5.433333
52360,82.19Z,16,47.9,5.516667
52360,82.19Z,16,47.866667,5.433333
52360,82.19Z,16,47.95,5.45
52360,82.19Z,16,47.95,5.4
52360,82.19Z,16,47.85,5.45
52360,82.19Z,16,"",""
52360,82.19Z,16,47.933333,5.383333
52360,82.19Z,16,47.916667,5.55
52360,82.19Z,16,47.95,5.466667
52360,82.19Z,16,47.9,5.4
52360,82.19Z,16,47.916667,5.516667
52360,77.31Z,16,47.916667,5.483333
52360,77.31Z,16,47.883333,5.5
52360,77.31Z,16,47.883333,5.433333
52360,77.31Z,16,47.883333,5.45
52360,77.31Z,16,47.916667,5.433333
52360,77.31Z,16,47.9,5.516667
52360,77.31Z,16,47.866667,5.433333
52360,77.31Z,16,47.95,5.45
52360,77.31Z,16,47.95,5.4
52360,77.31Z,16,47.85,5.45
52360,77.31Z,16,"",""
52360,77.31Z,16,47.933333,5.383333
52360,77.31Z,16,47.916667,5.55
52360,77.31Z,16,47.95,5.466667
52360,77.31Z,16,47.9,5.4
52360,77.31Z,16,47.916667,5.516667
52360,94.99Z,16,47.916667,5.483333
52360,94.99Z,16,47.883333,5.5
52360,94.99Z,16,47.883333,5.433333
52360,94.99Z,16,47.883333,5.45
52360,94.99Z,16,47.916667,5.433333
52360,94.99Z,16,47.9,5.516667
52360,94.99Z,16,47.866667,5.433333
52360,94.99Z,16,47.95,5.45
52360,94.99Z,16,47.95,5.4
52360,94.99Z,16,47.85,5.45
52360,94.99Z,16,"",""
52360,94.99Z,16,47.933333,5.383333
52360,94.99Z,16,47.916667,5.55
52360,94.99Z,16,47.95,5.466667
52360,94.99Z,16,47.9,5.4
52360,94.99Z,16,47.916667,5.516667
52360,42.99Z,16,47.916667,5.483333
52360,42.99Z,16,47.883333,5.5
52360,42.99Z,16,47.883333,5.433333
52360,42.99Z,16,47.883333,5.45
52360,42.99Z,16,47.916667,5.433333
52360,42.99Z,16,47.9,5.516667
52360,42.99Z,16,47.866667,5.433333
52360,42.99Z,16,47.95,5.45
52360,42.99Z,16,47.95,5.4
52360,42.99Z,16,47.85,5.45
52360,42.99Z,16,"",""
52360,42.99Z,16,47.933333,5.383333
52360,42.99Z,16,47.916667,5.55
52360,42.99Z,16,47.95,5.466667
52360,42.99Z,16,47.9,5.4
52360,42.99Z,16,47.916667,5.516667
52360,81.21,16,47.916667,5.483333
52360,81.21,16,47.883333,5.5
52360,81.21,16,47.883333,5.433333
52360,81.21,16,47.883333,5.45
52360,81.21,16,47.916667,5.433333
52360,81.21,16,47.9,5.516667
52360,81.21,16,47.866667,5.433333
52360,81.21,16,47.95,5.45
52360,81.21,16,47.95,5.4
52360,81.21,16,47.85,5.45
52360,81.21,16,"",""
52360,81.21,16,47.933333,5.383333
52360,81.21,16,47.916667,5.55
52360,81.21,16,47.95,5.466667
52360,81.21,16,47.9,5.4
52360,81.21,16,47.916667,5.516667
52360,49.04,16,47.916667,5.483333
52360,49.04,16,47.883333,5.5
52360,49.04,16,47.883333,5.433333
52360,49.04,16,47.883333,5.45
52360,49.04,16,47.916667,5.433333
52360,49.04,16,47.9,5.516667
52360,49.04,16,47.866667,5.433333
52360,49.04,16,47.95,5.45
52360,49.04,16,47.95,5.4
52360,49.04,16,47.85,5.45
52360,49.04,16,"",""
52360,49.04,16,47.933333,5.383333
52360,49.04,16,47.916667,5.55
52360,49.04,16,47.95,5.466667
52360,49.04,16,47.9,5.4
52360,49.04,16,47.916667,5.516667
52360,47.81Z,16,47.916667,5.483333
52360,47.81Z,16,47.883333,5.5
52360,47.81Z,16,47.883333,5.433333
52360,47.81Z,16,47.883333,5.45
52360,47.81Z,16,47.916667,5.433333
52360,47.81Z,16,47.9,5.516667
52360,47.81Z,16,47.866667,5.433333
52360,47.81Z,16,47.95,5.45
52360,47.81Z,16,47.95,5.4
52360,47.81Z,16,47.85,5.45
52360,47.81Z,16,"",""
52360,47.81Z,16,47.933333,5.383333
52360,47.81Z,16,47.916667,5.55
52360,47.81Z,16,47.95,5.466667
52360,47.81Z,16,47.9,5.4
52360,47.81Z,16,47.916667,5.516667
52360,86.90A,16,47.916667,5.483333
52360,86.90A,16,47.883333,5.5
52360,86.90A,16,47.883333,5.433333
52360,86.90A,16,47.883333,5.45
52360,86.90A,16,47.916667,5.433333
52360,86.90A,16,47.9,5.516667
52360,86.90A,16,47.866667,5.433333
52360,86.90A,16,47.95,5.45
52360,86.90A,16,47.95,5.4
52360,86.90A,16,47.85,5.45
52360,86.90A,16,"",""
52360,86.90A,16,47.933333,5.383333
52360,86.90A,16,47.916667,5.55
52360,86.90A,16,47.95,5.466667
52360,86.90A,16,47.9,5.4
52360,86.90A,16,47.916667,5.516667
52360,25.11Z,16,47.916667,5.483333
52360,25.11Z,16,47.883333,5.5
52360,25.11Z,16,47.883333,5.433333
52360,25.11Z,16,47.883333,5.45
52360,25.11Z,16,47.916667,5.433333
52360,25.11Z,16,47.9,5.516667
52360,25.11Z,16,47.866667,5.433333
52360,25.11Z,16,47.95,5.45
52360,25.11Z,16,47.95,5.4
52360,25.11Z,16,47.85,5.45
52360,25.11Z,16,"",""
52360,25.11Z,16,47.933333,5.383333
52360,25.11Z,16,47.916667,5.55
52360,25.11Z,16,47.95,5.466667
52360,25.11Z,16,47.9,5.4
52360,25.11Z,16,47.916667,5.516667
52360,41.10D,16,47.916667,5.483333
52360,41.10D,16,47.883333,5.5
