codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
53150,47.99A,77,48.166667,-0.55
53150,47.99A,77,48.133333,-0.466667
53150,47.99A,77,48.116667,-0.6
53150,47.99A,77,48.15,-0.466667
53150,47.99A,77,48.133333,-0.55
53150,47.99A,77,48.2,-0.55
53150,47.99A,77,"",""
53150,47.99A,77,48.1,-0.516667
53150,47.99A,77,48.15,-0.583333
53150,47.99A,77,48.183333,-0.533333
53150,47.99A,77,48.15,-0.516667
53150,64.11,11,48.166667,-0.55
53150,64.11,11,48.133333,-0.466667
53150,64.11,11,48.116667,-0.6
53150,64.11,11,48.15,-0.466667
53150,64.11,11,48.133333,-0.55
53150,64.11,11,48.2,-0.55
53150,64.11,11,"",""
53150,64.11,11,48.1,-0.516667
53150,64.11,11,48.15,-0.583333
53150,64.11,11,48.183333,-0.533333
53150,64.11,11,48.15,-0.516667
53150,01.56,11,48.166667,-0.55
53150,01.56,11,48.133333,-0.466667
53150,01.56,11,48.116667,-0.6
53150,01.56,11,48.15,-0.466667
53150,01.56,11,48.133333,-0.55
53150,01.56,11,48.2,-0.55
53150,01.56,11,"",""
53150,01.56,11,48.1,-0.516667
53150,01.56,11,48.15,-0.583333
53150,01.56,11,48.183333,-0.533333
53150,01.56,11,48.15,-0.516667
53150,55.3A,22,48.166667,-0.55
53150,55.3A,22,48.133333,-0.466667
53150,55.3A,22,48.116667,-0.6
53150,55.3A,22,48.15,-0.466667
53150,55.3A,22,48.133333,-0.55
53150,55.3A,22,48.2,-0.55
53150,55.3A,22,"",""
53150,55.3A,22,48.1,-0.516667
53150,55.3A,22,48.15,-0.583333
53150,55.3A,22,48.183333,-0.533333
53150,55.3A,22,48.15,-0.516667
53150,43.22A,22,48.166667,-0.55
53150,43.22A,22,48.133333,-0.466667
53150,43.22A,22,48.116667,-0.6
53150,43.22A,22,48.15,-0.466667
53150,43.22A,22,48.133333,-0.55
53150,43.22A,22,48.2,-0.55
53150,43.22A,22,"",""
53150,43.22A,22,48.1,-0.516667
53150,43.22A,22,48.15,-0.583333
53150,43.22A,22,48.183333,-0.533333
53150,43.22A,22,48.15,-0.516667
53150,01.11Z,110,48.166667,-0.55
53150,01.11Z,110,48.133333,-0.466667
53150,01.11Z,110,48.116667,-0.6
53150,01.11Z,110,48.15,-0.466667
53150,01.11Z,110,48.133333,-0.55
53150,01.11Z,110,48.2,-0.55
53150,01.11Z,110,"",""
53150,01.11Z,110,48.1,-0.516667
53150,01.11Z,110,48.15,-0.583333
53150,01.11Z,110,48.183333,-0.533333
53150,01.11Z,110,48.15,-0.516667
53150,14.2A,11,48.166667,-0.55
53150,14.2A,11,48.133333,-0.466667
53150,14.2A,11,48.116667,-0.6
53150,14.2A,11,48.15,-0.466667
53150,14.2A,11,48.133333,-0.55
53150,14.2A,11,48.2,-0.55
53150,14.2A,11,"",""
53150,14.2A,11,48.1,-0.516667
53150,14.2A,11,48.15,-0.583333
53150,14.2A,11,48.183333,-0.533333
53150,14.2A,11,48.15,-0.516667
53150,68.20A,44,48.166667,-0.55
53150,68.20A,44,48.133333,-0.466667
53150,68.20A,44,48.116667,-0.6
53150,68.20A,44,48.15,-0.466667
53150,68.20A,44,48.133333,-0.55
53150,68.20A,44,48.2,-0.55
53150,68.20A,44,"",""
53150,68.20A,44,48.1,-0.516667
53150,68.20A,44,48.15,-0.583333
53150,68.20A,44,48.183333,-0.533333
53150,68.20A,44,48.15,-0.516667
53150,52.22Z,11,48.166667,-0.55
53150,52.22Z,11,48.133333,-0.466667
53150,52.22Z,11,48.116667,-0.6
53150,52.22Z,11,48.15,-0.466667
53150,52.22Z,11,48.133333,-0.55
53150,52.22Z,11,48.2,-0.55
53150,52.22Z,11,"",""
53150,52.22Z,11,48.1,-0.516667
53150,52.22Z,11,48.15,-0.583333
53150,52.22Z,11,48.183333,-0.533333
53150,52.22Z,11,48.15,-0.516667
53150,45.2J,11,48.166667,-0.55
53150,45.2J,11,48.133333,-0.466667
53150,45.2J,11,48.116667,-0.6
53150,45.2J,11,48.15,-0.466667
53150,45.2J,11,48.133333,-0.55
53150,45.2J,11,48.2,-0.55
53150,45.2J,11,"",""
53150,45.2J,11,48.1,-0.516667
53150,45.2J,11,48.15,-0.583333
53150,45.2J,11,48.183333,-0.533333
53150,45.2J,11,48.15,-0.516667
53150,56.30Z,33,48.166667,-0.55
53150,56.30Z,33,48.133333,-0.466667
53150,56.30Z,33,48.116667,-0.6
53150,56.30Z,33,48.15,-0.466667
53150,56.30Z,33,48.133333,-0.55
53150,56.30Z,33,48.2,-0.55
53150,56.30Z,33,"",""
53150,56.30Z,33,48.1,-0.516667
53150,56.30Z,33,48.15,-0.583333
53150,56.30Z,33,48.183333,-0.533333
53150,56.30Z,33,48.15,-0.516667
53150,74.5A,11,48.166667,-0.55
53150,74.5A,11,48.133333,-0.466667
53150,74.5A,11,48.116667,-0.6
53150,74.5A,11,48.15,-0.466667
53150,74.5A,11,48.133333,-0.55
53150,74.5A,11,48.2,-0.55
53150,74.5A,11,"",""
53150,74.5A,11,48.1,-0.516667
53150,74.5A,11,48.15,-0.583333
53150,74.5A,11,48.183333,-0.533333
53150,74.5A,11,48.15,-0.516667
53150,15.8B,11,48.166667,-0.55
53150,15.8B,11,48.133333,-0.466667
53150,15.8B,11,48.116667,-0.6
53150,15.8B,11,48.15,-0.466667
53150,15.8B,11,48.133333,-0.55
53150,15.8B,11,48.2,-0.55
53150,15.8B,11,"",""
53150,15.8B,11,48.1,-0.516667
53150,15.8B,11,48.15,-0.583333
53150,15.8B,11,48.183333,-0.533333
53150,15.8B,11,48.15,-0.516667
