codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
53270,47.99A,7,"",""
53270,47.99A,7,48,-0.366667
53270,47.99A,7,48.016667,-0.4
53270,47.99A,7,48.033333,-0.383333
53270,47.99A,7,48.1,-0.35
53270,47.99A,7,48.083333,-0.383333
53270,47.99A,7,48.05,-0.333333
53270,68.20A,7,"",""
53270,68.20A,7,48,-0.366667
53270,68.20A,7,48.016667,-0.4
53270,68.20A,7,48.033333,-0.383333
53270,68.20A,7,48.1,-0.35
53270,68.20A,7,48.083333,-0.383333
53270,68.20A,7,48.05,-0.333333
53270,43.34Z,7,"",""
53270,43.34Z,7,48,-0.366667
53270,43.34Z,7,48.016667,-0.4
53270,43.34Z,7,48.033333,-0.383333
53270,43.34Z,7,48.1,-0.35
53270,43.34Z,7,48.083333,-0.383333
53270,43.34Z,7,48.05,-0.333333
53270,81.29B,7,"",""
53270,81.29B,7,48,-0.366667
53270,81.29B,7,48.016667,-0.4
53270,81.29B,7,48.033333,-0.383333
53270,81.29B,7,48.1,-0.35
53270,81.29B,7,48.083333,-0.383333
53270,81.29B,7,48.05,-0.333333
53270,64.20Z,14,"",""
53270,64.20Z,14,48,-0.366667
53270,64.20Z,14,48.016667,-0.4
53270,64.20Z,14,48.033333,-0.383333
53270,64.20Z,14,48.1,-0.35
53270,64.20Z,14,48.083333,-0.383333
53270,64.20Z,14,48.05,-0.333333
53270,43.32B,7,"",""
53270,43.32B,7,48,-0.366667
53270,43.32B,7,48.016667,-0.4
53270,43.32B,7,48.033333,-0.383333
53270,43.32B,7,48.1,-0.35
53270,43.32B,7,48.083333,-0.383333
53270,43.32B,7,48.05,-0.333333
53270,84.11Z,7,"",""
53270,84.11Z,7,48,-0.366667
53270,84.11Z,7,48.016667,-0.4
53270,84.11Z,7,48.033333,-0.383333
53270,84.11Z,7,48.1,-0.35
53270,84.11Z,7,48.083333,-0.383333
53270,84.11Z,7,48.05,-0.333333
53270,01.3Z,28,"",""
53270,01.3Z,28,48,-0.366667
53270,01.3Z,28,48.016667,-0.4
53270,01.3Z,28,48.033333,-0.383333
53270,01.3Z,28,48.1,-0.35
53270,01.3Z,28,48.083333,-0.383333
53270,01.3Z,28,48.05,-0.333333
53270,55.20Z,14,"",""
53270,55.20Z,14,48,-0.366667
53270,55.20Z,14,48.016667,-0.4
53270,55.20Z,14,48.033333,-0.383333
53270,55.20Z,14,48.1,-0.35
53270,55.20Z,14,48.083333,-0.383333
53270,55.20Z,14,48.05,-0.333333
53270,43.22B,7,"",""
53270,43.22B,7,48,-0.366667
53270,43.22B,7,48.016667,-0.4
53270,43.22B,7,48.033333,-0.383333
53270,43.22B,7,48.1,-0.35
53270,43.22B,7,48.083333,-0.383333
53270,43.22B,7,48.05,-0.333333
53270,01.24Z,7,"",""
53270,01.24Z,7,48,-0.366667
53270,01.24Z,7,48.016667,-0.4
53270,01.24Z,7,48.033333,-0.383333
53270,01.24Z,7,48.1,-0.35
53270,01.24Z,7,48.083333,-0.383333
53270,01.24Z,7,48.05,-0.333333
53270,77.31Z,14,"",""
53270,77.31Z,14,48,-0.366667
53270,77.31Z,14,48.016667,-0.4
53270,77.31Z,14,48.033333,-0.383333
53270,77.31Z,14,48.1,-0.35
53270,77.31Z,14,48.083333,-0.383333
53270,77.31Z,14,48.05,-0.333333
53270,55.71,7,"",""
53270,55.71,7,48,-0.366667
53270,55.71,7,48.016667,-0.4
53270,55.71,7,48.033333,-0.383333
53270,55.71,7,48.1,-0.35
53270,55.71,7,48.083333,-0.383333
53270,55.71,7,48.05,-0.333333
53270,01.50Z,14,"",""
53270,01.50Z,14,48,-0.366667
53270,01.50Z,14,48.016667,-0.4
53270,01.50Z,14,48.033333,-0.383333
53270,01.50Z,14,48.1,-0.35
53270,01.50Z,14,48.083333,-0.383333
53270,01.50Z,14,48.05,-0.333333
53270,55.2E,7,"",""
53270,55.2E,7,48,-0.366667
53270,55.2E,7,48.016667,-0.4
53270,55.2E,7,48.033333,-0.383333
53270,55.2E,7,48.1,-0.35
53270,55.2E,7,48.083333,-0.383333
53270,55.2E,7,48.05,-0.333333
53270,70.2C,7,"",""
53270,70.2C,7,48,-0.366667
53270,70.2C,7,48.016667,-0.4
53270,70.2C,7,48.033333,-0.383333
53270,70.2C,7,48.1,-0.35
53270,70.2C,7,48.083333,-0.383333
53270,70.2C,7,48.05,-0.333333
53270,01.2A,21,"",""
53270,01.2A,21,48,-0.366667
53270,01.2A,21,48.016667,-0.4
53270,01.2A,21,48.033333,-0.383333
53270,01.2A,21,48.1,-0.35
53270,01.2A,21,48.083333,-0.383333
53270,01.2A,21,48.05,-0.333333
53270,01.41Z,98,"",""
53270,01.41Z,98,48,-0.366667
53270,01.41Z,98,48.016667,-0.4
53270,01.41Z,98,48.033333,-0.383333
53270,01.41Z,98,48.1,-0.35
53270,01.41Z,98,48.083333,-0.383333
53270,01.41Z,98,48.05,-0.333333
53270,01.42Z,56,"",""
53270,01.42Z,56,48,-0.366667
53270,01.42Z,56,48.016667,-0.4
53270,01.42Z,56,48.033333,-0.383333
53270,01.42Z,56,48.1,-0.35
53270,01.42Z,56,48.083333,-0.383333
53270,01.42Z,56,48.05,-0.333333
53270,22.02,14,"",""
53270,22.02,14,48,-0.366667
53270,22.02,14,48.016667,-0.4
53270,22.02,14,48.033333,-0.383333
53270,22.02,14,48.1,-0.35
53270,22.02,14,48.083333,-0.383333
53270,22.02,14,48.05,-0.333333
53270,43.99C,14,"",""
53270,43.99C,14,48,-0.366667
53270,43.99C,14,48.016667,-0.4
53270,43.99C,14,48.033333,-0.383333
53270,43.99C,14,48.1,-0.35
53270,43.99C,14,48.083333,-0.383333
53270,43.99C,14,48.05,-0.333333
53270,01.2J,7,"",""
53270,01.2J,7,48,-0.366667
53270,01.2J,7,48.016667,-0.4
