codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
54130,47.99A,2,48.7,6.216667
54130,47.99A,2,48.716667,6.216667
54130,02.10Z,2,48.7,6.216667
54130,02.10Z,2,48.716667,6.216667
54130,01.11Z,10,48.7,6.216667
54130,01.11Z,10,48.716667,6.216667
54130,95.29Z,4,48.7,6.216667
54130,95.29Z,4,48.716667,6.216667
54130,44.18,2,48.7,6.216667
54130,44.18,2,48.716667,6.216667
54130,68.20A,4,48.7,6.216667
54130,68.20A,4,48.716667,6.216667
54130,81.22Z,2,48.7,6.216667
54130,81.22Z,2,48.716667,6.216667
54130,80.20Z,2,48.7,6.216667
54130,80.20Z,2,48.716667,6.216667
54130,64.20Z,2,48.7,6.216667
54130,64.20Z,2,48.716667,6.216667
54130,06.01,2,48.7,6.216667
54130,06.01,2,48.716667,6.216667
54130,84.11Z,4,48.7,6.216667
54130,84.11Z,4,48.716667,6.216667
54130,70.2B,2,48.7,6.216667
54130,70.2B,2,48.716667,6.216667
54130,01.3Z,16,48.7,6.216667
54130,01.3Z,16,48.716667,6.216667
54130,43.32A,2,48.7,6.216667
54130,43.32A,2,48.716667,6.216667
54130,01.24Z,2,48.7,6.216667
54130,01.24Z,2,48.716667,6.216667
54130,43.33Z,4,48.7,6.216667
54130,43.33Z,4,48.716667,6.216667
54130,86.90D,2,48.7,6.216667
54130,86.90D,2,48.716667,6.216667
54130,96.02A,2,48.7,6.216667
54130,96.02A,2,48.716667,6.216667
54130,77.31Z,2,48.7,6.216667
54130,77.31Z,2,48.716667,6.216667
54130,94.99Z,2,48.7,6.216667
54130,94.99Z,2,48.716667,6.216667
54130,42.99Z,2,48.7,6.216667
54130,42.99Z,2,48.716667,6.216667
54130,01.50Z,12,48.7,6.216667
54130,01.50Z,12,48.716667,6.216667
54130,02.40Z,2,48.7,6.216667
54130,02.40Z,2,48.716667,6.216667
54130,01.2A,2,48.7,6.216667
54130,01.2A,2,48.716667,6.216667
54130,77.02,2,48.7,6.216667
54130,77.02,2,48.716667,6.216667
54130,01.41Z,8,48.7,6.216667
54130,01.41Z,8,48.716667,6.216667
54130,43.99C,2,48.7,6.216667
54130,43.99C,2,48.716667,6.216667
54130,45.20A,4,48.7,6.216667
54130,45.20A,4,48.716667,6.216667
54130,52.6G,2,48.7,6.216667
54130,52.6G,2,48.716667,6.216667
54130,96.09Z,2,48.7,6.216667
54130,96.09Z,2,48.716667,6.216667
54130,35.11Z,4,48.7,6.216667
54130,35.11Z,4,48.716667,6.216667
54130,01.49Z,6,48.7,6.216667
54130,01.49Z,6,48.716667,6.216667
54130,90.03B,2,48.7,6.216667
54130,90.03B,2,48.716667,6.216667
54130,62.02B,2,48.7,6.216667
54130,62.02B,2,48.716667,6.216667
54130,01.1A,2,48.7,6.216667
54130,01.1A,2,48.716667,6.216667
54130,88.99B,2,48.7,6.216667
54130,88.99B,2,48.716667,6.216667
54130,45.2V,6,48.7,6.216667
54130,45.2V,6,48.716667,6.216667
54130,43.21A,2,48.7,6.216667
54130,43.21A,2,48.716667,6.216667
54130,74.90B,2,48.7,6.216667
54130,74.90B,2,48.716667,6.216667
54130,71.12B,2,48.7,6.216667
54130,71.12B,2,48.716667,6.216667
54130,68.20B,14,48.7,6.216667
54130,68.20B,14,48.716667,6.216667
