codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
54240,01.47Z,1,49.233333,6.016667
54240,56.10C,1,49.233333,6.016667
54240,84.11Z,2,49.233333,6.016667
54240,25.62B,1,49.233333,6.016667
54240,23.70Z,1,49.233333,6.016667
54240,01.70,1,49.233333,6.016667
54240,42.99Z,1,49.233333,6.016667
54240,01.50Z,1,49.233333,6.016667
54240,01.1A,1,49.233333,6.016667
54240,86.90F,1,49.233333,6.016667
54240,90.02Z,1,49.233333,6.016667
54240,88.99B,1,49.233333,6.016667
54240,43.21A,2,49.233333,6.016667
54240,68.20B,1,49.233333,6.016667
