codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
54340,47.99A,1,48.766667,6.116667
54340,43.22A,3,48.766667,6.116667
54340,01.11Z,7,48.766667,6.116667
54340,68.20A,3,48.766667,6.116667
54340,45.3E,1,48.766667,6.116667
54340,55.60,1,48.766667,6.116667
54340,52.4Y,1,48.766667,6.116667
54340,33.20C,1,48.766667,6.116667
54340,74.90A,1,48.766667,6.116667
54340,82.11Z,1,48.766667,6.116667
54340,84.11Z,3,48.766667,6.116667
54340,43.29B,1,48.766667,6.116667
54340,43.33Z,2,48.766667,6.116667
54340,96.02A,2,48.766667,6.116667
54340,46.69B,2,48.766667,6.116667
54340,94.99Z,2,48.766667,6.116667
54340,01.4D,1,48.766667,6.116667
54340,82.99Z,1,48.766667,6.116667
54340,23.70Z,1,48.766667,6.116667
54340,42.99Z,1,48.766667,6.116667
54340,43.29A,1,48.766667,6.116667
54340,96.02B,1,48.766667,6.116667
54340,74.8K,1,48.766667,6.116667
54340,85.59B,1,48.766667,6.116667
54340,43.99C,2,48.766667,6.116667
54340,01.61Z,1,48.766667,6.116667
54340,43.12A,2,48.766667,6.116667
54340,47.91A,1,48.766667,6.116667
54340,01.1A,3,48.766667,6.116667
54340,47.99B,1,48.766667,6.116667
54340,41.20B,2,48.766667,6.116667
54340,86.90F,1,48.766667,6.116667
54340,62.46,1,48.766667,6.116667
54340,47.91B,1,48.766667,6.116667
54340,88.99B,1,48.766667,6.116667
54340,45.2V,1,48.766667,6.116667
54340,43.21A,2,48.766667,6.116667
54340,18.13Z,1,48.766667,6.116667
54340,55.72,1,48.766667,6.116667
54340,68.20B,10,48.766667,6.116667
