codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
54400,47.99A,22,49.516667,5.766667
54400,47.99A,22,49.516667,5.716667
54400,64.11,6,49.516667,5.766667
54400,64.11,6,49.516667,5.716667
54400,65.12Z,2,49.516667,5.766667
54400,65.12Z,2,49.516667,5.716667
54400,55.3A,4,49.516667,5.766667
54400,55.3A,4,49.516667,5.716667
54400,93.0D,4,49.516667,5.766667
54400,93.0D,4,49.516667,5.716667
54400,01.11Z,8,49.516667,5.766667
54400,01.11Z,8,49.516667,5.716667
54400,49.41A,4,49.516667,5.766667
54400,49.41A,4,49.516667,5.716667
54400,65.02,2,49.516667,5.766667
54400,65.02,2,49.516667,5.716667
54400,95.29Z,2,49.516667,5.766667
54400,95.29Z,2,49.516667,5.716667
54400,52.4Z,2,49.516667,5.766667
54400,52.4Z,2,49.516667,5.716667
54400,68.20A,18,49.516667,5.766667
54400,68.20A,18,49.516667,5.716667
54400,64.49,2,49.516667,5.766667
54400,64.49,2,49.516667,5.716667
54400,55.40,4,49.516667,5.766667
54400,55.40,4,49.516667,5.716667
54400,51.3J,2,49.516667,5.766667
54400,51.3J,2,49.516667,5.716667
54400,49.32Z,4,49.516667,5.766667
54400,49.32Z,4,49.516667,5.716667
54400,56.30Z,8,49.516667,5.766667
54400,56.30Z,8,49.516667,5.716667
54400,36.00Z,2,49.516667,5.766667
54400,36.00Z,2,49.516667,5.716667
54400,95.11Z,4,49.516667,5.766667
54400,95.11Z,4,49.516667,5.716667
54400,56.21Z,2,49.516667,5.766667
54400,56.21Z,2,49.516667,5.716667
54400,46.49Z,2,49.516667,5.766667
54400,46.49Z,2,49.516667,5.716667
54400,45.4J,4,49.516667,5.766667
54400,45.4J,4,49.516667,5.716667
54400,81.22Z,2,49.516667,5.766667
54400,81.22Z,2,49.516667,5.716667
54400,43.34Z,8,49.516667,5.766667
54400,43.34Z,8,49.516667,5.716667
54400,64.20Z,2,49.516667,5.766667
54400,64.20Z,2,49.516667,5.716667
54400,86.90E,36,49.516667,5.766667
54400,86.90E,36,49.516667,5.716667
54400,90.01Z,8,49.516667,5.766667
54400,90.01Z,8,49.516667,5.716667
54400,85.31Z,2,49.516667,5.766667
54400,85.31Z,2,49.516667,5.716667
