codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
54410,47.99A,1,48.65,6.233333
54410,55.3A,1,48.65,6.233333
54410,02.10Z,1,48.65,6.233333
54410,01.11Z,2,48.65,6.233333
54410,49.41A,1,48.65,6.233333
54410,52.4Z,1,48.65,6.233333
54410,68.20A,5,48.65,6.233333
54410,55.60,2,48.65,6.233333
54410,56.30Z,4,48.65,6.233333
54410,52.21Z,1,48.65,6.233333
54410,62.11,1,48.65,6.233333
54410,52.4Y,1,48.65,6.233333
54410,93.19Z,2,48.65,6.233333
54410,64.20Z,1,48.65,6.233333
54410,86.90E,2,48.65,6.233333
54410,94.91Z,1,48.65,6.233333
54410,74.10Z,2,48.65,6.233333
54410,86.10Z,2,48.65,6.233333
54410,84.11Z,6,48.65,6.233333
54410,22.23Z,2,48.65,6.233333
54410,50.1Z,1,48.65,6.233333
54410,43.32A,4,48.65,6.233333
54410,74.1G,1,48.65,6.233333
54410,38.32Z,1,48.65,6.233333
54410,37.00Z,1,48.65,6.233333
54410,55.4B,1,48.65,6.233333
54410,46.17B,1,48.65,6.233333
54410,97.22,1,48.65,6.233333
54410,43.33Z,1,48.65,6.233333
54410,74.20Z,1,48.65,6.233333
54410,47.22Z,1,48.65,6.233333
54410,56.10A,2,48.65,6.233333
54410,86.90D,7,48.65,6.233333
54410,82.19Z,1,48.65,6.233333
54410,96.02A,1,48.65,6.233333
54410,51.1R,1,48.65,6.233333
54410,46.19B,1,48.65,6.233333
54410,94.99Z,6,48.65,6.233333
54410,47.59A,1,48.65,6.233333
54410,23.41Z,1,48.65,6.233333
54410,49.10Z,2,48.65,6.233333
54410,67.01,1,48.65,6.233333
54410,87.03,1,48.65,6.233333
54410,77.21Z,1,48.65,6.233333
54410,85.3J,1,48.65,6.233333
54410,55.71,1,48.65,6.233333
54410,46.18Z,1,48.65,6.233333
54410,90.03A,2,48.65,6.233333
54410,16.29Z,1,48.65,6.233333
54410,46.39B,1,48.65,6.233333
54410,86.07,1,48.65,6.233333
54410,46.90Z,1,48.65,6.233333
54410,96.02B,4,48.65,6.233333
54410,45.2A,1,48.65,6.233333
54410,45.32Z,1,48.65,6.233333
54410,47.81Z,1,48.65,6.233333
54410,85.59A,1,48.65,6.233333
54410,52.5Z,1,48.65,6.233333
54410,49.41B,1,48.65,6.233333
54410,01.61Z,2,48.65,6.233333
54410,45.20A,2,48.65,6.233333
54410,52.6G,2,48.65,6.233333
54410,96.09Z,2,48.65,6.233333
54410,81.21Z,1,48.65,6.233333
54410,43.12A,2,48.65,6.233333
54410,47.91A,1,48.65,6.233333
54410,67.08,1,48.65,6.233333
54410,59.12Z,1,48.65,6.233333
54410,47.99B,2,48.65,6.233333
54410,84.12,1,48.65,6.233333
54410,41.20B,1,48.65,6.233333
54410,86.90F,2,48.65,6.233333
54410,01.62Z,2,48.65,6.233333
54410,70.22Z,3,48.65,6.233333
54410,71.20B,2,48.65,6.233333
54410,90.11,1,48.65,6.233333
54410,88.99B,1,48.65,6.233333
54410,93.29Z,2,48.65,6.233333
54410,28.5D,1,48.65,6.233333
54410,69.10Z,1,48.65,6.233333
54410,73.11Z,1,48.65,6.233333
54410,88.10C,1,48.65,6.233333
54410,45.2V,1,48.65,6.233333
54410,43.21A,1,48.65,6.233333
54410,53.10Z,2,48.65,6.233333
54410,70.2A,3,48.65,6.233333
54410,64.43,1,48.65,6.233333
54410,74.90B,1,48.65,6.233333
54410,25.50A,1,48.65,6.233333
54410,68.20B,8,48.65,6.233333
