codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
54480,54.08,7,48.566667,6.966667
54480,54.08,7,48.6,6.933333
54480,54.08,7,48.533333,6.983333
54480,54.08,7,48.55,6.95
54480,54.08,7,48.533333,6.916667
54480,54.08,7,"",""
54480,54.08,7,48.6,6.983333
54480,84.11Z,14,48.566667,6.966667
54480,84.11Z,14,48.6,6.933333
54480,84.11Z,14,48.533333,6.983333
54480,84.11Z,14,48.55,6.95
54480,84.11Z,14,48.533333,6.916667
54480,84.11Z,14,"",""
54480,84.11Z,14,48.6,6.983333
54480,01.3Z,21,48.566667,6.966667
54480,01.3Z,21,48.6,6.933333
54480,01.3Z,21,48.533333,6.983333
54480,01.3Z,21,48.55,6.95
54480,01.3Z,21,48.533333,6.916667
54480,01.3Z,21,"",""
54480,01.3Z,21,48.6,6.983333
54480,96.02A,7,48.566667,6.966667
54480,96.02A,7,48.6,6.933333
54480,96.02A,7,48.533333,6.983333
54480,96.02A,7,48.55,6.95
54480,96.02A,7,48.533333,6.916667
54480,96.02A,7,"",""
54480,96.02A,7,48.6,6.983333
54480,82.19Z,7,48.566667,6.966667
54480,82.19Z,7,48.6,6.933333
54480,82.19Z,7,48.533333,6.983333
54480,82.19Z,7,48.55,6.95
54480,82.19Z,7,48.533333,6.916667
54480,82.19Z,7,"",""
54480,82.19Z,7,48.6,6.983333
54480,51.1T,7,48.566667,6.966667
54480,51.1T,7,48.6,6.933333
54480,51.1T,7,48.533333,6.983333
54480,51.1T,7,48.55,6.95
54480,51.1T,7,48.533333,6.916667
54480,51.1T,7,"",""
54480,51.1T,7,48.6,6.983333
54480,42.99Z,7,48.566667,6.966667
54480,42.99Z,7,48.6,6.933333
54480,42.99Z,7,48.533333,6.983333
54480,42.99Z,7,48.55,6.95
54480,42.99Z,7,48.533333,6.916667
54480,42.99Z,7,"",""
54480,42.99Z,7,48.6,6.983333
54480,01.50Z,7,48.566667,6.966667
54480,01.50Z,7,48.6,6.933333
54480,01.50Z,7,48.533333,6.983333
54480,01.50Z,7,48.55,6.95
54480,01.50Z,7,48.533333,6.916667
54480,01.50Z,7,"",""
54480,01.50Z,7,48.6,6.983333
54480,43.31Z,21,48.566667,6.966667
54480,43.31Z,21,48.6,6.933333
54480,43.31Z,21,48.533333,6.983333
54480,43.31Z,21,48.55,6.95
54480,43.31Z,21,48.533333,6.916667
54480,43.31Z,21,"",""
54480,43.31Z,21,48.6,6.983333
54480,96.02B,7,48.566667,6.966667
54480,96.02B,7,48.6,6.933333
54480,96.02B,7,48.533333,6.983333
54480,96.02B,7,48.55,6.95
54480,96.02B,7,48.533333,6.916667
54480,96.02B,7,"",""
54480,96.02B,7,48.6,6.983333
54480,68.31Z,7,48.566667,6.966667
54480,68.31Z,7,48.6,6.933333
54480,68.31Z,7,48.533333,6.983333
54480,68.31Z,7,48.55,6.95
54480,68.31Z,7,48.533333,6.916667
54480,68.31Z,7,"",""
54480,68.31Z,7,48.6,6.983333
54480,01.41Z,7,48.566667,6.966667
54480,01.41Z,7,48.6,6.933333
54480,01.41Z,7,48.533333,6.983333
54480,01.41Z,7,48.55,6.95
54480,01.41Z,7,48.533333,6.916667
54480,01.41Z,7,"",""
54480,01.41Z,7,48.6,6.983333
54480,01.42Z,14,48.566667,6.966667
54480,01.42Z,14,48.6,6.933333
54480,01.42Z,14,48.533333,6.983333
54480,01.42Z,14,48.55,6.95
54480,01.42Z,14,48.533333,6.916667
54480,01.42Z,14,"",""
54480,01.42Z,14,48.6,6.983333
54480,01.1A,14,48.566667,6.966667
54480,01.1A,14,48.6,6.933333
54480,01.1A,14,48.533333,6.983333
54480,01.1A,14,48.55,6.95
54480,01.1A,14,48.533333,6.916667
54480,01.1A,14,"",""
54480,01.1A,14,48.6,6.983333
54480,88.99B,7,48.566667,6.966667
54480,88.99B,7,48.6,6.933333
54480,88.99B,7,48.533333,6.983333
54480,88.99B,7,48.55,6.95
54480,88.99B,7,48.533333,6.916667
54480,88.99B,7,"",""
54480,88.99B,7,48.6,6.983333
54480,60.2M,7,48.566667,6.966667
54480,60.2M,7,48.6,6.933333
54480,60.2M,7,48.533333,6.983333
54480,60.2M,7,48.55,6.95
54480,60.2M,7,48.533333,6.916667
54480,60.2M,7,"",""
54480,60.2M,7,48.6,6.983333
54480,55.72,7,48.566667,6.966667
54480,55.72,7,48.6,6.933333
54480,55.72,7,48.533333,6.983333
54480,55.72,7,48.55,6.95
54480,55.72,7,48.533333,6.916667
54480,55.72,7,"",""
54480,55.72,7,48.6,6.983333
54480,68.20B,7,48.566667,6.966667
54480,68.20B,7,48.6,6.933333
54480,68.20B,7,48.533333,6.983333
54480,68.20B,7,48.55,6.95
54480,68.20B,7,48.533333,6.916667
54480,68.20B,7,"",""
54480,68.20B,7,48.6,6.983333
