codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
55250,47.99A,13,49.016667,5.1
55250,47.99A,13,48.883333,5.083333
55250,47.99A,13,48.933333,5.116667
55250,47.99A,13,"",""
55250,47.99A,13,"",""
55250,47.99A,13,48.95,5.15
55250,47.99A,13,49,5.166667
55250,47.99A,13,48.9,5.133333
55250,47.99A,13,49,5.1
55250,47.99A,13,48.983333,5.116667
55250,47.99A,13,49,5.05
55250,47.99A,13,"",""
55250,47.99A,13,49.033333,5.066667
55250,47.79Z,13,49.016667,5.1
55250,47.79Z,13,48.883333,5.083333
55250,47.79Z,13,48.933333,5.116667
55250,47.79Z,13,"",""
55250,47.79Z,13,"",""
55250,47.79Z,13,48.95,5.15
55250,47.79Z,13,49,5.166667
55250,47.79Z,13,48.9,5.133333
55250,47.79Z,13,49,5.1
55250,47.79Z,13,48.983333,5.116667
55250,47.79Z,13,49,5.05
55250,47.79Z,13,"",""
55250,47.79Z,13,49.033333,5.066667
55250,01.11Z,26,49.016667,5.1
55250,01.11Z,26,48.883333,5.083333
55250,01.11Z,26,48.933333,5.116667
55250,01.11Z,26,"",""
55250,01.11Z,26,"",""
55250,01.11Z,26,48.95,5.15
55250,01.11Z,26,49,5.166667
55250,01.11Z,26,48.9,5.133333
55250,01.11Z,26,49,5.1
55250,01.11Z,26,48.983333,5.116667
55250,01.11Z,26,49,5.05
55250,01.11Z,26,"",""
55250,01.11Z,26,49.033333,5.066667
55250,68.20A,26,49.016667,5.1
55250,68.20A,26,48.883333,5.083333
55250,68.20A,26,48.933333,5.116667
55250,68.20A,26,"",""
55250,68.20A,26,"",""
55250,68.20A,26,48.95,5.15
55250,68.20A,26,49,5.166667
55250,68.20A,26,48.9,5.133333
55250,68.20A,26,49,5.1
55250,68.20A,26,48.983333,5.116667
55250,68.20A,26,49,5.05
55250,68.20A,26,"",""
55250,68.20A,26,49.033333,5.066667
55250,56.21Z,26,49.016667,5.1
55250,56.21Z,26,48.883333,5.083333
55250,56.21Z,26,48.933333,5.116667
55250,56.21Z,26,"",""
55250,56.21Z,26,"",""
55250,56.21Z,26,48.95,5.15
55250,56.21Z,26,49,5.166667
55250,56.21Z,26,48.9,5.133333
55250,56.21Z,26,49,5.1
55250,56.21Z,26,48.983333,5.116667
55250,56.21Z,26,49,5.05
55250,56.21Z,26,"",""
55250,56.21Z,26,49.033333,5.066667
55250,84.11Z,52,49.016667,5.1
55250,84.11Z,52,48.883333,5.083333
55250,84.11Z,52,48.933333,5.116667
55250,84.11Z,52,"",""
55250,84.11Z,52,"",""
55250,84.11Z,52,48.95,5.15
55250,84.11Z,52,49,5.166667
55250,84.11Z,52,48.9,5.133333
55250,84.11Z,52,49,5.1
55250,84.11Z,52,48.983333,5.116667
55250,84.11Z,52,49,5.05
55250,84.11Z,52,"",""
55250,84.11Z,52,49.033333,5.066667
55250,01.3Z,13,49.016667,5.1
55250,01.3Z,13,48.883333,5.083333
55250,01.3Z,13,48.933333,5.116667
55250,01.3Z,13,"",""
55250,01.3Z,13,"",""
55250,01.3Z,13,48.95,5.15
55250,01.3Z,13,49,5.166667
55250,01.3Z,13,48.9,5.133333
55250,01.3Z,13,49,5.1
55250,01.3Z,13,48.983333,5.116667
55250,01.3Z,13,49,5.05
55250,01.3Z,13,"",""
55250,01.3Z,13,49.033333,5.066667
55250,01.24Z,13,49.016667,5.1
