codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
55400,45.20B,27,49.183333,5.65
55400,45.20B,27,49.216667,5.466667
55400,45.20B,27,49.166667,5.733333
55400,45.20B,27,49.216667,5.683333
55400,45.20B,27,49.15,5.733333
55400,45.20B,27,"",""
55400,45.20B,27,49.233333,5.583333
55400,45.20B,27,49.166667,5.55
55400,45.20B,27,49.233333,5.533333
55400,45.20B,27,49.25,5.5
55400,45.20B,27,49.2,5.716667
55400,45.20B,27,49.183333,5.583333
55400,45.20B,27,49.166667,5.683333
55400,45.20B,27,49.166667,5.55
55400,45.20B,27,49.25,5.566667
55400,45.20B,27,49.216667,5.583333
55400,45.20B,27,"",""
55400,45.20B,27,49.216667,5.633333
55400,45.20B,27,49.183333,5.5
55400,45.20B,27,49.216667,5.516667
55400,45.20B,27,49.2,5.5
55400,45.20B,27,49.15,5.533333
55400,45.20B,27,"",""
55400,45.20B,27,49.15,5.616667
55400,45.20B,27,49.183333,5.666667
55400,45.20B,27,49.166667,5.533333
55400,45.20B,27,"",""
55400,65.02,27,49.183333,5.65
55400,65.02,27,49.216667,5.466667
55400,65.02,27,49.166667,5.733333
55400,65.02,27,49.216667,5.683333
55400,65.02,27,49.15,5.733333
55400,65.02,27,"",""
55400,65.02,27,49.233333,5.583333
55400,65.02,27,49.166667,5.55
55400,65.02,27,49.233333,5.533333
55400,65.02,27,49.25,5.5
55400,65.02,27,49.2,5.716667
55400,65.02,27,49.183333,5.583333
55400,65.02,27,49.166667,5.683333
55400,65.02,27,49.166667,5.55
55400,65.02,27,49.25,5.566667
55400,65.02,27,49.216667,5.583333
55400,65.02,27,"",""
55400,65.02,27,49.216667,5.633333
55400,65.02,27,49.183333,5.5
55400,65.02,27,49.216667,5.516667
55400,65.02,27,49.2,5.5
55400,65.02,27,49.15,5.533333
55400,65.02,27,"",""
55400,65.02,27,49.15,5.616667
55400,65.02,27,49.183333,5.666667
55400,65.02,27,49.166667,5.533333
55400,65.02,27,"",""
55400,01.43Z,27,49.183333,5.65
55400,01.43Z,27,49.216667,5.466667
55400,01.43Z,27,49.166667,5.733333
55400,01.43Z,27,49.216667,5.683333
55400,01.43Z,27,49.15,5.733333
55400,01.43Z,27,"",""
55400,01.43Z,27,49.233333,5.583333
55400,01.43Z,27,49.166667,5.55
55400,01.43Z,27,49.233333,5.533333
