codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
56110,47.99A,12,48.125,-3.716667
56110,47.99A,12,48.083333,-3.566667
56110,47.99A,12,48.133333,-3.6
56110,64.11,6,48.125,-3.716667
56110,64.11,6,48.083333,-3.566667
56110,64.11,6,48.133333,-3.6
56110,55.3A,3,48.125,-3.716667
56110,55.3A,3,48.083333,-3.566667
56110,55.3A,3,48.133333,-3.6
56110,43.22A,3,48.125,-3.716667
56110,43.22A,3,48.083333,-3.566667
56110,43.22A,3,48.133333,-3.6
56110,41.10A,3,48.125,-3.716667
56110,41.10A,3,48.083333,-3.566667
56110,41.10A,3,48.133333,-3.6
56110,93.0D,3,48.125,-3.716667
56110,93.0D,3,48.083333,-3.566667
56110,93.0D,3,48.133333,-3.6
56110,01.11Z,15,48.125,-3.716667
56110,01.11Z,15,48.083333,-3.566667
56110,01.11Z,15,48.133333,-3.6
56110,47.79Z,3,48.125,-3.716667
56110,47.79Z,3,48.083333,-3.566667
56110,47.79Z,3,48.133333,-3.6
56110,46.23Z,3,48.125,-3.716667
56110,46.23Z,3,48.083333,-3.566667
56110,46.23Z,3,48.133333,-3.6
56110,92.3A,3,48.125,-3.716667
56110,92.3A,3,48.083333,-3.566667
56110,92.3A,3,48.133333,-3.6
56110,52.4Z,3,48.125,-3.716667
56110,52.4Z,3,48.083333,-3.566667
56110,52.4Z,3,48.133333,-3.6
56110,68.20A,27,48.125,-3.716667
56110,68.20A,27,48.083333,-3.566667
56110,68.20A,27,48.133333,-3.6
56110,01.50,3,48.125,-3.716667
56110,01.50,3,48.083333,-3.566667
56110,01.50,3,48.133333,-3.6
56110,55.40,3,48.125,-3.716667
56110,55.40,3,48.083333,-3.566667
56110,55.40,3,48.133333,-3.6
56110,45.3E,3,48.125,-3.716667
56110,45.3E,3,48.083333,-3.566667
56110,45.3E,3,48.133333,-3.6
56110,55.60,15,48.125,-3.716667
56110,55.60,15,48.083333,-3.566667
56110,55.60,15,48.133333,-3.6
56110,45.2J,3,48.125,-3.716667
56110,45.2J,3,48.083333,-3.566667
56110,45.2J,3,48.133333,-3.6
56110,56.30Z,15,48.125,-3.716667
56110,56.30Z,15,48.083333,-3.566667
56110,56.30Z,15,48.133333,-3.6
56110,72.2Z,3,48.125,-3.716667
56110,72.2Z,3,48.083333,-3.566667
56110,72.2Z,3,48.133333,-3.6
56110,15.8B,3,48.125,-3.716667
56110,15.8B,3,48.083333,-3.566667
56110,15.8B,3,48.133333,-3.6
56110,56.21Z,3,48.125,-3.716667
56110,56.21Z,3,48.083333,-3.566667
56110,56.21Z,3,48.133333,-3.6
56110,95.11Z,3,48.125,-3.716667
56110,95.11Z,3,48.083333,-3.566667
56110,95.11Z,3,48.133333,-3.6
56110,62.11,3,48.125,-3.716667
56110,62.11,3,48.083333,-3.566667
56110,62.11,3,48.133333,-3.6
56110,46.49Z,3,48.125,-3.716667
56110,46.49Z,3,48.083333,-3.566667
56110,46.49Z,3,48.133333,-3.6
