codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
56130,33.20A,24,47.583333,-2.366667
56130,33.20A,24,47.566667,-2.116667
56130,33.20A,24,47.55,-2.15
56130,33.20A,24,47.533333,-2.283333
56130,33.20A,24,47.533333,-2.316667
56130,33.20A,24,47.516667,-2.3
56130,33.20A,24,47.483333,-2.35
56130,33.20A,24,47.483333,-2.4
56130,47.99A,104,47.583333,-2.366667
56130,47.99A,104,47.566667,-2.116667
56130,47.99A,104,47.55,-2.15
56130,47.99A,104,47.533333,-2.283333
56130,47.99A,104,47.533333,-2.316667
56130,47.99A,104,47.516667,-2.3
56130,47.99A,104,47.483333,-2.35
56130,47.99A,104,47.483333,-2.4
56130,55.3A,24,47.583333,-2.366667
56130,55.3A,24,47.566667,-2.116667
56130,55.3A,24,47.55,-2.15
56130,55.3A,24,47.533333,-2.283333
56130,55.3A,24,47.533333,-2.316667
56130,55.3A,24,47.516667,-2.3
56130,55.3A,24,47.483333,-2.35
56130,55.3A,24,47.483333,-2.4
56130,46.45Z,8,47.583333,-2.366667
56130,46.45Z,8,47.566667,-2.116667
56130,46.45Z,8,47.55,-2.15
56130,46.45Z,8,47.533333,-2.283333
56130,46.45Z,8,47.533333,-2.316667
56130,46.45Z,8,47.516667,-2.3
56130,46.45Z,8,47.483333,-2.35
56130,46.45Z,8,47.483333,-2.4
56130,43.22A,64,47.583333,-2.366667
56130,43.22A,64,47.566667,-2.116667
56130,43.22A,64,47.55,-2.15
56130,43.22A,64,47.533333,-2.283333
56130,43.22A,64,47.533333,-2.316667
56130,43.22A,64,47.516667,-2.3
56130,43.22A,64,47.483333,-2.35
56130,43.22A,64,47.483333,-2.4
56130,64.40,8,47.583333,-2.366667
56130,64.40,8,47.566667,-2.116667
56130,64.40,8,47.55,-2.15
56130,64.40,8,47.533333,-2.283333
56130,64.40,8,47.533333,-2.316667
56130,64.40,8,47.516667,-2.3
56130,64.40,8,47.483333,-2.35
56130,64.40,8,47.483333,-2.4
56130,67.05,8,47.583333,-2.366667
56130,67.05,8,47.566667,-2.116667
56130,67.05,8,47.55,-2.15
56130,67.05,8,47.533333,-2.283333
56130,67.05,8,47.533333,-2.316667
56130,67.05,8,47.516667,-2.3
56130,67.05,8,47.483333,-2.35
56130,67.05,8,47.483333,-2.4
56130,93.0D,32,47.583333,-2.366667
56130,93.0D,32,47.566667,-2.116667
56130,93.0D,32,47.55,-2.15
56130,93.0D,32,47.533333,-2.283333
56130,93.0D,32,47.533333,-2.316667
56130,93.0D,32,47.516667,-2.3
56130,93.0D,32,47.483333,-2.35
56130,93.0D,32,47.483333,-2.4
56130,02.10Z,16,47.583333,-2.366667
56130,02.10Z,16,47.566667,-2.116667
56130,02.10Z,16,47.55,-2.15
56130,02.10Z,16,47.533333,-2.283333
56130,02.10Z,16,47.533333,-2.316667
56130,02.10Z,16,47.516667,-2.3
56130,02.10Z,16,47.483333,-2.35
56130,02.10Z,16,47.483333,-2.4
56130,52.3A,8,47.583333,-2.366667
56130,52.3A,8,47.566667,-2.116667
56130,52.3A,8,47.55,-2.15
56130,52.3A,8,47.533333,-2.283333
56130,52.3A,8,47.533333,-2.316667
56130,52.3A,8,47.516667,-2.3
56130,52.3A,8,47.483333,-2.35
56130,52.3A,8,47.483333,-2.4
56130,01.11Z,32,47.583333,-2.366667
