codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
56140,47.99A,168,47.833333,-2.216667
56140,47.99A,168,47.8,-2.416667
56140,47.99A,168,"",""
56140,47.99A,168,47.766667,-2.316667
56140,47.99A,168,47.85,-2.4
56140,47.99A,168,47.816667,-2.283333
56140,47.99A,168,47.85,-2.25
56140,47.99A,168,47.75,-2.366667
56140,47.99A,168,47.833333,-2.35
56140,47.99A,168,47.816667,-2.383333
56140,47.99A,168,47.866667,-2.316667
56140,47.99A,168,47.783333,-2.433333
56140,33.20A,24,47.833333,-2.216667
56140,33.20A,24,47.8,-2.416667
56140,33.20A,24,"",""
56140,33.20A,24,47.766667,-2.316667
56140,33.20A,24,47.85,-2.4
56140,33.20A,24,47.816667,-2.283333
56140,33.20A,24,47.85,-2.25
56140,33.20A,24,47.75,-2.366667
56140,33.20A,24,47.833333,-2.35
56140,33.20A,24,47.816667,-2.383333
56140,33.20A,24,47.866667,-2.316667
56140,33.20A,24,47.783333,-2.433333
56140,45.20B,12,47.833333,-2.216667
56140,45.20B,12,47.8,-2.416667
56140,45.20B,12,"",""
56140,45.20B,12,47.766667,-2.316667
56140,45.20B,12,47.85,-2.4
56140,45.20B,12,47.816667,-2.283333
56140,45.20B,12,47.85,-2.25
56140,45.20B,12,47.75,-2.366667
56140,45.20B,12,47.833333,-2.35
56140,45.20B,12,47.816667,-2.383333
56140,45.20B,12,47.866667,-2.316667
56140,45.20B,12,47.783333,-2.433333
56140,95.13,12,47.833333,-2.216667
56140,95.13,12,47.8,-2.416667
56140,95.13,12,"",""
56140,95.13,12,47.766667,-2.316667
56140,95.13,12,47.85,-2.4
56140,95.13,12,47.816667,-2.283333
56140,95.13,12,47.85,-2.25
56140,95.13,12,47.75,-2.366667
56140,95.13,12,47.833333,-2.35
56140,95.13,12,47.816667,-2.383333
56140,95.13,12,47.866667,-2.316667
56140,95.13,12,47.783333,-2.433333
56140,55.3A,24,47.833333,-2.216667
56140,55.3A,24,47.8,-2.416667
56140,55.3A,24,"",""
56140,55.3A,24,47.766667,-2.316667
56140,55.3A,24,47.85,-2.4
56140,55.3A,24,47.816667,-2.283333
56140,55.3A,24,47.85,-2.25
56140,55.3A,24,47.75,-2.366667
56140,55.3A,24,47.833333,-2.35
56140,55.3A,24,47.816667,-2.383333
56140,55.3A,24,47.866667,-2.316667
56140,55.3A,24,47.783333,-2.433333
56140,65.12Z,12,47.833333,-2.216667
56140,65.12Z,12,47.8,-2.416667
56140,65.12Z,12,"",""
56140,65.12Z,12,47.766667,-2.316667
56140,65.12Z,12,47.85,-2.4
56140,65.12Z,12,47.816667,-2.283333
56140,65.12Z,12,47.85,-2.25
56140,65.12Z,12,47.75,-2.366667
56140,65.12Z,12,47.833333,-2.35
56140,65.12Z,12,47.816667,-2.383333
56140,65.12Z,12,47.866667,-2.316667
56140,65.12Z,12,47.783333,-2.433333
56140,43.22A,120,47.833333,-2.216667
56140,43.22A,120,47.8,-2.416667
56140,43.22A,120,"",""
56140,43.22A,120,47.766667,-2.316667
56140,43.22A,120,47.85,-2.4
56140,43.22A,120,47.816667,-2.283333
56140,43.22A,120,47.85,-2.25
56140,43.22A,120,47.75,-2.366667
56140,43.22A,120,47.833333,-2.35
56140,43.22A,120,47.816667,-2.383333
56140,43.22A,120,47.866667,-2.316667
56140,43.22A,120,47.783333,-2.433333
56140,90.0E,12,47.833333,-2.216667
56140,90.0E,12,47.8,-2.416667
56140,90.0E,12,"",""
56140,90.0E,12,47.766667,-2.316667
56140,90.0E,12,47.85,-2.4
56140,90.0E,12,47.816667,-2.283333
56140,90.0E,12,47.85,-2.25
56140,90.0E,12,47.75,-2.366667
56140,90.0E,12,47.833333,-2.35
