codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
57117,47.99A,16,49.133333,6.3
57117,47.99A,16,49.133333,6.266667
57117,47.99A,16,49.133333,6.283333
57117,47.99A,16,"",""
57117,02.10Z,4,49.133333,6.3
57117,02.10Z,4,49.133333,6.266667
57117,02.10Z,4,49.133333,6.283333
57117,02.10Z,4,"",""
57117,01.11Z,4,49.133333,6.3
57117,01.11Z,4,49.133333,6.266667
57117,01.11Z,4,49.133333,6.283333
57117,01.11Z,4,"",""
57117,68.20A,20,49.133333,6.3
57117,68.20A,20,49.133333,6.266667
57117,68.20A,20,49.133333,6.283333
57117,68.20A,20,"",""
57117,93.19Z,4,49.133333,6.3
57117,93.19Z,4,49.133333,6.266667
57117,93.19Z,4,49.133333,6.283333
57117,93.19Z,4,"",""
57117,90.01Z,8,49.133333,6.3
57117,90.01Z,8,49.133333,6.266667
57117,90.01Z,8,49.133333,6.283333
57117,90.01Z,8,"",""
57117,86.90E,4,49.133333,6.3
57117,86.90E,4,49.133333,6.266667
57117,86.90E,4,49.133333,6.283333
57117,86.90E,4,"",""
57117,94.91Z,4,49.133333,6.3
57117,94.91Z,4,49.133333,6.266667
57117,94.91Z,4,49.133333,6.283333
57117,94.91Z,4,"",""
57117,84.11Z,40,49.133333,6.3
57117,84.11Z,40,49.133333,6.266667
57117,84.11Z,40,49.133333,6.283333
57117,84.11Z,40,"",""
57117,93.12Z,8,49.133333,6.3
57117,93.12Z,8,49.133333,6.266667
57117,93.12Z,8,49.133333,6.283333
57117,93.12Z,8,"",""
57117,43.32A,12,49.133333,6.3
57117,43.32A,12,49.133333,6.266667
57117,43.32A,12,49.133333,6.283333
57117,43.32A,12,"",""
57117,97.22,4,49.133333,6.3
57117,97.22,4,49.133333,6.266667
57117,97.22,4,49.133333,6.283333
57117,97.22,4,"",""
57117,43.33Z,4,49.133333,6.3
57117,43.33Z,4,49.133333,6.266667
57117,43.33Z,4,49.133333,6.283333
57117,43.33Z,4,"",""
57117,56.10A,12,49.133333,6.3
57117,56.10A,12,49.133333,6.266667
57117,56.10A,12,49.133333,6.283333
57117,56.10A,12,"",""
57117,64.30Z,4,49.133333,6.3
57117,64.30Z,4,49.133333,6.266667
57117,64.30Z,4,49.133333,6.283333
57117,64.30Z,4,"",""
57117,86.90D,16,49.133333,6.3
57117,86.90D,16,49.133333,6.266667
57117,86.90D,16,49.133333,6.283333
57117,86.90D,16,"",""
57117,46.19B,4,49.133333,6.3
57117,46.19B,4,49.133333,6.266667
57117,46.19B,4,49.133333,6.283333
57117,46.19B,4,"",""
57117,45.3A,4,49.133333,6.3
57117,45.3A,4,49.133333,6.266667
57117,45.3A,4,49.133333,6.283333
57117,45.3A,4,"",""
57117,94.99Z,12,49.133333,6.3
57117,94.99Z,12,49.133333,6.266667
57117,94.99Z,12,49.133333,6.283333
57117,94.99Z,12,"",""
57117,62.01Z,4,49.133333,6.3
57117,62.01Z,4,49.133333,6.266667
57117,62.01Z,4,49.133333,6.283333
57117,62.01Z,4,"",""
57117,01.50Z,4,49.133333,6.3
57117,01.50Z,4,49.133333,6.266667
57117,01.50Z,4,49.133333,6.283333
57117,01.50Z,4,"",""
57117,81.21,4,49.133333,6.3
57117,81.21,4,49.133333,6.266667
57117,81.21,4,49.133333,6.283333
57117,81.21,4,"",""
57117,47.71Z,4,49.133333,6.3
57117,47.71Z,4,49.133333,6.266667
57117,47.71Z,4,49.133333,6.283333
57117,47.71Z,4,"",""
57117,47.19B,4,49.133333,6.3
57117,47.19B,4,49.133333,6.266667
57117,47.19B,4,49.133333,6.283333
