codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
57136,47.99A,2,49.1,7.266667
57136,47.99A,2,49.116667,7.266667
57136,55.3A,4,49.1,7.266667
57136,55.3A,4,49.116667,7.266667
57136,01.1F,2,49.1,7.266667
57136,01.1F,2,49.116667,7.266667
57136,01.11Z,10,49.1,7.266667
57136,01.11Z,10,49.116667,7.266667
57136,68.20A,4,49.1,7.266667
57136,68.20A,4,49.116667,7.266667
57136,49.32Z,2,49.1,7.266667
57136,49.32Z,2,49.116667,7.266667
57136,56.21Z,2,49.1,7.266667
57136,56.21Z,2,49.116667,7.266667
57136,43.34Z,2,49.1,7.266667
57136,43.34Z,2,49.116667,7.266667
57136,93.19Z,4,49.1,7.266667
57136,93.19Z,4,49.116667,7.266667
57136,47.82Z,2,49.1,7.266667
57136,47.82Z,2,49.116667,7.266667
57136,56.10C,2,49.1,7.266667
57136,56.10C,2,49.116667,7.266667
57136,74.10Z,6,49.1,7.266667
57136,74.10Z,6,49.116667,7.266667
57136,74.90A,2,49.1,7.266667
57136,74.90A,2,49.116667,7.266667
57136,84.11Z,4,49.1,7.266667
57136,84.11Z,4,49.116667,7.266667
57136,01.3Z,2,49.1,7.266667
57136,01.3Z,2,49.116667,7.266667
57136,43.29B,2,49.1,7.266667
57136,43.29B,2,49.116667,7.266667
57136,25.62B,2,49.1,7.266667
57136,25.62B,2,49.116667,7.266667
57136,36.1G,2,49.1,7.266667
57136,36.1G,2,49.116667,7.266667
57136,86.23Z,2,49.1,7.266667
57136,86.23Z,2,49.116667,7.266667
57136,37.00Z,2,49.1,7.266667
57136,37.00Z,2,49.116667,7.266667
57136,55.4B,2,49.1,7.266667
57136,55.4B,2,49.116667,7.266667
57136,74.20Z,4,49.1,7.266667
57136,74.20Z,4,49.116667,7.266667
57136,64.30Z,2,49.1,7.266667
57136,64.30Z,2,49.116667,7.266667
57136,86.90D,2,49.1,7.266667
57136,86.90D,2,49.116667,7.266667
57136,69.12,2,49.1,7.266667
57136,69.12,2,49.116667,7.266667
57136,94.99Z,4,49.1,7.266667
57136,94.99Z,4,49.116667,7.266667
57136,01.63,2,49.1,7.266667
57136,01.63,2,49.116667,7.266667
57136,66.19B,4,49.1,7.266667
57136,66.19B,4,49.116667,7.266667
57136,46.63Z,2,49.1,7.266667
57136,46.63Z,2,49.116667,7.266667
57136,00.00Z,2,49.1,7.266667
57136,00.00Z,2,49.116667,7.266667
57136,55.12,2,49.1,7.266667
57136,55.12,2,49.116667,7.266667
57136,01.50Z,10,49.1,7.266667
57136,01.50Z,10,49.116667,7.266667
57136,01.45Z,2,49.1,7.266667
57136,01.45Z,2,49.116667,7.266667
57136,91.3E,2,49.1,7.266667
57136,91.3E,2,49.116667,7.266667
57136,45.4C,2,49.1,7.266667
57136,45.4C,2,49.116667,7.266667
57136,43.99D,2,49.1,7.266667
57136,43.99D,2,49.116667,7.266667
57136,90.03A,2,49.1,7.266667
57136,90.03A,2,49.116667,7.266667
57136,96.02B,2,49.1,7.266667
57136,96.02B,2,49.116667,7.266667
57136,47.81Z,2,49.1,7.266667
57136,47.81Z,2,49.116667,7.266667
57136,01.41Z,4,49.1,7.266667
57136,01.41Z,4,49.116667,7.266667
57136,01.42Z,8,49.1,7.266667
57136,01.42Z,8,49.116667,7.266667
57136,01.61Z,2,49.1,7.266667
57136,01.61Z,2,49.116667,7.266667
57136,45.20A,2,49.1,7.266667
57136,45.20A,2,49.116667,7.266667
57136,33.12Z,4,49.1,7.266667
57136,33.12Z,4,49.116667,7.266667
57136,35.11Z,6,49.1,7.266667
57136,35.11Z,6,49.116667,7.266667
57136,43.12A,6,49.1,7.266667
57136,43.12A,6,49.116667,7.266667
57136,45.11Z,2,49.1,7.266667
57136,45.11Z,2,49.116667,7.266667
57136,01.49Z,2,49.1,7.266667
57136,01.49Z,2,49.116667,7.266667
57136,01.1A,4,49.1,7.266667
57136,01.1A,4,49.116667,7.266667
57136,01.19Z,2,49.1,7.266667
57136,01.19Z,2,49.116667,7.266667
57136,47.91B,2,49.1,7.266667
57136,47.91B,2,49.116667,7.266667
57136,88.99B,2,49.1,7.266667
57136,88.99B,2,49.116667,7.266667
57136,93.29Z,2,49.1,7.266667
57136,93.29Z,2,49.116667,7.266667
57136,47.89Z,4,49.1,7.266667
57136,47.89Z,4,49.116667,7.266667
57136,45.2V,2,49.1,7.266667
57136,45.2V,2,49.116667,7.266667
57136,43.21A,6,49.1,7.266667
57136,43.21A,6,49.116667,7.266667
57136,64.43,2,49.1,7.266667
57136,64.43,2,49.116667,7.266667
57136,68.20B,24,49.1,7.266667
57136,68.20B,24,49.116667,7.266667
