codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
57144,33.20A,3,49.266667,6.316667
57144,47.99A,19,49.266667,6.316667
57144,61.10Z,1,49.266667,6.316667
57144,55.3A,6,49.266667,6.316667
57144,65.12Z,1,49.266667,6.316667
57144,43.22A,1,49.266667,6.316667
57144,11.01Z,1,49.266667,6.316667
57144,01.11Z,2,49.266667,6.316667
57144,47.79Z,3,49.266667,6.316667
57144,52.3A,1,49.266667,6.316667
57144,49.41A,1,49.266667,6.316667
57144,95.29Z,6,49.266667,6.316667
57144,68.20A,25,49.266667,6.316667
57144,60.20B,1,49.266667,6.316667
57144,55.40,2,49.266667,6.316667
57144,49.32Z,9,49.266667,6.316667
57144,46.46Z,1,49.266667,6.316667
57144,45.2J,1,49.266667,6.316667
57144,55.60,1,49.266667,6.316667
57144,64.1C,2,49.266667,6.316667
57144,56.30Z,6,49.266667,6.316667
57144,32.99Z,1,49.266667,6.316667
57144,72.2Z,1,49.266667,6.316667
57144,95.11Z,4,49.266667,6.316667
57144,56.21Z,1,49.266667,6.316667
57144,62.11,2,49.266667,6.316667
57144,85.1C,1,49.266667,6.316667
57144,46.49Z,1,49.266667,6.316667
57144,47.52A,1,49.266667,6.316667
57144,45.4J,2,49.266667,6.316667
57144,01.47Z,1,49.266667,6.316667
57144,88.99A,1,49.266667,6.316667
57144,43.34Z,8,49.266667,6.316667
57144,64.20Z,1,49.266667,6.316667
57144,87.10A,4,49.266667,6.316667
57144,86.90E,7,49.266667,6.316667
57144,90.01Z,1,49.266667,6.316667
57144,01.43Z,1,49.266667,6.316667
57144,85.31Z,1,49.266667,6.316667
57144,82.20Z,1,49.266667,6.316667
57144,46.73B,2,49.266667,6.316667
57144,77.10,1,49.266667,6.316667
57144,43.32B,3,49.266667,6.316667
57144,47.82Z,6,49.266667,6.316667
57144,42.22Z,4,49.266667,6.316667
57144,94.91Z,3,49.266667,6.316667
57144,38.31Z,1,49.266667,6.316667
57144,56.10C,4,49.266667,6.316667
57144,74.10Z,4,49.266667,6.316667
57144,74.90A,1,49.266667,6.316667
57144,43.91A,2,49.266667,6.316667
57144,81.30Z,3,49.266667,6.316667
57144,49.05,1,49.266667,6.316667
