codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
57145,47.99A,3,49.066667,7.016667
57145,43.22A,1,49.066667,7.016667
57145,01.11Z,1,49.066667,7.016667
57145,49.41A,1,49.066667,7.016667
57145,92.3A,1,49.066667,7.016667
57145,68.20A,9,49.066667,7.016667
57145,31.2B,1,49.066667,7.016667
57145,72.2Z,1,49.066667,7.016667
57145,43.34Z,1,49.066667,7.016667
57145,01.43Z,1,49.066667,7.016667
57145,01.07,1,49.066667,7.016667
57145,81.30Z,1,49.066667,7.016667
57145,84.11Z,4,49.066667,7.016667
57145,93.12Z,2,49.066667,7.016667
57145,93.11Z,1,49.066667,7.016667
57145,47.11B,1,49.066667,7.016667
57145,43.33Z,3,49.066667,7.016667
57145,74.20Z,1,49.066667,7.016667
57145,86.90D,3,49.066667,7.016667
57145,96.02A,1,49.066667,7.016667
57145,46.19B,1,49.066667,7.016667
57145,01.00,1,49.066667,7.016667
57145,94.99Z,3,49.066667,7.016667
57145,62.01Z,1,49.066667,7.016667
57145,55.71,1,49.066667,7.016667
57145,01.50Z,2,49.066667,7.016667
57145,46.18Z,2,49.066667,7.016667
57145,81.21,1,49.066667,7.016667
57145,43.99D,1,49.066667,7.016667
57145,02.40Z,1,49.066667,7.016667
57145,95.24Z,1,49.066667,7.016667
57145,85.59B,1,49.066667,7.016667
57145,43.99C,2,49.066667,7.016667
57145,49.41B,1,49.066667,7.016667
57145,45.20A,1,49.066667,7.016667
57145,96.09Z,1,49.066667,7.016667
57145,60.09,1,49.066667,7.016667
57145,52.6G,1,49.066667,7.016667
57145,10.11Z,1,49.066667,7.016667
57145,45.11Z,1,49.066667,7.016667
57145,01.49Z,1,49.066667,7.016667
57145,90.03B,2,49.066667,7.016667
57145,47.99B,1,49.066667,7.016667
57145,62.09Z,3,49.066667,7.016667
57145,70.22Z,2,49.066667,7.016667
57145,88.99B,1,49.066667,7.016667
57145,52.4L,1,49.066667,7.016667
57145,93.29Z,3,49.066667,7.016667
57145,85.51Z,1,49.066667,7.016667
57145,43.21A,1,49.066667,7.016667
57145,96.01B,1,49.066667,7.016667
57145,68.20B,10,49.066667,7.016667
