codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
57160,47.99A,335,49.1,6.083333
57160,47.99A,335,49.116667,6.1
57160,47.99A,335,49.116667,6.083333
57160,47.99A,335,49.116667,6.116667
57160,47.99A,335,49.1,6.1
57160,33.20A,100,49.1,6.083333
57160,33.20A,100,49.116667,6.1
57160,33.20A,100,49.116667,6.083333
57160,33.20A,100,49.116667,6.116667
57160,33.20A,100,49.1,6.1
57160,25.73B,10,49.1,6.083333
57160,25.73B,10,49.116667,6.1
57160,25.73B,10,49.116667,6.083333
57160,25.73B,10,49.116667,6.116667
57160,25.73B,10,49.1,6.1
57160,64.11,85,49.1,6.083333
57160,64.11,85,49.116667,6.1
57160,64.11,85,49.116667,6.083333
57160,64.11,85,49.116667,6.116667
57160,64.11,85,49.1,6.1
57160,45.3H,10,49.1,6.083333
57160,45.3H,10,49.116667,6.1
57160,45.3H,10,49.116667,6.083333
57160,45.3H,10,49.116667,6.116667
57160,45.3H,10,49.1,6.1
57160,70.3A,20,49.1,6.083333
57160,70.3A,20,49.116667,6.1
57160,70.3A,20,49.116667,6.083333
57160,70.3A,20,49.116667,6.116667
57160,70.3A,20,49.1,6.1
57160,61.10Z,5,49.1,6.083333
57160,61.10Z,5,49.116667,6.1
57160,61.10Z,5,49.116667,6.083333
57160,61.10Z,5,49.116667,6.116667
57160,61.10Z,5,49.1,6.1
57160,87.30A,5,49.1,6.083333
57160,87.30A,5,49.116667,6.1
57160,87.30A,5,49.116667,6.083333
57160,87.30A,5,49.116667,6.116667
57160,87.30A,5,49.1,6.1
57160,55.3A,125,49.1,6.083333
57160,55.3A,125,49.116667,6.1
57160,55.3A,125,49.116667,6.083333
57160,55.3A,125,49.116667,6.116667
57160,55.3A,125,49.1,6.1
57160,45.1B,5,49.1,6.083333
57160,45.1B,5,49.116667,6.1
57160,45.1B,5,49.116667,6.083333
57160,45.1B,5,49.116667,6.116667
57160,45.1B,5,49.1,6.1
57160,46.45Z,5,49.1,6.083333
57160,46.45Z,5,49.116667,6.1
57160,46.45Z,5,49.116667,6.083333
57160,46.45Z,5,49.116667,6.116667
57160,46.45Z,5,49.1,6.1
57160,43.22A,30,49.1,6.083333
57160,43.22A,30,49.116667,6.1
57160,43.22A,30,49.116667,6.083333
57160,43.22A,30,49.116667,6.116667
57160,43.22A,30,49.1,6.1
57160,95.12Z,10,49.1,6.083333
57160,95.12Z,10,49.116667,6.1
57160,95.12Z,10,49.116667,6.083333
57160,95.12Z,10,49.116667,6.116667
57160,95.12Z,10,49.1,6.1
57160,31.01Z,15,49.1,6.083333
57160,31.01Z,15,49.116667,6.1
57160,31.01Z,15,49.116667,6.083333
57160,31.01Z,15,49.116667,6.116667
57160,31.01Z,15,49.1,6.1
57160,41.10A,30,49.1,6.083333
57160,41.10A,30,49.116667,6.1
57160,41.10A,30,49.116667,6.083333
57160,41.10A,30,49.116667,6.116667
57160,41.10A,30,49.1,6.1
57160,64.40,10,49.1,6.083333
57160,64.40,10,49.116667,6.1
57160,64.40,10,49.116667,6.083333
57160,64.40,10,49.116667,6.116667
57160,64.40,10,49.1,6.1
57160,58.01,5,49.1,6.083333
57160,58.01,5,49.116667,6.1
57160,58.01,5,49.116667,6.083333
57160,58.01,5,49.116667,6.116667
57160,58.01,5,49.1,6.1
57160,93.0D,90,49.1,6.083333
57160,93.0D,90,49.116667,6.1
57160,93.0D,90,49.116667,6.083333
57160,93.0D,90,49.116667,6.116667
57160,93.0D,90,49.1,6.1
57160,14.39Z,25,49.1,6.083333
57160,14.39Z,25,49.116667,6.1
57160,14.39Z,25,49.116667,6.083333
57160,14.39Z,25,49.116667,6.116667
57160,14.39Z,25,49.1,6.1
57160,43.11Z,5,49.1,6.083333
57160,43.11Z,5,49.116667,6.1
57160,43.11Z,5,49.116667,6.083333
57160,43.11Z,5,49.116667,6.116667
57160,43.11Z,5,49.1,6.1
57160,01.11Z,5,49.1,6.083333
57160,01.11Z,5,49.116667,6.1
57160,01.11Z,5,49.116667,6.083333
57160,01.11Z,5,49.116667,6.116667
57160,01.11Z,5,49.1,6.1
57160,84.11,10,49.1,6.083333
57160,84.11,10,49.116667,6.1
57160,84.11,10,49.116667,6.083333
57160,84.11,10,49.116667,6.116667
57160,84.11,10,49.1,6.1
57160,52.3A,10,49.1,6.083333
57160,52.3A,10,49.116667,6.1
57160,52.3A,10,49.116667,6.083333
57160,52.3A,10,49.116667,6.116667
57160,52.3A,10,49.1,6.1
57160,47.79Z,5,49.1,6.083333
57160,47.79Z,5,49.116667,6.1
57160,47.79Z,5,49.116667,6.083333
57160,47.79Z,5,49.116667,6.116667
57160,47.79Z,5,49.1,6.1
57160,49.41A,95,49.1,6.083333
57160,49.41A,95,49.116667,6.1
57160,49.41A,95,49.116667,6.083333
57160,49.41A,95,49.116667,6.116667
57160,49.41A,95,49.1,6.1
57160,77.01,10,49.1,6.083333
57160,77.01,10,49.116667,6.1
57160,77.01,10,49.116667,6.083333
57160,77.01,10,49.116667,6.116667
57160,77.01,10,49.1,6.1
57160,28.15,5,49.1,6.083333
57160,28.15,5,49.116667,6.1
57160,28.15,5,49.116667,6.083333
57160,28.15,5,49.116667,6.116667
57160,28.15,5,49.1,6.1
57160,65.02,10,49.1,6.083333
57160,65.02,10,49.116667,6.1
57160,65.02,10,49.116667,6.083333
57160,65.02,10,49.116667,6.116667
57160,65.02,10,49.1,6.1
57160,52.4Z,40,49.1,6.083333
57160,52.4Z,40,49.116667,6.1
57160,52.4Z,40,49.116667,6.083333
57160,52.4Z,40,49.116667,6.116667
57160,52.4Z,40,49.1,6.1
57160,95.29Z,75,49.1,6.083333
57160,95.29Z,75,49.116667,6.1
57160,95.29Z,75,49.116667,6.083333
57160,95.29Z,75,49.116667,6.116667
57160,95.29Z,75,49.1,6.1
57160,92.3A,15,49.1,6.083333
57160,92.3A,15,49.116667,6.1
57160,92.3A,15,49.116667,6.083333
57160,92.3A,15,49.116667,6.116667
57160,92.3A,15,49.1,6.1
57160,47.65Z,10,49.1,6.083333
57160,47.65Z,10,49.116667,6.1
57160,47.65Z,10,49.116667,6.083333
57160,47.65Z,10,49.116667,6.116667
57160,47.65Z,10,49.1,6.1
57160,64.23,10,49.1,6.083333
57160,64.23,10,49.116667,6.1
57160,64.23,10,49.116667,6.083333
57160,64.23,10,49.116667,6.116667
57160,64.23,10,49.1,6.1
57160,25.2A,20,49.1,6.083333
57160,25.2A,20,49.116667,6.1
57160,25.2A,20,49.116667,6.083333
57160,25.2A,20,49.116667,6.116667
57160,25.2A,20,49.1,6.1
57160,68.20A,705,49.1,6.083333
57160,68.20A,705,49.116667,6.1
57160,68.20A,705,49.116667,6.083333
57160,68.20A,705,49.116667,6.116667
57160,68.20A,705,49.1,6.1
57160,64.49,35,49.1,6.083333
57160,64.49,35,49.116667,6.1
57160,64.49,35,49.116667,6.083333
57160,64.49,35,49.116667,6.116667
57160,64.49,35,49.1,6.1
57160,55.40,15,49.1,6.083333
57160,55.40,15,49.116667,6.1
57160,55.40,15,49.116667,6.083333
57160,55.40,15,49.116667,6.116667
57160,55.40,15,49.1,6.1
57160,85.1E,10,49.1,6.083333
57160,85.1E,10,49.116667,6.1
57160,85.1E,10,49.116667,6.083333
57160,85.1E,10,49.116667,6.116667
57160,85.1E,10,49.1,6.1
57160,14.2A,10,49.1,6.083333
57160,14.2A,10,49.116667,6.1
57160,14.2A,10,49.116667,6.083333
57160,14.2A,10,49.116667,6.116667
57160,14.2A,10,49.1,6.1
57160,45.3E,5,49.1,6.083333
57160,45.3E,5,49.116667,6.1
57160,45.3E,5,49.116667,6.083333
57160,45.3E,5,49.116667,6.116667
57160,45.3E,5,49.1,6.1
57160,60.2E,20,49.1,6.083333
57160,60.2E,20,49.116667,6.1
57160,60.2E,20,49.116667,6.083333
57160,60.2E,20,49.116667,6.116667
57160,60.2E,20,49.1,6.1
57160,49.32Z,40,49.1,6.083333
57160,49.32Z,40,49.116667,6.1
57160,49.32Z,40,49.116667,6.083333
57160,49.32Z,40,49.116667,6.116667
57160,49.32Z,40,49.1,6.1
57160,84.24Z,5,49.1,6.083333
57160,84.24Z,5,49.116667,6.1
57160,84.24Z,5,49.116667,6.083333
57160,84.24Z,5,49.116667,6.116667
57160,84.24Z,5,49.1,6.1
57160,45.2J,15,49.1,6.083333
57160,45.2J,15,49.116667,6.1
57160,45.2J,15,49.116667,6.083333
57160,45.2J,15,49.116667,6.116667
57160,45.2J,15,49.1,6.1
57160,55.60,105,49.1,6.083333
57160,55.60,105,49.116667,6.1
57160,55.60,105,49.116667,6.083333
57160,55.60,105,49.116667,6.116667
57160,55.60,105,49.1,6.1
57160,36.6E,10,49.1,6.083333
57160,36.6E,10,49.116667,6.1
57160,36.6E,10,49.116667,6.083333
57160,36.6E,10,49.116667,6.116667
57160,36.6E,10,49.1,6.1
57160,55.31,5,49.1,6.083333
57160,55.31,5,49.116667,6.1
