codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
57380,47.99A,12,49.033333,6.616667
57380,47.99A,12,48.983333,6.566667
57380,47.99A,12,48.983333,6.55
57380,47.99A,12,49.05,6.65
57380,47.99A,12,49,6.516667
57380,47.99A,12,49.016667,6.533333
57380,47.99A,12,48.966667,6.516667
57380,47.99A,12,49.033333,6.65
57380,47.99A,12,49.05,6.6
57380,47.99A,12,49,6.633333
57380,47.99A,12,48.966667,6.533333
57380,47.99A,12,49,6.616667
57380,01.1F,12,49.033333,6.616667
57380,01.1F,12,48.983333,6.566667
57380,01.1F,12,48.983333,6.55
57380,01.1F,12,49.05,6.65
57380,01.1F,12,49,6.516667
57380,01.1F,12,49.016667,6.533333
57380,01.1F,12,48.966667,6.516667
57380,01.1F,12,49.033333,6.65
57380,01.1F,12,49.05,6.6
57380,01.1F,12,49,6.633333
57380,01.1F,12,48.966667,6.533333
57380,01.1F,12,49,6.616667
57380,01.11Z,12,49.033333,6.616667
57380,01.11Z,12,48.983333,6.566667
57380,01.11Z,12,48.983333,6.55
57380,01.11Z,12,49.05,6.65
57380,01.11Z,12,49,6.516667
57380,01.11Z,12,49.016667,6.533333
57380,01.11Z,12,48.966667,6.516667
57380,01.11Z,12,49.033333,6.65
57380,01.11Z,12,49.05,6.6
57380,01.11Z,12,49,6.633333
57380,01.11Z,12,48.966667,6.533333
57380,01.11Z,12,49,6.616667
57380,68.20A,12,49.033333,6.616667
57380,68.20A,12,48.983333,6.566667
57380,68.20A,12,48.983333,6.55
57380,68.20A,12,49.05,6.65
57380,68.20A,12,49,6.516667
57380,68.20A,12,49.016667,6.533333
57380,68.20A,12,48.966667,6.516667
57380,68.20A,12,49.033333,6.65
57380,68.20A,12,49.05,6.6
57380,68.20A,12,49,6.633333
57380,68.20A,12,48.966667,6.533333
57380,68.20A,12,49,6.616667
57380,43.34Z,24,49.033333,6.616667
57380,43.34Z,24,48.983333,6.566667
57380,43.34Z,24,48.983333,6.55
57380,43.34Z,24,49.05,6.65
57380,43.34Z,24,49,6.516667
57380,43.34Z,24,49.016667,6.533333
57380,43.34Z,24,48.966667,6.516667
57380,43.34Z,24,49.033333,6.65
57380,43.34Z,24,49.05,6.6
57380,43.34Z,24,49,6.633333
57380,43.34Z,24,48.966667,6.533333
57380,43.34Z,24,49,6.616667
57380,86.90E,12,49.033333,6.616667
57380,86.90E,12,48.983333,6.566667
57380,86.90E,12,48.983333,6.55
57380,86.90E,12,49.05,6.65
57380,86.90E,12,49,6.516667
57380,86.90E,12,49.016667,6.533333
57380,86.90E,12,48.966667,6.516667
57380,86.90E,12,49.033333,6.65
57380,86.90E,12,49.05,6.6
57380,86.90E,12,49,6.633333
57380,86.90E,12,48.966667,6.533333
57380,86.90E,12,49,6.616667
57380,94.91Z,12,49.033333,6.616667
57380,94.91Z,12,48.983333,6.566667
57380,94.91Z,12,48.983333,6.55
57380,94.91Z,12,49.05,6.65
57380,94.91Z,12,49,6.516667
57380,94.91Z,12,49.016667,6.533333
57380,94.91Z,12,48.966667,6.516667
57380,94.91Z,12,49.033333,6.65
57380,94.91Z,12,49.05,6.6
57380,94.91Z,12,49,6.633333
57380,94.91Z,12,48.966667,6.533333
57380,94.91Z,12,49,6.616667
57380,81.30Z,12,49.033333,6.616667
57380,81.30Z,12,48.983333,6.566667
57380,81.30Z,12,48.983333,6.55
57380,81.30Z,12,49.05,6.65
57380,81.30Z,12,49,6.516667
57380,81.30Z,12,49.016667,6.533333
57380,81.30Z,12,48.966667,6.516667
57380,81.30Z,12,49.033333,6.65
57380,81.30Z,12,49.05,6.6
57380,81.30Z,12,49,6.633333
57380,81.30Z,12,48.966667,6.533333
57380,81.30Z,12,49,6.616667
57380,84.11Z,12,49.033333,6.616667
57380,84.11Z,12,48.983333,6.566667
57380,84.11Z,12,48.983333,6.55
57380,84.11Z,12,49.05,6.65
57380,84.11Z,12,49,6.516667
57380,84.11Z,12,49.016667,6.533333
57380,84.11Z,12,48.966667,6.516667
57380,84.11Z,12,49.033333,6.65
57380,84.11Z,12,49.05,6.6
57380,84.11Z,12,49,6.633333
57380,84.11Z,12,48.966667,6.533333
57380,84.11Z,12,49,6.616667
57380,55.4B,12,49.033333,6.616667
57380,55.4B,12,48.983333,6.566667
57380,55.4B,12,48.983333,6.55
57380,55.4B,12,49.05,6.65
57380,55.4B,12,49,6.516667
57380,55.4B,12,49.016667,6.533333
57380,55.4B,12,48.966667,6.516667
57380,55.4B,12,49.033333,6.65
57380,55.4B,12,49.05,6.6
57380,55.4B,12,49,6.633333
57380,55.4B,12,48.966667,6.533333
57380,55.4B,12,49,6.616667
57380,86.90D,36,49.033333,6.616667
57380,86.90D,36,48.983333,6.566667
57380,86.90D,36,48.983333,6.55
57380,86.90D,36,49.05,6.65
57380,86.90D,36,49,6.516667
57380,86.90D,36,49.016667,6.533333
57380,86.90D,36,48.966667,6.516667
57380,86.90D,36,49.033333,6.65
