codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
57390,33.20A,3,49.483333,5.95
57390,33.20A,3,49.483333,5.916667
57390,33.20A,3,49.466667,5.95
57390,47.99A,30,49.483333,5.95
57390,47.99A,30,49.483333,5.916667
57390,47.99A,30,49.466667,5.95
57390,55.3A,3,49.483333,5.95
57390,55.3A,3,49.483333,5.916667
57390,55.3A,3,49.466667,5.95
57390,43.22A,9,49.483333,5.95
57390,43.22A,9,49.483333,5.916667
57390,43.22A,9,49.466667,5.95
57390,47.04,3,49.483333,5.95
57390,47.04,3,49.483333,5.916667
57390,47.04,3,49.466667,5.95
57390,41.10A,3,49.483333,5.95
57390,41.10A,3,49.483333,5.916667
57390,41.10A,3,49.466667,5.95
57390,16.01,3,49.483333,5.95
57390,16.01,3,49.483333,5.916667
57390,16.01,3,49.466667,5.95
57390,93.0D,9,49.483333,5.95
57390,93.0D,9,49.483333,5.916667
57390,93.0D,9,49.466667,5.95
57390,23.19Z,3,49.483333,5.95
57390,23.19Z,3,49.483333,5.916667
57390,23.19Z,3,49.466667,5.95
57390,01.11Z,15,49.483333,5.95
57390,01.11Z,15,49.483333,5.916667
57390,01.11Z,15,49.466667,5.95
57390,47.79Z,6,49.483333,5.95
57390,47.79Z,6,49.483333,5.916667
57390,47.79Z,6,49.466667,5.95
57390,52.3A,3,49.483333,5.95
57390,52.3A,3,49.483333,5.916667
57390,52.3A,3,49.466667,5.95
57390,65.02,6,49.483333,5.95
57390,65.02,6,49.483333,5.916667
57390,65.02,6,49.466667,5.95
57390,49.41A,6,49.483333,5.95
57390,49.41A,6,49.483333,5.916667
57390,49.41A,6,49.466667,5.95
57390,46.23Z,3,49.483333,5.95
57390,46.23Z,3,49.483333,5.916667
57390,46.23Z,3,49.466667,5.95
57390,95.29Z,3,49.483333,5.95
57390,95.29Z,3,49.483333,5.916667
57390,95.29Z,3,49.466667,5.95
57390,68.20A,27,49.483333,5.95
57390,68.20A,27,49.483333,5.916667
57390,68.20A,27,49.466667,5.95
57390,85.1E,3,49.483333,5.95
57390,85.1E,3,49.483333,5.916667
57390,85.1E,3,49.466667,5.95
57390,55.60,3,49.483333,5.95
57390,55.60,3,49.483333,5.916667
57390,55.60,3,49.466667,5.95
57390,32.99Z,6,49.483333,5.95
