codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
57540,47.99A,52,49.2,6.833333
57540,33.20A,2,49.2,6.833333
57540,58.19Z,2,49.2,6.833333
57540,45.20B,1,49.2,6.833333
57540,64.11,5,49.2,6.833333
57540,87.30A,1,49.2,6.833333
57540,70.3A,1,49.2,6.833333
57540,55.3A,9,49.2,6.833333
57540,65.12Z,2,49.2,6.833333
57540,43.22A,1,49.2,6.833333
57540,93.0D,4,49.2,6.833333
57540,02.10Z,1,49.2,6.833333
57540,47.79Z,3,49.2,6.833333
57540,84.11,2,49.2,6.833333
57540,01.11Z,1,49.2,6.833333
57540,38.22Z,1,49.2,6.833333
57540,67.12,1,49.2,6.833333
57540,49.41A,5,49.2,6.833333
57540,46.23Z,1,49.2,6.833333
57540,92.3A,7,49.2,6.833333
57540,52.4Z,6,49.2,6.833333
57540,43.99A,1,49.2,6.833333
57540,64.23,2,49.2,6.833333
57540,95.29Z,1,49.2,6.833333
57540,68.20A,65,49.2,6.833333
57540,85.1E,3,49.2,6.833333
57540,51.3J,2,49.2,6.833333
57540,55.40,2,49.2,6.833333
57540,64.49,1,49.2,6.833333
57540,60.2E,3,49.2,6.833333
57540,49.32Z,2,49.2,6.833333
57540,45.3E,1,49.2,6.833333
57540,44.25,1,49.2,6.833333
57540,55.60,4,49.2,6.833333
57540,45.2J,2,49.2,6.833333
57540,36.6E,1,49.2,6.833333
57540,56.30Z,11,49.2,6.833333
57540,15.8B,1,49.2,6.833333
57540,36.00Z,2,49.2,6.833333
57540,52.21Z,2,49.2,6.833333
57540,95.11Z,3,49.2,6.833333
57540,28.12,1,49.2,6.833333
57540,56.21Z,1,49.2,6.833333
57540,85.1C,4,49.2,6.833333
57540,62.11,1,49.2,6.833333
57540,47.77Z,5,49.2,6.833333
57540,46.49Z,3,49.2,6.833333
57540,45.4J,2,49.2,6.833333
57540,47.52A,3,49.2,6.833333
57540,78.20Z,2,49.2,6.833333
57540,77.32Z,1,49.2,6.833333
57540,81.22Z,9,49.2,6.833333
57540,52.4V,1,49.2,6.833333
57540,43.34Z,12,49.2,6.833333
57540,93.19Z,1,49.2,6.833333
57540,81.29B,1,49.2,6.833333
