codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59111,47.99A,24,50.266667,3.283333
59111,47.99A,24,50.266667,3.35
59111,47.99A,24,50.266667,3.316667
59111,47.99A,24,50.283333,3.316667
59111,67.05,4,50.266667,3.283333
59111,67.05,4,50.266667,3.35
59111,67.05,4,50.266667,3.316667
59111,67.05,4,50.283333,3.316667
59111,01.11Z,32,50.266667,3.283333
59111,01.11Z,32,50.266667,3.35
59111,01.11Z,32,50.266667,3.316667
59111,01.11Z,32,50.283333,3.316667
59111,49.41A,4,50.266667,3.283333
59111,49.41A,4,50.266667,3.35
59111,49.41A,4,50.266667,3.316667
59111,49.41A,4,50.283333,3.316667
59111,95.29Z,4,50.266667,3.283333
59111,95.29Z,4,50.266667,3.35
59111,95.29Z,4,50.266667,3.316667
59111,95.29Z,4,50.283333,3.316667
59111,68.20A,8,50.266667,3.283333
59111,68.20A,8,50.266667,3.35
59111,68.20A,8,50.266667,3.316667
59111,68.20A,8,50.283333,3.316667
59111,55.60,4,50.266667,3.283333
59111,55.60,4,50.266667,3.35
59111,55.60,4,50.266667,3.316667
59111,55.60,4,50.283333,3.316667
59111,47.82Z,4,50.266667,3.283333
59111,47.82Z,4,50.266667,3.35
59111,47.82Z,4,50.266667,3.316667
59111,47.82Z,4,50.283333,3.316667
59111,47.75Z,4,50.266667,3.283333
59111,47.75Z,4,50.266667,3.35
59111,47.75Z,4,50.266667,3.316667
59111,47.75Z,4,50.283333,3.316667
59111,94.91Z,4,50.266667,3.283333
59111,94.91Z,4,50.266667,3.35
59111,94.91Z,4,50.266667,3.316667
59111,94.91Z,4,50.283333,3.316667
59111,56.10C,4,50.266667,3.283333
59111,56.10C,4,50.266667,3.35
59111,56.10C,4,50.266667,3.316667
59111,56.10C,4,50.283333,3.316667
59111,84.11Z,8,50.266667,3.283333
59111,84.11Z,8,50.266667,3.35
59111,84.11Z,8,50.266667,3.316667
59111,84.11Z,8,50.283333,3.316667
59111,55.2C,4,50.266667,3.283333
59111,55.2C,4,50.266667,3.35
59111,55.2C,4,50.266667,3.316667
59111,55.2C,4,50.283333,3.316667
59111,01.3Z,16,50.266667,3.283333
59111,01.3Z,16,50.266667,3.35
59111,01.3Z,16,50.266667,3.316667
59111,01.3Z,16,50.283333,3.316667
59111,43.12B,4,50.266667,3.283333
59111,43.12B,4,50.266667,3.35
59111,43.12B,4,50.266667,3.316667
59111,43.12B,4,50.283333,3.316667
59111,55.20Z,4,50.266667,3.283333
59111,55.20Z,4,50.266667,3.35
59111,55.20Z,4,50.266667,3.316667
59111,55.20Z,4,50.283333,3.316667
59111,56.29B,4,50.266667,3.283333
59111,56.29B,4,50.266667,3.35
59111,56.29B,4,50.266667,3.316667
59111,56.29B,4,50.283333,3.316667
59111,55.4B,4,50.266667,3.283333
59111,55.4B,4,50.266667,3.35
59111,55.4B,4,50.266667,3.316667
59111,55.4B,4,50.283333,3.316667
59111,52.6E,4,50.266667,3.283333
59111,52.6E,4,50.266667,3.35
59111,52.6E,4,50.266667,3.316667
59111,52.6E,4,50.283333,3.316667
59111,56.10A,4,50.266667,3.283333
59111,56.10A,4,50.266667,3.35
59111,56.10A,4,50.266667,3.316667
59111,56.10A,4,50.283333,3.316667
59111,96.02A,4,50.266667,3.283333
59111,96.02A,4,50.266667,3.35
59111,96.02A,4,50.266667,3.316667
59111,96.02A,4,50.283333,3.316667
59111,55.30Z,4,50.266667,3.283333
59111,55.30Z,4,50.266667,3.35
59111,55.30Z,4,50.266667,3.316667
59111,55.30Z,4,50.283333,3.316667
59111,94.99Z,24,50.266667,3.283333
59111,94.99Z,24,50.266667,3.35
59111,94.99Z,24,50.266667,3.316667
59111,94.99Z,24,50.283333,3.316667
59111,47.76Z,4,50.266667,3.283333
59111,47.76Z,4,50.266667,3.35
59111,47.76Z,4,50.266667,3.316667
59111,47.76Z,4,50.283333,3.316667
59111,47.21Z,8,50.266667,3.283333
59111,47.21Z,8,50.266667,3.35
59111,47.21Z,8,50.266667,3.316667
59111,47.21Z,8,50.283333,3.316667
59111,01.30Z,8,50.266667,3.283333
59111,01.30Z,8,50.266667,3.35
59111,01.30Z,8,50.266667,3.316667
59111,01.30Z,8,50.283333,3.316667
59111,28.7P,4,50.266667,3.283333
59111,28.7P,4,50.266667,3.35
59111,28.7P,4,50.266667,3.316667
59111,28.7P,4,50.283333,3.316667
59111,47.78C,4,50.266667,3.283333
59111,47.78C,4,50.266667,3.35
59111,47.78C,4,50.266667,3.316667
59111,47.78C,4,50.283333,3.316667
59111,45.4A,4,50.266667,3.283333
59111,45.4A,4,50.266667,3.35
59111,45.4A,4,50.266667,3.316667
59111,45.4A,4,50.283333,3.316667
59111,42.99Z,8,50.266667,3.283333
59111,42.99Z,8,50.266667,3.35
59111,42.99Z,8,50.266667,3.316667
59111,42.99Z,8,50.283333,3.316667
59111,43.31Z,4,50.266667,3.283333
59111,43.31Z,4,50.266667,3.35
59111,43.31Z,4,50.266667,3.316667
59111,43.31Z,4,50.283333,3.316667
