codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59117,47.99A,5,50.766667,3.05
59117,64.11,1,50.766667,3.05
59117,55.3A,2,50.766667,3.05
59117,43.22A,2,50.766667,3.05
59117,93.0D,1,50.766667,3.05
59117,14.39Z,1,50.766667,3.05
59117,01.11Z,12,50.766667,3.05
59117,65.02,1,50.766667,3.05
59117,49.41A,1,50.766667,3.05
59117,95.29Z,1,50.766667,3.05
59117,68.20A,3,50.766667,3.05
59117,55.40,1,50.766667,3.05
59117,45.3E,1,50.766667,3.05
59117,49.32Z,1,50.766667,3.05
59117,45.2J,2,50.766667,3.05
59117,55.60,4,50.766667,3.05
59117,56.30Z,2,50.766667,3.05
59117,62.11,2,50.766667,3.05
59117,81.22Z,1,50.766667,3.05
59117,52.4X,1,50.766667,3.05
59117,64.20Z,1,50.766667,3.05
59117,90.01Z,2,50.766667,3.05
59117,86.90E,1,50.766667,3.05
59117,17.5G,1,50.766667,3.05
59117,71.20A,1,50.766667,3.05
59117,94.91Z,1,50.766667,3.05
59117,56.10C,2,50.766667,3.05
59117,81.30Z,1,50.766667,3.05
59117,64.42,1,50.766667,3.05
59117,84.11Z,3,50.766667,3.05
59117,50.1Z,1,50.766667,3.05
59117,"",2,50.766667,3.05
59117,01.3Z,2,50.766667,3.05
59117,93.12Z,5,50.766667,3.05
59117,43.22B,1,50.766667,3.05
59117,52.2A,1,50.766667,3.05
59117,59.13B,1,50.766667,3.05
59117,02.20Z,1,50.766667,3.05
59117,55.4B,1,50.766667,3.05
59117,62.42,1,50.766667,3.05
59117,52.6E,3,50.766667,3.05
59117,68.32B,1,50.766667,3.05
59117,74.20Z,1,50.766667,3.05
59117,24.2Z,1,50.766667,3.05
59117,86.90D,4,50.766667,3.05
59117,96.02A,4,50.766667,3.05
59117,85.32Z,1,50.766667,3.05
59117,46.19B,3,50.766667,3.05
59117,55.3B,1,50.766667,3.05
59117,45.3A,1,50.766667,3.05
59117,69.12,2,50.766667,3.05
59117,52.7D,1,50.766667,3.05
59117,61.20Z,2,50.766667,3.05
59117,55.30Z,2,50.766667,3.05
59117,94.99Z,6,50.766667,3.05
59117,82.99Z,1,50.766667,3.05
59117,32.1A,1,50.766667,3.05
59117,67.01,1,50.766667,3.05
59117,66.19B,1,50.766667,3.05
59117,87.03,1,50.766667,3.05
59117,82.30Z,1,50.766667,3.05
59117,45.4A,1,50.766667,3.05
59117,62.43,1,50.766667,3.05
59117,42.99Z,1,50.766667,3.05
59117,55.71,1,50.766667,3.05
59117,62.41,2,50.766667,3.05
59117,01.50Z,1,50.766667,3.05
59117,81.21,1,50.766667,3.05
59117,43.31Z,1,50.766667,3.05
59117,47.26Z,1,50.766667,3.05
59117,45.4C,1,50.766667,3.05
59117,28.3C,1,50.766667,3.05
59117,70.2C,1,50.766667,3.05
59117,67.07,1,50.766667,3.05
59117,86.21Z,1,50.766667,3.05
59117,85.52Z,1,50.766667,3.05
59117,52.2C,2,50.766667,3.05
59117,10.71D,1,50.766667,3.05
59117,68.31Z,1,50.766667,3.05
59117,43.99C,1,50.766667,3.05
59117,49.41B,1,50.766667,3.05
59117,01.61Z,1,50.766667,3.05
59117,90.0B,1,50.766667,3.05
59117,33.20B,1,50.766667,3.05
59117,67.04,4,50.766667,3.05
59117,41.20A,1,50.766667,3.05
59117,00.98,2,50.766667,3.05
59117,60.09,1,50.766667,3.05
59117,96.09Z,1,50.766667,3.05
59117,80.10Z,1,50.766667,3.05
59117,32.50A,1,50.766667,3.05
59117,35.11Z,1,50.766667,3.05
59117,18.12Z,1,50.766667,3.05
59117,47.91A,1,50.766667,3.05
59117,45.11Z,3,50.766667,3.05
59117,01.49Z,2,50.766667,3.05
59117,47.29Z,1,50.766667,3.05
59117,47.30Z,1,50.766667,3.05
59117,01.1A,1,50.766667,3.05
59117,64.46,1,50.766667,3.05
59117,84.12,1,50.766667,3.05
59117,77.22Z,1,50.766667,3.05
59117,68.32A,1,50.766667,3.05
59117,68.10Z,1,50.766667,3.05
59117,70.22Z,2,50.766667,3.05
59117,15.12,1,50.766667,3.05
59117,62.46,1,50.766667,3.05
59117,47.25Z,1,50.766667,3.05
59117,62.02A,1,50.766667,3.05
59117,88.99B,1,50.766667,3.05
59117,52.4L,1,50.766667,3.05
59117,93.29Z,2,50.766667,3.05
59117,28.5D,1,50.766667,3.05
59117,88.91A,1,50.766667,3.05
59117,38.40,2,50.766667,3.05
59117,55.4A,1,50.766667,3.05
59117,45.2V,1,50.766667,3.05
59117,52.1B,3,50.766667,3.05
59117,43.21A,1,50.766667,3.05
59117,64.43,1,50.766667,3.05
59117,52.6D,1,50.766667,3.05
59117,68.20B,15,50.766667,3.05
