codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59131,47.99A,38,50.266667,4
59131,33.20A,3,50.266667,4
59131,87.30A,1,50.266667,4
59131,10.31Z,1,50.266667,4
59131,34.2A,1,50.266667,4
59131,64.11,2,50.266667,4
59131,43.22A,6,50.266667,4
59131,95.12Z,1,50.266667,4
59131,67.05,3,50.266667,4
59131,93.0D,2,50.266667,4
59131,01.11Z,5,50.266667,4
59131,52.3A,1,50.266667,4
59131,47.79Z,1,50.266667,4
59131,49.41A,2,50.266667,4
59131,95.29Z,4,50.266667,4
59131,64.23,1,50.266667,4
59131,55.40,5,50.266667,4
59131,68.20A,10,50.266667,4
59131,85.1E,1,50.266667,4
59131,64.49,3,50.266667,4
59131,49.32Z,5,50.266667,4
59131,60.2E,4,50.266667,4
59131,45.3E,1,50.266667,4
59131,55.60,5,50.266667,4
59131,45.2J,2,50.266667,4
59131,56.30Z,8,50.266667,4
59131,32.99Z,2,50.266667,4
59131,17.29Z,1,50.266667,4
59131,56.21Z,1,50.266667,4
59131,95.11Z,2,50.266667,4
59131,62.11,7,50.266667,4
59131,85.1C,4,50.266667,4
59131,47.77Z,1,50.266667,4
59131,47.52A,2,50.266667,4
59131,13.30Z,1,50.266667,4
59131,45.4J,5,50.266667,4
59131,77.32Z,2,50.266667,4
59131,70.02,2,50.266667,4
59131,81.22Z,1,50.266667,4
59131,43.34Z,12,50.266667,4
59131,93.19Z,1,50.266667,4
59131,64.20Z,5,50.266667,4
59131,24.44Z,1,50.266667,4
59131,90.01Z,9,50.266667,4
59131,86.90E,27,50.266667,4
59131,85.31Z,1,50.266667,4
59131,59.13,1,50.266667,4
59131,46.73B,4,50.266667,4
59131,47.82Z,6,50.266667,4
59131,80.4C,1,50.266667,4
59131,43.32B,1,50.266667,4
59131,94.91Z,2,50.266667,4
59131,56.10C,22,50.266667,4
59131,52.4R,1,50.266667,4
59131,74.10Z,2,50.266667,4
59131,64.41,1,50.266667,4
59131,86.10Z,1,50.266667,4
59131,81.30Z,2,50.266667,4
59131,64.42,3,50.266667,4
59131,84.11Z,10,50.266667,4
59131,43.99B,1,50.266667,4
59131,01.4B,1,50.266667,4
59131,50.4Z,1,50.266667,4
59131,50.1Z,1,50.266667,4
59131,77.08,1,50.266667,4
59131,66.30Z,1,50.266667,4
59131,10.13B,1,50.266667,4
59131,45.4D,1,50.266667,4
59131,77.14,1,50.266667,4
59131,85.1G,2,50.266667,4
59131,33.11Z,1,50.266667,4
59131,43.39Z,1,50.266667,4
59131,01.3Z,1,50.266667,4
59131,93.12Z,20,50.266667,4
59131,43.22B,4,50.266667,4
59131,94.11Z,4,50.266667,4
59131,65.1E,1,50.266667,4
59131,43.32A,6,50.266667,4
59131,25.62B,1,50.266667,4
59131,69.25,1,50.266667,4
59131,72.19Z,1,50.266667,4
59131,74.1G,1,50.266667,4
59131,74.30Z,1,50.266667,4
59131,79.11Z,1,50.266667,4
59131,47.11B,1,50.266667,4
59131,96.03Z,2,50.266667,4
59131,46.66Z,1,50.266667,4
59131,47.61Z,1,50.266667,4
59131,52.2A,1,50.266667,4
59131,64.19Z,5,50.266667,4
59131,80.02,1,50.266667,4
59131,51.5H,2,50.266667,4
59131,55.70,1,50.266667,4
59131,86.23Z,4,50.266667,4
59131,55.4B,8,50.266667,4
59131,62.42,1,50.266667,4
59131,52.6E,5,50.266667,4
59131,47.74Z,1,50.266667,4
59131,43.33Z,4,50.266667,4
59131,74.1J,4,50.266667,4
59131,47.22Z,3,50.266667,4
59131,74.20Z,4,50.266667,4
59131,64.12,1,50.266667,4
59131,47.11D,2,50.266667,4
59131,56.10A,6,50.266667,4
59131,86.90D,46,50.266667,4
59131,51.1R,1,50.266667,4
59131,96.02A,23,50.266667,4
59131,36.1E,1,50.266667,4
59131,85.32Z,1,50.266667,4
59131,82.19Z,1,50.266667,4
59131,46.19B,5,50.266667,4
59131,78.02,1,50.266667,4
59131,55.3B,1,50.266667,4
59131,45.3A,2,50.266667,4
59131,46.69B,3,50.266667,4
59131,69.12,5,50.266667,4
59131,64.24,1,50.266667,4
59131,52.7D,1,50.266667,4
59131,43.91B,5,50.266667,4
59131,47.53Z,3,50.266667,4
59131,94.99Z,32,50.266667,4
59131,67.2Z,3,50.266667,4
59131,47.76Z,6,50.266667,4
59131,70.10Z,5,50.266667,4
59131,49.31Z,1,50.266667,4
59131,47.21Z,2,50.266667,4
59131,47.59A,7,50.266667,4
59131,82.99Z,1,50.266667,4
59131,02.20,1,50.266667,4
59131,80.4A,2,50.266667,4
59131,86.06,3,50.266667,4
59131,93.21Z,1,50.266667,4
59131,28.12Z,2,50.266667,4
59131,59.11B,1,50.266667,4
59131,23.70Z,1,50.266667,4
59131,47.52B,2,50.266667,4
59131,71.4B,1,50.266667,4
59131,47.72A,1,50.266667,4
59131,87.03,4,50.266667,4
59131,00.00Z,2,50.266667,4
59131,45.4M,2,50.266667,4
59131,47.78A,2,50.266667,4
59131,45.4A,1,50.266667,4
59131,69.23,1,50.266667,4
59131,74.7Z,1,50.266667,4
59131,82.30Z,1,50.266667,4
59131,62.43,3,50.266667,4
59131,55.73,8,50.266667,4
59131,62.01Z,4,50.266667,4
59131,31.02Z,2,50.266667,4
59131,43.29A,1,50.266667,4
59131,55.71,1,50.266667,4
59131,62.41,3,50.266667,4
59131,46.18Z,3,50.266667,4
59131,59.10,1,50.266667,4
59131,84.13,1,50.266667,4
59131,29.20Z,1,50.266667,4
59131,40.12,1,50.266667,4
59131,81.21,3,50.266667,4
59131,52.3E,1,50.266667,4
59131,64.30,1,50.266667,4
59131,46.74B,1,50.266667,4
59131,85.53Z,3,50.266667,4
59131,43.31Z,5,50.266667,4
59131,51.4S,1,50.266667,4
59131,28.3C,4,50.266667,4
59131,45.4C,3,50.266667,4
59131,43.99D,1,50.266667,4
59131,70.2C,1,50.266667,4
59131,47.24Z,2,50.266667,4
59131,81.29A,1,50.266667,4
59131,90.03A,11,50.266667,4
59131,74.6Z,2,50.266667,4
59131,45.1A,1,50.266667,4
59131,46.39B,1,50.266667,4
59131,31.1C,1,50.266667,4
59131,10.41B,2,50.266667,4
