codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59167,47.99A,2,50.383333,3.166667
59167,67.05,1,50.383333,3.166667
59167,01.11Z,7,50.383333,3.166667
59167,68.20A,1,50.383333,3.166667
59167,45.2J,1,50.383333,3.166667
59167,56.30Z,1,50.383333,3.166667
59167,73.20Z,1,50.383333,3.166667
59167,88.99A,1,50.383333,3.166667
59167,64.20Z,1,50.383333,3.166667
59167,56.10C,2,50.383333,3.166667
59167,81.30Z,1,50.383333,3.166667
59167,84.11Z,8,50.383333,3.166667
59167,01.3Z,4,50.383333,3.166667
59167,55.4B,1,50.383333,3.166667
59167,74.20Z,1,50.383333,3.166667
59167,86.90D,1,50.383333,3.166667
59167,64.24,1,50.383333,3.166667
59167,47.76Z,1,50.383333,3.166667
59167,82.99Z,1,50.383333,3.166667
59167,00.00Z,1,50.383333,3.166667
59167,47.78A,1,50.383333,3.166667
59167,42.99Z,3,50.383333,3.166667
59167,46.18Z,1,50.383333,3.166667
59167,01.50Z,1,50.383333,3.166667
59167,01.61Z,1,50.383333,3.166667
59167,67.04,1,50.383333,3.166667
59167,96.04Z,1,50.383333,3.166667
59167,33.12Z,1,50.383333,3.166667
59167,35.11Z,1,50.383333,3.166667
59167,79.03,1,50.383333,3.166667
59167,01.13Z,1,50.383333,3.166667
59167,01.1A,2,50.383333,3.166667
59167,88.99B,1,50.383333,3.166667
59167,47.89Z,1,50.383333,3.166667
59167,55.4A,3,50.383333,3.166667
59167,71.12B,1,50.383333,3.166667
59167,68.20B,3,50.383333,3.166667
