codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59180,47.99A,5,51,2.35
59180,43.22A,2,51,2.35
59180,67.05,1,51,2.35
59180,01.11Z,22,51,2.35
59180,65.02,1,51,2.35
59180,43.99A,1,51,2.35
59180,51.3A,1,51,2.35
59180,68.20A,3,51,2.35
59180,55.40,1,51,2.35
59180,45.3E,1,51,2.35
59180,55.60,1,51,2.35
59180,56.30Z,1,51,2.35
59180,72.2Z,1,51,2.35
59180,56.21Z,1,51,2.35
59180,62.11,1,51,2.35
59180,85.1C,1,51,2.35
59180,01.47Z,3,51,2.35
59180,47.52A,1,51,2.35
59180,81.22Z,1,51,2.35
59180,43.34Z,2,51,2.35
59180,64.20Z,3,51,2.35
59180,86.90E,7,51,2.35
59180,90.01Z,3,51,2.35
59180,47.82Z,2,51,2.35
59180,56.10C,1,51,2.35
59180,49.05,1,51,2.35
59180,81.30Z,6,51,2.35
59180,43.99B,1,51,2.35
59180,42.21Z,1,51,2.35
59180,84.11Z,2,51,2.35
59180,85.01,1,51,2.35
59180,70.2B,1,51,2.35
59180,85.1G,1,51,2.35
59180,01.3Z,16,51,2.35
59180,43.39Z,1,51,2.35
59180,93.12Z,6,51,2.35
59180,43.22B,2,51,2.35
59180,43.29B,1,51,2.35
59180,43.32A,3,51,2.35
59180,01.2G,2,51,2.35
59180,60.07,1,51,2.35
59180,74.30Z,1,51,2.35
59180,47.11B,3,51,2.35
59180,55.4B,1,51,2.35
59180,67.13,1,51,2.35
59180,52.6E,1,51,2.35
59180,01.80,2,51,2.35
59180,47.22Z,3,51,2.35
59180,86.90D,6,51,2.35
59180,82.19Z,2,51,2.35
59180,96.02A,2,51,2.35
59180,46.19B,1,51,2.35
59180,55.3B,2,51,2.35
59180,77.31Z,1,51,2.35
59180,78.02,1,51,2.35
59180,46.69B,2,51,2.35
59180,85.20Z,1,51,2.35
59180,69.12,2,51,2.35
59180,45.3A,2,51,2.35
59180,43.91B,2,51,2.35
59180,94.99Z,12,51,2.35
59180,14.13Z,2,51,2.35
59180,62.45,1,51,2.35
59180,01.4D,1,51,2.35
59180,82.99Z,1,51,2.35
59180,20.1A,1,51,2.35
59180,32.1A,1,51,2.35
59180,47.78C,4,51,2.35
59180,66.19B,1,51,2.35
59180,87.03,1,51,2.35
59180,46.21Z,1,51,2.35
59180,62.43,2,51,2.35
59180,55.73,1,51,2.35
59180,62.01Z,2,51,2.35
59180,55.71,1,51,2.35
59180,42.99Z,1,51,2.35
59180,01.50Z,4,51,2.35
59180,01.45Z,1,51,2.35
59180,81.21,1,51,2.35
59180,01.1C,1,51,2.35
59180,49.04,1,51,2.35
59180,91.3E,1,51,2.35
59180,43.31Z,1,51,2.35
59180,28.3C,1,51,2.35
59180,45.4C,1,51,2.35
59180,87.09,1,51,2.35
59180,47.54Z,1,51,2.35
59180,70.2C,5,51,2.35
59180,90.03A,1,51,2.35
59180,46.90Z,1,51,2.35
59180,67.07,1,51,2.35
59180,96.02B,1,51,2.35
59180,86.21Z,2,51,2.35
59180,85.52Z,2,51,2.35
59180,15.3A,1,51,2.35
59180,52.2C,1,51,2.35
59180,47.81Z,4,51,2.35
59180,86.90A,1,51,2.35
59180,46.69C,1,51,2.35
59180,68.31Z,2,51,2.35
59180,01.41Z,1,51,2.35
59180,88.10A,1,51,2.35
59180,85.59A,2,51,2.35
59180,37.1Z,1,51,2.35
59180,43.99C,4,51,2.35
59180,01.2J,1,51,2.35
59180,49.41B,1,51,2.35
59180,10.71C,3,51,2.35
59180,46.31Z,2,51,2.35
59180,15.1F,1,51,2.35
59180,47.51Z,1,51,2.35
59180,45.20A,2,51,2.35
59180,96.04Z,2,51,2.35
59180,67.04,2,51,2.35
59180,41.20A,4,51,2.35
59180,51.2A,1,51,2.35
59180,42.11Z,1,51,2.35
59180,00.98,2,51,2.35
59180,60.09,1,51,2.35
59180,96.09Z,4,51,2.35
59180,43.12A,3,51,2.35
59180,47.41Z,1,51,2.35
59180,91.3A,1,51,2.35
59180,79.03,1,51,2.35
59180,45.40Z,1,51,2.35
59180,55.1A,1,51,2.35
59180,01.49Z,5,51,2.35
59180,45.11Z,3,51,2.35
59180,90.03B,2,51,2.35
59180,01.1A,11,51,2.35
59180,51.2E,1,51,2.35
59180,51.1N,1,51,2.35
59180,90.02Z,2,51,2.35
59180,86.90F,3,51,2.35
59180,68.32A,1,51,2.35
59180,01.46Z,3,51,2.35
59180,70.22Z,2,51,2.35
59180,01.62Z,1,51,2.35
59180,71.20B,1,51,2.35
59180,58.29C,1,51,2.35
59180,62.46,1,51,2.35
59180,47.59B,1,51,2.35
59180,75.00Z,1,51,2.35
59180,62.02A,2,51,2.35
59180,32.13Z,1,51,2.35
59180,88.99B,1,51,2.35
59180,93.29Z,3,51,2.35
59180,38.40,1,51,2.35
59180,47.89Z,2,51,2.35
59180,55.4A,2,51,2.35
59180,85.51Z,2,51,2.35
59180,43.21A,2,51,2.35
59180,52.1B,1,51,2.35
59180,66.19A,1,51,2.35
59180,74.90B,1,51,2.35
59180,18.13Z,1,51,2.35
59180,52.6D,2,51,2.35
59180,68.20B,57,51,2.35
59180,15.8C,3,51,2.35
