codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59184,47.99A,3,50.55,2.9
59184,47.04,1,50.55,2.9
59184,01.11Z,11,50.55,2.9
59184,49.41A,1,50.55,2.9
59184,95.29Z,1,50.55,2.9
59184,55.60,2,50.55,2.9
59184,56.30Z,1,50.55,2.9
59184,01.2E,1,50.55,2.9
59184,49.01,1,50.55,2.9
59184,95.11Z,1,50.55,2.9
59184,85.1C,2,50.55,2.9
59184,62.11,2,50.55,2.9
59184,50.2Z,1,50.55,2.9
59184,01.47Z,1,50.55,2.9
59184,95.21Z,1,50.55,2.9
59184,64.20Z,1,50.55,2.9
59184,01.43Z,2,50.55,2.9
59184,90.01Z,1,50.55,2.9
59184,94.91Z,1,50.55,2.9
59184,56.10C,2,50.55,2.9
59184,74.10Z,1,50.55,2.9
59184,84.11Z,3,50.55,2.9
59184,66.30Z,1,50.55,2.9
59184,55.2C,3,50.55,2.9
59184,01.3Z,3,50.55,2.9
59184,55.20Z,1,50.55,2.9
59184,93.12Z,2,50.55,2.9
59184,43.29B,1,50.55,2.9
59184,43.32A,1,50.55,2.9
59184,28.1C,1,50.55,2.9
59184,00.10,1,50.55,2.9
59184,67.13,1,50.55,2.9
59184,52.6E,1,50.55,2.9
59184,43.33Z,1,50.55,2.9
59184,74.1J,1,50.55,2.9
59184,56.10A,1,50.55,2.9
59184,86.90D,5,50.55,2.9
59184,96.02A,3,50.55,2.9
59184,82.19Z,1,50.55,2.9
59184,77.31Z,1,50.55,2.9
59184,78.02,1,50.55,2.9
59184,46.69B,1,50.55,2.9
59184,69.12,2,50.55,2.9
59184,45.3A,1,50.55,2.9
59184,94.99Z,4,50.55,2.9
59184,82.99Z,2,50.55,2.9
59184,47.21Z,1,50.55,2.9
59184,49.10Z,2,50.55,2.9
59184,67.01,2,50.55,2.9
59184,47.78C,1,50.55,2.9
59184,46.21Z,1,50.55,2.9
59184,62.01Z,2,50.55,2.9
59184,42.99Z,1,50.55,2.9
59184,01.50Z,5,50.55,2.9
59184,62.41,1,50.55,2.9
59184,55.2E,1,50.55,2.9
59184,45.4C,1,50.55,2.9
59184,43.99D,1,50.55,2.9
59184,90.03A,1,50.55,2.9
59184,74.6Z,1,50.55,2.9
59184,77.39Z,1,50.55,2.9
59184,46.61Z,1,50.55,2.9
59184,86.21Z,5,50.55,2.9
59184,64.48,1,50.55,2.9
59184,64.22,2,50.55,2.9
59184,85.59A,2,50.55,2.9
59184,85.59B,2,50.55,2.9
59184,49.41B,1,50.55,2.9
59184,30.92Z,1,50.55,2.9
59184,97.23,1,50.55,2.9
59184,01.61Z,2,50.55,2.9
59184,45.20A,1,50.55,2.9
59184,56.02,1,50.55,2.9
59184,67.04,3,50.55,2.9
59184,55.50,1,50.55,2.9
59184,96.09Z,4,50.55,2.9
59184,81.21Z,1,50.55,2.9
59184,43.12A,1,50.55,2.9
59184,47.91A,1,50.55,2.9
59184,41.10D,1,50.55,2.9
59184,01.49Z,6,50.55,2.9
59184,01.1A,6,50.55,2.9
59184,87.90B,1,50.55,2.9
59184,01.19Z,1,50.55,2.9
59184,68.32A,1,50.55,2.9
59184,20.30Z,1,50.55,2.9
59184,70.22Z,2,50.55,2.9
59184,47.91B,2,50.55,2.9
59184,62.02A,1,50.55,2.9
59184,88.99B,1,50.55,2.9
59184,93.29Z,2,50.55,2.9
59184,92.6C,1,50.55,2.9
59184,45.2V,2,50.55,2.9
59184,60.10,1,50.55,2.9
59184,52.1B,1,50.55,2.9
59184,77.11B,1,50.55,2.9
59184,68.20B,18,50.55,2.9
