codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59198,47.99A,1,50.25,3.416667
59198,70.3A,1,50.25,3.416667
59198,55.3A,5,50.25,3.416667
59198,02.10Z,1,50.25,3.416667
59198,00.97,1,50.25,3.416667
59198,23.19Z,1,50.25,3.416667
59198,44.23,1,50.25,3.416667
59198,68.20A,3,50.25,3.416667
59198,56.30Z,5,50.25,3.416667
59198,43.34Z,1,50.25,3.416667
59198,93.19Z,2,50.25,3.416667
59198,90.01Z,1,50.25,3.416667
59198,03.22Z,1,50.25,3.416667
59198,56.10C,6,50.25,3.416667
59198,64.42,1,50.25,3.416667
59198,84.11Z,2,50.25,3.416667
59198,01.3Z,1,50.25,3.416667
59198,55.20Z,3,50.25,3.416667
59198,93.12Z,3,50.25,3.416667
59198,67.09,1,50.25,3.416667
59198,47.11B,2,50.25,3.416667
59198,55.4B,1,50.25,3.416667
59198,22.2J,1,50.25,3.416667
59198,56.10A,7,50.25,3.416667
59198,86.90D,1,50.25,3.416667
59198,96.02A,2,50.25,3.416667
59198,55.3B,2,50.25,3.416667
59198,94.99Z,5,50.25,3.416667
59198,82.99Z,2,50.25,3.416667
59198,93.21Z,1,50.25,3.416667
59198,67.01,3,50.25,3.416667
59198,02.0B,2,50.25,3.416667
59198,47.78C,2,50.25,3.416667
59198,66.19B,1,50.25,3.416667
59198,46.21Z,1,50.25,3.416667
59198,77.34Z,1,50.25,3.416667
59198,47.62Z,1,50.25,3.416667
59198,70.2C,2,50.25,3.416667
59198,47.71Z,2,50.25,3.416667
59198,16.29Z,1,50.25,3.416667
59198,46.90Z,1,50.25,3.416667
59198,01.2A,1,50.25,3.416667
59198,67.07,2,50.25,3.416667
59198,49.39B,1,50.25,3.416667
59198,96.02B,2,50.25,3.416667
59198,86.21Z,1,50.25,3.416667
59198,85.52Z,1,50.25,3.416667
59198,47.73Z,1,50.25,3.416667
59198,47.81Z,4,50.25,3.416667
59198,01.41Z,7,50.25,3.416667
59198,68.31Z,1,50.25,3.416667
59198,01.42Z,2,50.25,3.416667
59198,10.71C,1,50.25,3.416667
59198,45.20A,1,50.25,3.416667
59198,41.20A,2,50.25,3.416667
59198,00.98,2,50.25,3.416667
59198,96.09Z,1,50.25,3.416667
59198,43.12A,1,50.25,3.416667
59198,01.49Z,2,50.25,3.416667
59198,47.29Z,1,50.25,3.416667
59198,01.1A,4,50.25,3.416667
59198,86.90B,1,50.25,3.416667
59198,86.90F,1,50.25,3.416667
59198,84.13Z,6,50.25,3.416667
59198,70.22Z,2,50.25,3.416667
59198,62.46,1,50.25,3.416667
59198,47.42Z,1,50.25,3.416667
59198,88.99B,1,50.25,3.416667
59198,93.29Z,6,50.25,3.416667
59198,85.51Z,1,50.25,3.416667
59198,43.21A,1,50.25,3.416667
59198,66.02,1,50.25,3.416667
59198,25.50A,1,50.25,3.416667
59198,68.20B,2,50.25,3.416667
