codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59219,47.99A,6,50.033333,3.933333
59219,47.99A,6,50.033333,3.9
59219,47.99A,6,50.05,3.933333
59219,64.11,3,50.033333,3.933333
59219,64.11,3,50.033333,3.9
59219,64.11,3,50.05,3.933333
59219,47.04,3,50.033333,3.933333
59219,47.04,3,50.033333,3.9
59219,47.04,3,50.05,3.933333
59219,67.05,3,50.033333,3.933333
59219,67.05,3,50.033333,3.9
59219,67.05,3,50.05,3.933333
59219,93.0D,3,50.033333,3.933333
59219,93.0D,3,50.033333,3.9
59219,93.0D,3,50.05,3.933333
59219,01.11Z,9,50.033333,3.933333
59219,01.11Z,9,50.033333,3.9
59219,01.11Z,9,50.05,3.933333
59219,64.23,3,50.033333,3.933333
59219,64.23,3,50.033333,3.9
59219,64.23,3,50.05,3.933333
59219,95.29Z,3,50.033333,3.933333
59219,95.29Z,3,50.033333,3.9
59219,95.29Z,3,50.05,3.933333
59219,55.40,3,50.033333,3.933333
59219,55.40,3,50.033333,3.9
59219,55.40,3,50.05,3.933333
59219,56.30Z,9,50.033333,3.933333
59219,56.30Z,9,50.033333,3.9
59219,56.30Z,9,50.05,3.933333
59219,62.11,3,50.033333,3.933333
59219,62.11,3,50.033333,3.9
59219,62.11,3,50.05,3.933333
59219,46.49Z,3,50.033333,3.933333
59219,46.49Z,3,50.033333,3.9
59219,46.49Z,3,50.05,3.933333
59219,70.02,6,50.033333,3.933333
59219,70.02,6,50.033333,3.9
59219,70.02,6,50.05,3.933333
59219,81.22Z,3,50.033333,3.933333
59219,81.22Z,3,50.033333,3.9
59219,81.22Z,3,50.05,3.933333
59219,64.20Z,3,50.033333,3.933333
59219,64.20Z,3,50.033333,3.9
59219,64.20Z,3,50.05,3.933333
59219,56.10C,3,50.033333,3.933333
59219,56.10C,3,50.033333,3.9
59219,56.10C,3,50.05,3.933333
59219,43.91A,6,50.033333,3.933333
59219,43.91A,6,50.033333,3.9
59219,43.91A,6,50.05,3.933333
59219,81.30Z,3,50.033333,3.933333
59219,81.30Z,3,50.033333,3.9
59219,81.30Z,3,50.05,3.933333
59219,84.11Z,6,50.033333,3.933333
59219,84.11Z,6,50.033333,3.9
59219,84.11Z,6,50.05,3.933333
59219,"",3,50.033333,3.933333
59219,"",3,50.033333,3.9
59219,"",3,50.05,3.933333
59219,93.12Z,3,50.033333,3.933333
59219,93.12Z,3,50.033333,3.9
59219,93.12Z,3,50.05,3.933333
59219,43.22B,3,50.033333,3.933333
59219,43.22B,3,50.033333,3.9
59219,43.22B,3,50.05,3.933333
59219,43.32A,3,50.033333,3.933333
59219,43.32A,3,50.033333,3.9
59219,43.32A,3,50.05,3.933333
59219,28.1C,3,50.033333,3.933333
59219,28.1C,3,50.033333,3.9
59219,28.1C,3,50.05,3.933333
59219,29.31Z,3,50.033333,3.933333
59219,29.31Z,3,50.033333,3.9
59219,29.31Z,3,50.05,3.933333
59219,55.4B,6,50.033333,3.933333
59219,55.4B,6,50.033333,3.9
59219,55.4B,6,50.05,3.933333
59219,74.1J,3,50.033333,3.933333
59219,74.1J,3,50.033333,3.9
59219,74.1J,3,50.05,3.933333
59219,68.32B,3,50.033333,3.933333
59219,68.32B,3,50.033333,3.9
59219,68.32B,3,50.05,3.933333
59219,74.20Z,3,50.033333,3.933333
59219,74.20Z,3,50.033333,3.9
59219,74.20Z,3,50.05,3.933333
59219,67.1E,3,50.033333,3.933333
59219,67.1E,3,50.033333,3.9
59219,67.1E,3,50.05,3.933333
59219,56.10A,3,50.033333,3.933333
59219,56.10A,3,50.033333,3.9
59219,56.10A,3,50.05,3.933333
59219,86.90D,15,50.033333,3.933333
59219,86.90D,15,50.033333,3.9
59219,86.90D,15,50.05,3.933333
59219,46.19B,6,50.033333,3.933333
59219,46.19B,6,50.033333,3.9
59219,46.19B,6,50.05,3.933333
59219,31.09B,6,50.033333,3.933333
59219,31.09B,6,50.033333,3.9
59219,31.09B,6,50.05,3.933333
59219,69.12,3,50.033333,3.933333
59219,69.12,3,50.033333,3.9
59219,69.12,3,50.05,3.933333
59219,70.1C,3,50.033333,3.933333
59219,70.1C,3,50.033333,3.9
59219,70.1C,3,50.05,3.933333
59219,55.30Z,3,50.033333,3.933333
59219,55.30Z,3,50.033333,3.9
59219,55.30Z,3,50.05,3.933333
59219,43.91B,3,50.033333,3.933333
59219,43.91B,3,50.033333,3.9
59219,43.91B,3,50.05,3.933333
59219,94.99Z,15,50.033333,3.933333
59219,94.99Z,15,50.033333,3.9
59219,94.99Z,15,50.05,3.933333
59219,61.2Z,6,50.033333,3.933333
59219,61.2Z,6,50.033333,3.9
59219,61.2Z,6,50.05,3.933333
59219,47.78C,6,50.033333,3.933333
59219,47.78C,6,50.033333,3.9
59219,47.78C,6,50.05,3.933333
59219,51.6J,3,50.033333,3.933333
59219,51.6J,3,50.033333,3.9
59219,51.6J,3,50.05,3.933333
59219,69.23,3,50.033333,3.933333
59219,69.23,3,50.033333,3.9
59219,69.23,3,50.05,3.933333
59219,47.64Z,3,50.033333,3.933333
59219,47.64Z,3,50.033333,3.9
59219,47.64Z,3,50.05,3.933333
59219,77.21Z,3,50.033333,3.933333
59219,77.21Z,3,50.033333,3.9
59219,77.21Z,3,50.05,3.933333
59219,62.01Z,6,50.033333,3.933333
59219,62.01Z,6,50.033333,3.9
59219,62.01Z,6,50.05,3.933333
59219,43.29A,3,50.033333,3.933333
59219,43.29A,3,50.033333,3.9
59219,43.29A,3,50.05,3.933333
59219,01.50Z,3,50.033333,3.933333
59219,01.50Z,3,50.033333,3.9
59219,01.50Z,3,50.05,3.933333
59219,46.18Z,3,50.033333,3.933333
59219,46.18Z,3,50.033333,3.9
59219,46.18Z,3,50.05,3.933333
59219,84.13,3,50.033333,3.933333
59219,84.13,3,50.033333,3.9
59219,84.13,3,50.05,3.933333
59219,87.90A,3,50.033333,3.933333
59219,87.90A,3,50.033333,3.9
59219,87.90A,3,50.05,3.933333
59219,43.31Z,3,50.033333,3.933333
59219,43.31Z,3,50.033333,3.9
59219,43.31Z,3,50.05,3.933333
59219,91.3E,3,50.033333,3.933333
59219,91.3E,3,50.033333,3.9
59219,91.3E,3,50.05,3.933333
59219,45.4C,6,50.033333,3.933333
59219,45.4C,6,50.033333,3.9
59219,45.4C,6,50.05,3.933333
59219,70.2C,3,50.033333,3.933333
59219,70.2C,3,50.033333,3.9
59219,70.2C,3,50.05,3.933333
59219,67.07,3,50.033333,3.933333
59219,67.07,3,50.033333,3.9
59219,67.07,3,50.05,3.933333
59219,96.02B,3,50.033333,3.933333
59219,96.02B,3,50.033333,3.9
59219,96.02B,3,50.05,3.933333
59219,86.21Z,3,50.033333,3.933333
59219,86.21Z,3,50.033333,3.9
59219,86.21Z,3,50.05,3.933333
59219,68.31Z,3,50.033333,3.933333
59219,68.31Z,3,50.033333,3.9
59219,68.31Z,3,50.05,3.933333
59219,64.22,3,50.033333,3.933333
59219,64.22,3,50.033333,3.9
59219,64.22,3,50.05,3.933333
59219,88.10A,3,50.033333,3.933333
59219,88.10A,3,50.033333,3.9
59219,88.10A,3,50.05,3.933333
59219,85.59B,6,50.033333,3.933333
59219,85.59B,6,50.033333,3.9
59219,85.59B,6,50.05,3.933333
59219,43.99C,12,50.033333,3.933333
59219,43.99C,12,50.033333,3.9
59219,43.99C,12,50.05,3.933333
59219,46.31Z,3,50.033333,3.933333
59219,46.31Z,3,50.033333,3.9
59219,46.31Z,3,50.05,3.933333
