codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59227,47.99A,45,50.233333,3.45
59227,47.99A,45,50.233333,3.45
59227,47.99A,45,50.266667,3.483333
59227,33.20A,9,50.233333,3.45
59227,33.20A,9,50.233333,3.45
59227,33.20A,9,50.266667,3.483333
59227,10.31Z,3,50.233333,3.45
59227,10.31Z,3,50.233333,3.45
59227,10.31Z,3,50.266667,3.483333
59227,64.11,9,50.233333,3.45
59227,64.11,9,50.233333,3.45
59227,64.11,9,50.266667,3.483333
59227,65.12Z,3,50.233333,3.45
59227,65.12Z,3,50.233333,3.45
59227,65.12Z,3,50.266667,3.483333
59227,43.22A,12,50.233333,3.45
59227,43.22A,12,50.233333,3.45
59227,43.22A,12,50.266667,3.483333
59227,67.05,6,50.233333,3.45
59227,67.05,6,50.233333,3.45
59227,67.05,6,50.266667,3.483333
59227,93.0D,3,50.233333,3.45
59227,93.0D,3,50.233333,3.45
59227,93.0D,3,50.266667,3.483333
59227,01.11Z,6,50.233333,3.45
59227,01.11Z,6,50.233333,3.45
59227,01.11Z,6,50.266667,3.483333
59227,47.79Z,6,50.233333,3.45
59227,47.79Z,6,50.233333,3.45
59227,47.79Z,6,50.266667,3.483333
59227,49.41A,6,50.233333,3.45
59227,49.41A,6,50.233333,3.45
59227,49.41A,6,50.266667,3.483333
59227,43.99A,3,50.233333,3.45
59227,43.99A,3,50.233333,3.45
59227,43.99A,3,50.266667,3.483333
59227,64.23,3,50.233333,3.45
59227,64.23,3,50.233333,3.45
59227,64.23,3,50.266667,3.483333
59227,64.49,6,50.233333,3.45
59227,64.49,6,50.233333,3.45
59227,64.49,6,50.266667,3.483333
59227,68.20A,21,50.233333,3.45
59227,68.20A,21,50.233333,3.45
59227,68.20A,21,50.266667,3.483333
59227,85.1E,3,50.233333,3.45
59227,85.1E,3,50.233333,3.45
59227,85.1E,3,50.266667,3.483333
59227,55.40,3,50.233333,3.45
59227,55.40,3,50.233333,3.45
59227,55.40,3,50.266667,3.483333
59227,49.32Z,3,50.233333,3.45
59227,49.32Z,3,50.233333,3.45
59227,49.32Z,3,50.266667,3.483333
59227,55.60,6,50.233333,3.45
59227,55.60,6,50.233333,3.45
59227,55.60,6,50.266667,3.483333
59227,56.30Z,27,50.233333,3.45
59227,56.30Z,27,50.233333,3.45
59227,56.30Z,27,50.266667,3.483333
59227,49.01,3,50.233333,3.45
59227,49.01,3,50.233333,3.45
59227,49.01,3,50.266667,3.483333
59227,56.21Z,9,50.233333,3.45
59227,56.21Z,9,50.233333,3.45
59227,56.21Z,9,50.266667,3.483333
59227,95.11Z,3,50.233333,3.45
59227,95.11Z,3,50.233333,3.45
59227,95.11Z,3,50.266667,3.483333
59227,62.11,21,50.233333,3.45
59227,62.11,21,50.233333,3.45
59227,62.11,21,50.266667,3.483333
59227,85.1C,3,50.233333,3.45
59227,85.1C,3,50.233333,3.45
59227,85.1C,3,50.266667,3.483333
59227,45.4J,3,50.233333,3.45
59227,45.4J,3,50.233333,3.45
59227,45.4J,3,50.266667,3.483333
59227,51.1G,3,50.233333,3.45
59227,51.1G,3,50.233333,3.45
59227,51.1G,3,50.266667,3.483333
59227,81.22Z,6,50.233333,3.45
59227,81.22Z,6,50.233333,3.45
59227,81.22Z,6,50.266667,3.483333
59227,43.34Z,24,50.233333,3.45
59227,43.34Z,24,50.233333,3.45
59227,43.34Z,24,50.266667,3.483333
59227,95.21Z,3,50.233333,3.45
59227,95.21Z,3,50.233333,3.45
59227,95.21Z,3,50.266667,3.483333
59227,52.4X,12,50.233333,3.45
59227,52.4X,12,50.233333,3.45
59227,52.4X,12,50.266667,3.483333
59227,46.74A,3,50.233333,3.45
59227,46.74A,3,50.233333,3.45
59227,46.74A,3,50.266667,3.483333
59227,52.7H,3,50.233333,3.45
59227,52.7H,3,50.233333,3.45
59227,52.7H,3,50.266667,3.483333
59227,64.20Z,6,50.233333,3.45
59227,64.20Z,6,50.233333,3.45
59227,64.20Z,6,50.266667,3.483333
59227,86.90E,87,50.233333,3.45
59227,86.90E,87,50.233333,3.45
59227,86.90E,87,50.266667,3.483333
59227,90.01Z,9,50.233333,3.45
59227,90.01Z,9,50.233333,3.45
59227,90.01Z,9,50.266667,3.483333
59227,38.11Z,6,50.233333,3.45
59227,38.11Z,6,50.233333,3.45
59227,38.11Z,6,50.266667,3.483333
59227,43.32B,3,50.233333,3.45
59227,43.32B,3,50.233333,3.45
59227,43.32B,3,50.266667,3.483333
59227,80.4C,6,50.233333,3.45
59227,80.4C,6,50.233333,3.45
59227,80.4C,6,50.266667,3.483333
59227,47.82Z,6,50.233333,3.45
59227,47.82Z,6,50.233333,3.45
59227,47.82Z,6,50.266667,3.483333
59227,94.91Z,6,50.233333,3.45
59227,94.91Z,6,50.233333,3.45
59227,94.91Z,6,50.266667,3.483333
59227,56.10C,27,50.233333,3.45
59227,56.10C,27,50.233333,3.45
59227,56.10C,27,50.266667,3.483333
59227,52.4R,3,50.233333,3.45
59227,52.4R,3,50.233333,3.45
59227,52.4R,3,50.266667,3.483333
59227,43.91A,3,50.233333,3.45
59227,43.91A,3,50.233333,3.45
59227,43.91A,3,50.266667,3.483333
59227,82.11Z,3,50.233333,3.45
59227,82.11Z,3,50.233333,3.45
59227,82.11Z,3,50.266667,3.483333
59227,64.41,6,50.233333,3.45
59227,64.41,6,50.233333,3.45
59227,64.41,6,50.266667,3.483333
59227,81.30Z,3,50.233333,3.45
59227,81.30Z,3,50.233333,3.45
59227,81.30Z,3,50.266667,3.483333
59227,50.4Z,3,50.233333,3.45
