codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59238,47.99A,7,50.05,3.416667
59238,33.20A,2,50.05,3.416667
59238,43.22A,4,50.05,3.416667
59238,67.05,1,50.05,3.416667
59238,93.0D,2,50.05,3.416667
59238,02.10Z,1,50.05,3.416667
59238,01.11Z,12,50.05,3.416667
59238,23.19Z,1,50.05,3.416667
59238,95.29Z,1,50.05,3.416667
59238,68.20A,13,50.05,3.416667
59238,55.60,1,50.05,3.416667
59238,36.6E,1,50.05,3.416667
59238,56.30Z,5,50.05,3.416667
59238,32.99Z,1,50.05,3.416667
59238,95.11Z,2,50.05,3.416667
59238,56.21Z,1,50.05,3.416667
59238,62.11,3,50.05,3.416667
59238,20.4Z,1,50.05,3.416667
59238,45.4J,1,50.05,3.416667
59238,77.32Z,1,50.05,3.416667
59238,87.10A,1,50.05,3.416667
59238,86.90E,4,50.05,3.416667
59238,01.43Z,2,50.05,3.416667
59238,29.3C,1,50.05,3.416667
59238,59.13,1,50.05,3.416667
59238,56.10C,13,50.05,3.416667
59238,74.10Z,2,50.05,3.416667
59238,64.41,1,50.05,3.416667
59238,84.11Z,3,50.05,3.416667
59238,"",1,50.05,3.416667
59238,33.11Z,1,50.05,3.416667
59238,01.3Z,5,50.05,3.416667
59238,43.39Z,3,50.05,3.416667
59238,55.20Z,3,50.05,3.416667
59238,93.12Z,4,50.05,3.416667
59238,43.22B,1,50.05,3.416667
59238,43.29B,1,50.05,3.416667
59238,01.2G,1,50.05,3.416667
59238,43.32A,3,50.05,3.416667
59238,72.5Z,1,50.05,3.416667
59238,52.6E,3,50.05,3.416667
59238,97.22,1,50.05,3.416667
59238,43.33Z,1,50.05,3.416667
59238,68.32B,1,50.05,3.416667
59238,01.80,1,50.05,3.416667
59238,56.10A,1,50.05,3.416667
59238,86.90D,4,50.05,3.416667
59238,96.02A,3,50.05,3.416667
59238,46.19B,1,50.05,3.416667
59238,78.02,2,50.05,3.416667
59238,69.12,1,50.05,3.416667
59238,85.42Z,1,50.05,3.416667
59238,33.19Z,1,50.05,3.416667
59238,55.30Z,1,50.05,3.416667
59238,43.91B,3,50.05,3.416667
59238,94.99Z,16,50.05,3.416667
59238,67.2Z,1,50.05,3.416667
59238,62.45,1,50.05,3.416667
59238,70.10Z,1,50.05,3.416667
59238,79.90Z,1,50.05,3.416667
59238,82.99Z,1,50.05,3.416667
59238,50.3B,1,50.05,3.416667
59238,67.01,1,50.05,3.416667
59238,87.03,3,50.05,3.416667
59238,82.30Z,1,50.05,3.416667
59238,62.43,2,50.05,3.416667
59238,85.3J,1,50.05,3.416667
59238,62.01Z,2,50.05,3.416667
59238,55.71,5,50.05,3.416667
59238,01.50Z,9,50.05,3.416667
59238,62.41,1,50.05,3.416667
59238,77.12,1,50.05,3.416667
59238,91.3E,2,50.05,3.416667
59238,43.31Z,1,50.05,3.416667
59238,87.09,1,50.05,3.416667
59238,43.99D,1,50.05,3.416667
59238,81.29A,1,50.05,3.416667
59238,47.71Z,1,50.05,3.416667
59238,90.03A,2,50.05,3.416667
59238,16.29Z,2,50.05,3.416667
59238,67.07,2,50.05,3.416667
59238,47.78B,1,50.05,3.416667
59238,86.21Z,2,50.05,3.416667
59238,85.52Z,1,50.05,3.416667
59238,71.11Z,2,50.05,3.416667
59238,47.73Z,1,50.05,3.416667
59238,80.06,1,50.05,3.416667
59238,74.8K,1,50.05,3.416667
59238,68.31Z,6,50.05,3.416667
59238,01.41Z,4,50.05,3.416667
59238,01.42Z,2,50.05,3.416667
59238,85.59A,3,50.05,3.416667
59238,43.99C,7,50.05,3.416667
59238,49.41B,1,50.05,3.416667
59238,70.21Z,1,50.05,3.416667
59238,10.71C,2,50.05,3.416667
59238,97.23,1,50.05,3.416667
59238,43.99E,1,50.05,3.416667
59238,56.02,1,50.05,3.416667
59238,67.04,1,50.05,3.416667
59238,41.20A,4,50.05,3.416667
59238,96.09Z,7,50.05,3.416667
59238,00.98,1,50.05,3.416667
59238,60.09,1,50.05,3.416667
59238,81.21Z,6,50.05,3.416667
59238,35.11Z,1,50.05,3.416667
59238,43.12A,4,50.05,3.416667
59238,86.04,1,50.05,3.416667
59238,47.91A,3,50.05,3.416667
59238,01.13Z,1,50.05,3.416667
59238,01.49Z,4,50.05,3.416667
59238,90.03B,1,50.05,3.416667
59238,45.11Z,1,50.05,3.416667
59238,87.05,1,50.05,3.416667
59238,58.13Z,1,50.05,3.416667
59238,01.1A,4,50.05,3.416667
59238,01.1D,1,50.05,3.416667
59238,01.19Z,1,50.05,3.416667
59238,86.90F,2,50.05,3.416667
59238,90.02Z,2,50.05,3.416667
59238,68.10Z,1,50.05,3.416667
59238,70.22Z,5,50.05,3.416667
59238,66.22Z,1,50.05,3.416667
59238,62.46,1,50.05,3.416667
59238,47.25Z,1,50.05,3.416667
59238,75.00Z,1,50.05,3.416667
59238,47.91B,1,50.05,3.416667
59238,69.20Z,1,50.05,3.416667
59238,54.10,1,50.05,3.416667
59238,88.99B,1,50.05,3.416667
59238,93.29Z,2,50.05,3.416667
