codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59241,47.99A,4,50.116667,3.216667
59241,87.30A,1,50.116667,3.216667
59241,55.3A,2,50.116667,3.216667
59241,67.05,1,50.116667,3.216667
59241,01.11Z,5,50.116667,3.216667
59241,46.23Z,1,50.116667,3.216667
59241,68.20A,1,50.116667,3.216667
59241,45.2J,1,50.116667,3.216667
59241,56.30Z,1,50.116667,3.216667
59241,56.21Z,1,50.116667,3.216667
59241,17.29Z,1,50.116667,3.216667
59241,13.30Z,1,50.116667,3.216667
59241,01.47Z,2,50.116667,3.216667
59241,93.19Z,1,50.116667,3.216667
59241,90.01Z,2,50.116667,3.216667
59241,56.10C,3,50.116667,3.216667
59241,81.30Z,1,50.116667,3.216667
59241,84.11Z,3,50.116667,3.216667
59241,50.4Z,1,50.116667,3.216667
59241,33.3Z,2,50.116667,3.216667
59241,01.3Z,7,50.116667,3.216667
59241,93.12Z,1,50.116667,3.216667
59241,43.32A,1,50.116667,3.216667
59241,56.29B,1,50.116667,3.216667
59241,36.1G,1,50.116667,3.216667
59241,57.02,1,50.116667,3.216667
59241,65.2E,1,50.116667,3.216667
59241,55.70,1,50.116667,3.216667
59241,55.4B,1,50.116667,3.216667
59241,14.1A,1,50.116667,3.216667
59241,86.90D,2,50.116667,3.216667
59241,96.02A,1,50.116667,3.216667
59241,46.19B,1,50.116667,3.216667
59241,31.09B,1,50.116667,3.216667
59241,69.12,2,50.116667,3.216667
59241,01.00,4,50.116667,3.216667
59241,55.30Z,5,50.116667,3.216667
59241,43.91B,2,50.116667,3.216667
59241,94.99Z,5,50.116667,3.216667
59241,36.1K,2,50.116667,3.216667
59241,93.21Z,1,50.116667,3.216667
59241,23.70Z,1,50.116667,3.216667
59241,87.03,1,50.116667,3.216667
59241,74.7Z,1,50.116667,3.216667
59241,01.50Z,4,50.116667,3.216667
59241,01.45Z,3,50.116667,3.216667
59241,70.2C,1,50.116667,3.216667
59241,90.03A,1,50.116667,3.216667
59241,01.2A,14,50.116667,3.216667
59241,47.81Z,2,50.116667,3.216667
59241,01.41Z,20,50.116667,3.216667
59241,01.42Z,5,50.116667,3.216667
59241,85.59A,1,50.116667,3.216667
59241,43.99C,4,50.116667,3.216667
59241,01.2J,1,50.116667,3.216667
59241,49.41B,1,50.116667,3.216667
59241,96.09Z,2,50.116667,3.216667
59241,81.21Z,1,50.116667,3.216667
59241,43.12A,1,50.116667,3.216667
59241,74.10,1,50.116667,3.216667
59241,01.13Z,1,50.116667,3.216667
59241,01.49Z,2,50.116667,3.216667
59241,45.11Z,1,50.116667,3.216667
59241,01.1A,8,50.116667,3.216667
59241,16.10A,1,50.116667,3.216667
59241,86.90F,1,50.116667,3.216667
59241,66.22Z,1,50.116667,3.216667
59241,17.1E,1,50.116667,3.216667
59241,39.01,1,50.116667,3.216667
59241,92.3D,1,50.116667,3.216667
59241,66.04,1,50.116667,3.216667
59241,32.13Z,1,50.116667,3.216667
59241,88.99B,1,50.116667,3.216667
59241,38.40,1,50.116667,3.216667
59241,85.51Z,1,50.116667,3.216667
59241,45.2V,1,50.116667,3.216667
59241,43.21A,1,50.116667,3.216667
59241,71.12B,1,50.116667,3.216667
59241,60.2L,2,50.116667,3.216667
59241,68.20B,9,50.116667,3.216667
