codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59258,47.99A,33,50.083333,3.233333
59258,47.99A,33,50.1,3.266667
59258,47.99A,33,50.1,3.25
59258,43.22A,12,50.083333,3.233333
59258,43.22A,12,50.1,3.266667
59258,43.22A,12,50.1,3.25
59258,93.0D,3,50.083333,3.233333
59258,93.0D,3,50.1,3.266667
59258,93.0D,3,50.1,3.25
59258,02.10Z,3,50.083333,3.233333
59258,02.10Z,3,50.1,3.266667
59258,02.10Z,3,50.1,3.25
59258,43.11Z,3,50.083333,3.233333
59258,43.11Z,3,50.1,3.266667
59258,43.11Z,3,50.1,3.25
59258,01.11Z,21,50.083333,3.233333
59258,01.11Z,21,50.1,3.266667
59258,01.11Z,21,50.1,3.25
59258,23.19Z,3,50.083333,3.233333
59258,23.19Z,3,50.1,3.266667
59258,23.19Z,3,50.1,3.25
59258,65.02,3,50.083333,3.233333
59258,65.02,3,50.1,3.266667
59258,65.02,3,50.1,3.25
59258,49.41A,6,50.083333,3.233333
59258,49.41A,6,50.1,3.266667
59258,49.41A,6,50.1,3.25
59258,92.3A,6,50.083333,3.233333
59258,92.3A,6,50.1,3.266667
59258,92.3A,6,50.1,3.25
59258,68.20A,45,50.083333,3.233333
59258,68.20A,45,50.1,3.266667
59258,68.20A,45,50.1,3.25
59258,49.32Z,9,50.083333,3.233333
59258,49.32Z,9,50.1,3.266667
59258,49.32Z,9,50.1,3.25
59258,46.46Z,3,50.083333,3.233333
59258,46.46Z,3,50.1,3.266667
59258,46.46Z,3,50.1,3.25
59258,56.30Z,9,50.083333,3.233333
59258,56.30Z,9,50.1,3.266667
59258,56.30Z,9,50.1,3.25
59258,46.11Z,3,50.083333,3.233333
59258,46.11Z,3,50.1,3.266667
59258,46.11Z,3,50.1,3.25
59258,95.11Z,3,50.083333,3.233333
59258,95.11Z,3,50.1,3.266667
59258,95.11Z,3,50.1,3.25
59258,85.1C,3,50.083333,3.233333
59258,85.1C,3,50.1,3.266667
59258,85.1C,3,50.1,3.25
59258,62.11,3,50.083333,3.233333
59258,62.11,3,50.1,3.266667
59258,62.11,3,50.1,3.25
59258,50.2Z,3,50.083333,3.233333
59258,50.2Z,3,50.1,3.266667
59258,50.2Z,3,50.1,3.25
59258,46.49Z,3,50.083333,3.233333
59258,46.49Z,3,50.1,3.266667
59258,46.49Z,3,50.1,3.25
59258,45.4J,3,50.083333,3.233333
59258,45.4J,3,50.1,3.266667
59258,45.4J,3,50.1,3.25
59258,43.34Z,6,50.083333,3.233333
59258,43.34Z,6,50.1,3.266667
59258,43.34Z,6,50.1,3.25
59258,93.19Z,9,50.083333,3.233333
59258,93.19Z,9,50.1,3.266667
59258,93.19Z,9,50.1,3.25
59258,80.20Z,3,50.083333,3.233333
59258,80.20Z,3,50.1,3.266667
59258,80.20Z,3,50.1,3.25
59258,25.61Z,6,50.083333,3.233333
59258,25.61Z,6,50.1,3.266667
59258,25.61Z,6,50.1,3.25
59258,64.20Z,12,50.083333,3.233333
59258,64.20Z,12,50.1,3.266667
59258,64.20Z,12,50.1,3.25
