codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59264,47.99A,2,50.383333,3.6
59264,64.11,2,50.383333,3.6
59264,55.3A,4,50.383333,3.6
59264,01.11Z,8,50.383333,3.6
59264,68.20A,5,50.383333,3.6
59264,55.60,2,50.383333,3.6
59264,56.30Z,2,50.383333,3.6
59264,56.21Z,1,50.383333,3.6
59264,17.29Z,1,50.383333,3.6
59264,62.11,1,50.383333,3.6
59264,52.4Y,1,50.383333,3.6
59264,95.21Z,1,50.383333,3.6
59264,93.19Z,4,50.383333,3.6
59264,64.20Z,2,50.383333,3.6
59264,86.90E,3,50.383333,3.6
59264,01.43Z,2,50.383333,3.6
59264,51.5A,1,50.383333,3.6
59264,82.20Z,1,50.383333,3.6
59264,43.32B,1,50.383333,3.6
59264,47.75Z,1,50.383333,3.6
59264,81.30Z,4,50.383333,3.6
59264,64.42,1,50.383333,3.6
59264,84.11Z,2,50.383333,3.6
59264,85.1G,1,50.383333,3.6
59264,01.3Z,1,50.383333,3.6
59264,01.4A,1,50.383333,3.6
59264,25.62B,1,50.383333,3.6
59264,47.11C,1,50.383333,3.6
59264,55.4B,3,50.383333,3.6
59264,52.6E,1,50.383333,3.6
59264,01.80,3,50.383333,3.6
59264,47.11D,1,50.383333,3.6
59264,56.10A,5,50.383333,3.6
59264,64.30Z,1,50.383333,3.6
59264,96.02A,5,50.383333,3.6
59264,86.90D,1,50.383333,3.6
59264,78.02,1,50.383333,3.6
59264,45.3A,1,50.383333,3.6
59264,01.00,2,50.383333,3.6
59264,94.99Z,6,50.383333,3.6
59264,70.10Z,1,50.383333,3.6
59264,51.1T,1,50.383333,3.6
59264,67.01,4,50.383333,3.6
59264,01.50Z,1,50.383333,3.6
59264,81.21,1,50.383333,3.6
59264,43.31Z,1,50.383333,3.6
59264,70.2C,1,50.383333,3.6
59264,02.40Z,1,50.383333,3.6
59264,47.71Z,1,50.383333,3.6
59264,86.21Z,1,50.383333,3.6
59264,93.0E,1,50.383333,3.6
59264,47.81Z,1,50.383333,3.6
59264,10.71D,1,50.383333,3.6
59264,46.69C,1,50.383333,3.6
59264,68.31Z,1,50.383333,3.6
59264,01.42Z,1,50.383333,3.6
59264,40.37,1,50.383333,3.6
59264,43.99C,5,50.383333,3.6
59264,10.71C,2,50.383333,3.6
59264,01.61Z,1,50.383333,3.6
59264,45.20A,2,50.383333,3.6
59264,96.09Z,1,50.383333,3.6
59264,80.10Z,2,50.383333,3.6
59264,81.21Z,1,50.383333,3.6
59264,35.11Z,1,50.383333,3.6
59264,43.12A,3,50.383333,3.6
59264,47.91A,2,50.383333,3.6
59264,46.73A,1,50.383333,3.6
59264,55.1A,1,50.383333,3.6
59264,01.49Z,1,50.383333,3.6
59264,01.1A,4,50.383333,3.6
59264,70.1D,1,50.383333,3.6
59264,92.7C,2,50.383333,3.6
59264,88.99B,1,50.383333,3.6
59264,35.12Z,1,50.383333,3.6
59264,55.4A,1,50.383333,3.6
59264,85.51Z,3,50.383333,3.6
59264,52.1B,1,50.383333,3.6
59264,59.11A,1,50.383333,3.6
59264,43.21A,1,50.383333,3.6
59264,70.2A,2,50.383333,3.6
59264,52.6D,1,50.383333,3.6
59264,68.20B,25,50.383333,3.6
