codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59281,47.99A,7,50.133333,3.216667
59281,43.22A,2,50.133333,3.216667
59281,51.9B,1,50.133333,3.216667
59281,01.11Z,5,50.133333,3.216667
59281,92.3A,1,50.133333,3.216667
59281,95.29Z,1,50.133333,3.216667
59281,68.20A,4,50.133333,3.216667
59281,55.60,2,50.133333,3.216667
59281,56.30Z,2,50.133333,3.216667
59281,32.99Z,2,50.133333,3.216667
59281,62.11,2,50.133333,3.216667
59281,46.49Z,1,50.133333,3.216667
59281,50.2Z,1,50.133333,3.216667
59281,77.32Z,1,50.133333,3.216667
59281,43.34Z,1,50.133333,3.216667
59281,93.19Z,1,50.133333,3.216667
59281,36.4Z,1,50.133333,3.216667
59281,64.20Z,3,50.133333,3.216667
59281,90.01Z,2,50.133333,3.216667
59281,56.10C,2,50.133333,3.216667
59281,74.10Z,1,50.133333,3.216667
59281,81.30Z,2,50.133333,3.216667
59281,84.11Z,3,50.133333,3.216667
59281,"",1,50.133333,3.216667
59281,43.39Z,1,50.133333,3.216667
59281,93.12Z,5,50.133333,3.216667
59281,94.11Z,1,50.133333,3.216667
59281,43.22B,1,50.133333,3.216667
59281,43.32A,3,50.133333,3.216667
59281,56.29B,1,50.133333,3.216667
59281,70.1F,1,50.133333,3.216667
59281,79.11Z,2,50.133333,3.216667
59281,47.11B,1,50.133333,3.216667
59281,55.4B,1,50.133333,3.216667
59281,43.33Z,2,50.133333,3.216667
59281,64.30Z,1,50.133333,3.216667
59281,85.32Z,1,50.133333,3.216667
59281,96.02A,1,50.133333,3.216667
59281,86.90D,4,50.133333,3.216667
59281,46.19B,1,50.133333,3.216667
59281,43.91B,1,50.133333,3.216667
59281,94.99Z,15,50.133333,3.216667
59281,67.2Z,1,50.133333,3.216667
59281,47.76Z,2,50.133333,3.216667
59281,28.99B,1,50.133333,3.216667
59281,82.99Z,1,50.133333,3.216667
59281,93.21Z,3,50.133333,3.216667
59281,47.78C,1,50.133333,3.216667
59281,01.70,1,50.133333,3.216667
59281,62.01Z,3,50.133333,3.216667
59281,46.18Z,1,50.133333,3.216667
59281,77.40Z,1,50.133333,3.216667
59281,51.4S,1,50.133333,3.216667
59281,43.31Z,2,50.133333,3.216667
59281,90.03A,1,50.133333,3.216667
59281,77.39Z,1,50.133333,3.216667
59281,86.21Z,2,50.133333,3.216667
59281,96.02B,3,50.133333,3.216667
59281,85.52Z,1,50.133333,3.216667
59281,45.32Z,1,50.133333,3.216667
59281,86.90A,1,50.133333,3.216667
59281,47.81Z,1,50.133333,3.216667
59281,87.10B,2,50.133333,3.216667
59281,46.69C,1,50.133333,3.216667
59281,68.31Z,2,50.133333,3.216667
59281,93.0H,1,50.133333,3.216667
59281,85.59A,1,50.133333,3.216667
59281,43.99C,1,50.133333,3.216667
59281,10.71C,1,50.133333,3.216667
59281,67.04,2,50.133333,3.216667
59281,96.04Z,1,50.133333,3.216667
59281,00.98,1,50.133333,3.216667
59281,96.09Z,2,50.133333,3.216667
59281,81.21Z,1,50.133333,3.216667
59281,47.41Z,1,50.133333,3.216667
59281,46.52Z,1,50.133333,3.216667
59281,47.91A,2,50.133333,3.216667
59281,79.03,1,50.133333,3.216667
59281,01.13Z,7,50.133333,3.216667
59281,01.49Z,3,50.133333,3.216667
59281,45.11Z,1,50.133333,3.216667
59281,47.29Z,1,50.133333,3.216667
59281,01.1A,1,50.133333,3.216667
59281,47.99B,1,50.133333,3.216667
59281,01.19Z,2,50.133333,3.216667
59281,41.20B,2,50.133333,3.216667
59281,86.90F,3,50.133333,3.216667
59281,51.10,1,50.133333,3.216667
59281,70.22Z,6,50.133333,3.216667
59281,66.22Z,1,50.133333,3.216667
59281,47.91B,1,50.133333,3.216667
59281,62.02A,5,50.133333,3.216667
59281,88.99B,1,50.133333,3.216667
59281,93.29Z,3,50.133333,3.216667
59281,88.91A,1,50.133333,3.216667
59281,72.2C,1,50.133333,3.216667
59281,45.2V,1,50.133333,3.216667
59281,85.51Z,1,50.133333,3.216667
59281,43.21A,2,50.133333,3.216667
59281,52.1B,2,50.133333,3.216667
59281,64.43,1,50.133333,3.216667
59281,74.90B,1,50.133333,3.216667
59281,71.12B,1,50.133333,3.216667
59281,68.20B,20,50.133333,3.216667
