codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59285,47.99A,21,50.833333,2.35
59285,47.99A,21,50.8,2.333333
59285,47.99A,21,50.833333,2.416667
59285,33.20A,6,50.833333,2.35
59285,33.20A,6,50.8,2.333333
59285,33.20A,6,50.833333,2.416667
59285,70.3A,3,50.833333,2.35
59285,70.3A,3,50.8,2.333333
59285,70.3A,3,50.833333,2.416667
59285,64.11,6,50.833333,2.35
59285,64.11,6,50.8,2.333333
59285,64.11,6,50.833333,2.416667
59285,55.3A,12,50.833333,2.35
59285,55.3A,12,50.8,2.333333
59285,55.3A,12,50.833333,2.416667
59285,46.45Z,3,50.833333,2.35
59285,46.45Z,3,50.8,2.333333
59285,46.45Z,3,50.833333,2.416667
59285,93.0D,3,50.833333,2.35
59285,93.0D,3,50.8,2.333333
59285,93.0D,3,50.833333,2.416667
59285,84.11,3,50.833333,2.35
59285,84.11,3,50.8,2.333333
59285,84.11,3,50.833333,2.416667
59285,01.11Z,42,50.833333,2.35
59285,01.11Z,42,50.8,2.333333
59285,01.11Z,42,50.833333,2.416667
59285,47.79Z,6,50.833333,2.35
59285,47.79Z,6,50.8,2.333333
59285,47.79Z,6,50.833333,2.416667
59285,65.02,6,50.833333,2.35
59285,65.02,6,50.8,2.333333
59285,65.02,6,50.833333,2.416667
59285,49.41A,12,50.833333,2.35
59285,49.41A,12,50.8,2.333333
59285,49.41A,12,50.833333,2.416667
59285,52.4Z,3,50.833333,2.35
59285,52.4Z,3,50.8,2.333333
59285,52.4Z,3,50.833333,2.416667
59285,95.29Z,3,50.833333,2.35
59285,95.29Z,3,50.8,2.333333
59285,95.29Z,3,50.833333,2.416667
59285,64.49,15,50.833333,2.35
59285,64.49,15,50.8,2.333333
59285,64.49,15,50.833333,2.416667
59285,68.20A,9,50.833333,2.35
59285,68.20A,9,50.8,2.333333
59285,68.20A,9,50.833333,2.416667
59285,46.46Z,3,50.833333,2.35
59285,46.46Z,3,50.8,2.333333
59285,46.46Z,3,50.833333,2.416667
59285,53.05,3,50.833333,2.35
59285,53.05,3,50.8,2.333333
59285,53.05,3,50.833333,2.416667
59285,49.32Z,3,50.833333,2.35
59285,49.32Z,3,50.8,2.333333
59285,49.32Z,3,50.833333,2.416667
59285,55.60,12,50.833333,2.35
59285,55.60,12,50.8,2.333333
59285,55.60,12,50.833333,2.416667
59285,56.30Z,9,50.833333,2.35
59285,56.30Z,9,50.8,2.333333
59285,56.30Z,9,50.833333,2.416667
59285,49.01,3,50.833333,2.35
59285,49.01,3,50.8,2.333333
59285,49.01,3,50.833333,2.416667
59285,85.1C,9,50.833333,2.35
59285,85.1C,9,50.8,2.333333
59285,85.1C,9,50.833333,2.416667
59285,62.11,9,50.833333,2.35
59285,62.11,9,50.8,2.333333
59285,62.11,9,50.833333,2.416667
59285,50.2Z,6,50.833333,2.35
59285,50.2Z,6,50.8,2.333333
59285,50.2Z,6,50.833333,2.416667
59285,01.47Z,3,50.833333,2.35
59285,01.47Z,3,50.8,2.333333
59285,01.47Z,3,50.833333,2.416667
59285,47.52A,3,50.833333,2.35
59285,47.52A,3,50.8,2.333333
59285,47.52A,3,50.833333,2.416667
59285,45.4J,6,50.833333,2.35
59285,45.4J,6,50.8,2.333333
59285,45.4J,6,50.833333,2.416667
59285,70.02,3,50.833333,2.35
59285,70.02,3,50.8,2.333333
59285,70.02,3,50.833333,2.416667
59285,52.4Y,3,50.833333,2.35
59285,52.4Y,3,50.8,2.333333
59285,52.4Y,3,50.833333,2.416667
59285,43.34Z,6,50.833333,2.35
59285,43.34Z,6,50.8,2.333333
59285,43.34Z,6,50.833333,2.416667
59285,81.29B,3,50.833333,2.35
59285,81.29B,3,50.8,2.333333
59285,81.29B,3,50.833333,2.416667
59285,93.19Z,6,50.833333,2.35
59285,93.19Z,6,50.8,2.333333
59285,93.19Z,6,50.833333,2.416667
59285,52.4X,9,50.833333,2.35
59285,52.4X,9,50.8,2.333333
59285,52.4X,9,50.833333,2.416667
59285,87.10A,3,50.833333,2.35
59285,87.10A,3,50.8,2.333333
59285,87.10A,3,50.833333,2.416667
59285,64.20Z,6,50.833333,2.35
59285,64.20Z,6,50.8,2.333333
59285,64.20Z,6,50.833333,2.416667
59285,86.90E,78,50.833333,2.35
59285,86.90E,78,50.8,2.333333
59285,86.90E,78,50.833333,2.416667
59285,90.01Z,3,50.833333,2.35
59285,90.01Z,3,50.8,2.333333
59285,90.01Z,3,50.833333,2.416667
59285,82.20Z,3,50.833333,2.35
59285,82.20Z,3,50.8,2.333333
59285,82.20Z,3,50.833333,2.416667
59285,71.20A,3,50.833333,2.35
59285,71.20A,3,50.8,2.333333
59285,71.20A,3,50.833333,2.416667
59285,80.4C,3,50.833333,2.35
59285,80.4C,3,50.8,2.333333
59285,80.4C,3,50.833333,2.416667
59285,47.82Z,3,50.833333,2.35
59285,47.82Z,3,50.8,2.333333
59285,47.82Z,3,50.833333,2.416667
59285,43.32B,6,50.833333,2.35
59285,43.32B,6,50.8,2.333333
59285,43.32B,6,50.833333,2.416667
59285,52.4R,3,50.833333,2.35
59285,52.4R,3,50.8,2.333333
59285,52.4R,3,50.833333,2.416667
59285,56.10C,27,50.833333,2.35
59285,56.10C,27,50.8,2.333333
59285,56.10C,27,50.833333,2.416667
59285,33.20C,6,50.833333,2.35
59285,33.20C,6,50.8,2.333333
59285,33.20C,6,50.833333,2.416667
59285,74.90A,3,50.833333,2.35
59285,74.90A,3,50.8,2.333333
59285,74.90A,3,50.833333,2.416667
59285,74.10Z,3,50.833333,2.35
59285,74.10Z,3,50.8,2.333333
59285,74.10Z,3,50.833333,2.416667
59285,81.30Z,12,50.833333,2.35
59285,81.30Z,12,50.8,2.333333
59285,81.30Z,12,50.833333,2.416667
59285,42.21Z,3,50.833333,2.35
59285,42.21Z,3,50.8,2.333333
59285,42.21Z,3,50.833333,2.416667
59285,64.42,6,50.833333,2.35
59285,64.42,6,50.8,2.333333
59285,64.42,6,50.833333,2.416667
59285,84.11Z,15,50.833333,2.35
59285,84.11Z,15,50.8,2.333333
59285,84.11Z,15,50.833333,2.416667
59285,50.4Z,3,50.833333,2.35
59285,50.4Z,3,50.8,2.333333
59285,50.4Z,3,50.833333,2.416667
59285,66.30Z,3,50.833333,2.35
59285,66.30Z,3,50.8,2.333333
59285,66.30Z,3,50.833333,2.416667
59285,95.22Z,3,50.833333,2.35
59285,95.22Z,3,50.8,2.333333
59285,95.22Z,3,50.833333,2.416667
59285,"",3,50.833333,2.35
59285,"",3,50.8,2.333333
59285,"",3,50.833333,2.416667
59285,85.1G,6,50.833333,2.35
59285,85.1G,6,50.8,2.333333
59285,85.1G,6,50.833333,2.416667
59285,77.14,3,50.833333,2.35
59285,77.14,3,50.8,2.333333
59285,77.14,3,50.833333,2.416667
59285,43.39Z,3,50.833333,2.35
59285,43.39Z,3,50.8,2.333333
59285,43.39Z,3,50.833333,2.416667
59285,01.3Z,3,50.833333,2.35
59285,01.3Z,3,50.8,2.333333
59285,01.3Z,3,50.833333,2.416667
59285,93.12Z,21,50.833333,2.35
59285,93.12Z,21,50.8,2.333333
59285,93.12Z,21,50.833333,2.416667
59285,43.22B,6,50.833333,2.35
59285,43.22B,6,50.8,2.333333
59285,43.22B,6,50.833333,2.416667
59285,43.32A,18,50.833333,2.35
59285,43.32A,18,50.8,2.333333
59285,43.32A,18,50.833333,2.416667
59285,46.42Z,3,50.833333,2.35
59285,46.42Z,3,50.8,2.333333
59285,46.42Z,3,50.833333,2.416667
