codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59286,33.20A,3,50.416667,3.083333
59286,47.99A,61,50.416667,3.083333
59286,10.62Z,3,50.416667,3.083333
59286,70.3A,10,50.416667,3.083333
59286,64.11,21,50.416667,3.083333
59286,61.10Z,2,50.416667,3.083333
59286,93.0A,1,50.416667,3.083333
59286,55.3A,20,50.416667,3.083333
59286,65.12Z,1,50.416667,3.083333
59286,46.45Z,1,50.416667,3.083333
59286,43.22A,26,50.416667,3.083333
59286,47.04,2,50.416667,3.083333
59286,24.01,1,50.416667,3.083333
59286,31.01Z,2,50.416667,3.083333
59286,41.10A,2,50.416667,3.083333
59286,67.05,3,50.416667,3.083333
59286,64.40,1,50.416667,3.083333
59286,93.0D,8,50.416667,3.083333
59286,43.11Z,2,50.416667,3.083333
59286,11.01Z,1,50.416667,3.083333
59286,47.79Z,6,50.416667,3.083333
59286,84.11,2,50.416667,3.083333
59286,52.3A,2,50.416667,3.083333
59286,00.97,1,50.416667,3.083333
59286,49.41A,12,50.416667,3.083333
59286,65.02,3,50.416667,3.083333
59286,46.23Z,1,50.416667,3.083333
59286,46.36Z,1,50.416667,3.083333
59286,43.99A,5,50.416667,3.083333
59286,95.29Z,7,50.416667,3.083333
59286,52.4Z,9,50.416667,3.083333
59286,92.3A,1,50.416667,3.083333
59286,44.18,3,50.416667,3.083333
59286,64.23,3,50.416667,3.083333
59286,55.40,5,50.416667,3.083333
59286,64.49,7,50.416667,3.083333
59286,68.20A,42,50.416667,3.083333
59286,85.1E,2,50.416667,3.083333
59286,14.2A,1,50.416667,3.083333
59286,51.3A,2,50.416667,3.083333
59286,49.32Z,20,50.416667,3.083333
59286,46.46Z,2,50.416667,3.083333
59286,60.2E,2,50.416667,3.083333
59286,84.24Z,1,50.416667,3.083333
59286,45.3E,5,50.416667,3.083333
59286,80.04,1,50.416667,3.083333
59286,90.0G,1,50.416667,3.083333
59286,45.2J,4,50.416667,3.083333
59286,55.60,13,50.416667,3.083333
59286,55.31,1,50.416667,3.083333
59286,86.22A,5,50.416667,3.083333
59286,56.30Z,25,50.416667,3.083333
59286,15.8D,3,50.416667,3.083333
59286,32.99Z,2,50.416667,3.083333
59286,49.01,3,50.416667,3.083333
59286,52.21Z,2,50.416667,3.083333
59286,52.29A,3,50.416667,3.083333
59286,95.11Z,4,50.416667,3.083333
59286,17.29Z,2,50.416667,3.083333
59286,56.21Z,4,50.416667,3.083333
59286,85.1C,11,50.416667,3.083333
59286,62.11,17,50.416667,3.083333
59286,23.49Z,1,50.416667,3.083333
59286,20.4Z,1,50.416667,3.083333
59286,46.49Z,5,50.416667,3.083333
59286,50.2Z,5,50.416667,3.083333
59286,47.77Z,3,50.416667,3.083333
59286,78.20Z,3,50.416667,3.083333
59286,45.4J,19,50.416667,3.083333
59286,47.52A,2,50.416667,3.083333
59286,13.30Z,2,50.416667,3.083333
59286,77.32Z,6,50.416667,3.083333
59286,70.02,4,50.416667,3.083333
59286,51.1G,2,50.416667,3.083333
59286,81.22Z,2,50.416667,3.083333
59286,52.4V,4,50.416667,3.083333
59286,52.4Y,1,50.416667,3.083333
59286,43.34Z,27,50.416667,3.083333
59286,93.19Z,5,50.416667,3.083333
59286,81.29B,3,50.416667,3.083333
59286,17.4A,1,50.416667,3.083333
59286,80.20Z,1,50.416667,3.083333
59286,47.02,1,50.416667,3.083333
59286,52.4X,7,50.416667,3.083333
59286,42.91Z,1,50.416667,3.083333
59286,93.0N,4,50.416667,3.083333
59286,72.20Z,2,50.416667,3.083333
59286,64.20Z,30,50.416667,3.083333
59286,25.12Z,3,50.416667,3.083333
59286,87.10A,1,50.416667,3.083333
59286,52.29B,2,50.416667,3.083333
59286,86.90E,114,50.416667,3.083333
59286,90.01Z,18,50.416667,3.083333
59286,85.31Z,6,50.416667,3.083333
59286,71.3G,1,50.416667,3.083333
59286,46.71Z,1,50.416667,3.083333
