codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59370,47.99A,2,"",""
59370,33.20A,1,"",""
59370,45.1B,1,"",""
59370,55.3A,2,"",""
59370,46.45Z,1,"",""
59370,93.0D,1,"",""
59370,01.11Z,3,"",""
59370,77.01,1,"",""
59370,65.02,1,"",""
59370,52.4Z,1,"",""
59370,95.29Z,1,"",""
59370,68.20A,4,"",""
59370,49.32Z,1,"",""
59370,55.60,1,"",""
59370,46.49Z,1,"",""
59370,47.52A,1,"",""
59370,77.32Z,1,"",""
59370,52.4Y,1,"",""
59370,43.34Z,2,"",""
59370,80.4D,1,"",""
59370,64.20Z,2,"",""
59370,71.3G,1,"",""
59370,29.3C,1,"",""
59370,43.32B,1,"",""
59370,81.30Z,1,"",""
59370,25.72Z,1,"",""
59370,84.11Z,3,"",""
59370,43.99B,1,"",""
59370,50.1Z,3,"",""
59370,66.30Z,1,"",""
59370,01.3Z,4,"",""
59370,01.4A,1,"",""
59370,43.39Z,1,"",""
59370,29.4A,1,"",""
59370,93.12Z,1,"",""
59370,43.32A,3,"",""
59370,74.30Z,1,"",""
59370,47.11B,1,"",""
59370,45.2L,1,"",""
59370,65.06,1,"",""
59370,65.2E,2,"",""
59370,55.70,2,"",""
59370,13.92Z,1,"",""
59370,52.6E,2,"",""
59370,43.33Z,1,"",""
59370,56.10A,2,"",""
59370,86.90D,9,"",""
59370,96.02A,2,"",""
59370,51.1R,1,"",""
59370,46.19B,2,"",""
59370,77.31Z,1,"",""
59370,69.12,1,"",""
59370,01.00,2,"",""
59370,29.5N,1,"",""
59370,43.91B,1,"",""
59370,94.99Z,6,"",""
59370,62.45,1,"",""
59370,14.13Z,1,"",""
59370,67.01,2,"",""
59370,47.78C,2,"",""
59370,46.34Z,1,"",""
59370,55.12,1,"",""
59370,01.50Z,4,"",""
59370,62.41,1,"",""
59370,81.21,3,"",""
59370,47.62Z,1,"",""
59370,28.3C,1,"",""
59370,70.2C,2,"",""
59370,45.1A,1,"",""
59370,46.39B,1,"",""
59370,46.90Z,2,"",""
59370,47.78B,2,"",""
59370,96.02B,1,"",""
59370,47.73Z,2,"",""
59370,74.4B,1,"",""
59370,01.41Z,1,"",""
59370,85.59A,3,"",""
59370,43.99C,3,"",""
59370,51.5E,2,"",""
59370,49.41B,1,"",""
59370,45.20A,4,"",""
59370,41.20A,7,"",""
59370,55.10Z,1,"",""
59370,96.09Z,2,"",""
59370,51.6A,1,"",""
59370,33.12Z,1,"",""
59370,74.2C,1,"",""
59370,81.21Z,1,"",""
59370,35.11Z,2,"",""
59370,74.8J,1,"",""
59370,43.12A,1,"",""
59370,84.10,2,"",""
59370,01.13Z,1,"",""
59370,67.08,2,"",""
59370,45.11Z,4,"",""
59370,01.1A,3,"",""
59370,46.38A,1,"",""
59370,68.10Z,2,"",""
59370,70.22Z,3,"",""
59370,71.20B,1,"",""
59370,66.22Z,1,"",""
59370,64.25,2,"",""
59370,62.46,1,"",""
59370,47.91B,1,"",""
59370,88.99B,1,"",""
59370,65.01,1,"",""
59370,28.5D,1,"",""
59370,69.10Z,1,"",""
59370,88.91A,1,"",""
59370,73.11Z,1,"",""
59370,45.2V,2,"",""
59370,43.21A,4,"",""
59370,60.2M,2,"",""
59370,74.90B,1,"",""
59370,55.72,3,"",""
59370,68.20B,32,"",""
