codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
59410,58.19Z,1,50.366667,3.5
59410,47.99A,109,50.366667,3.5
59410,33.20A,1,50.366667,3.5
59410,70.3A,5,50.366667,3.5
59410,64.11,23,50.366667,3.5
59410,87.30A,2,50.366667,3.5
59410,61.10Z,2,50.366667,3.5
59410,63.99Z,1,50.366667,3.5
59410,55.3A,14,50.366667,3.5
59410,65.12Z,4,50.366667,3.5
59410,45.1B,1,50.366667,3.5
59410,43.22A,25,50.366667,3.5
59410,47.04,3,50.366667,3.5
59410,95.12Z,2,50.366667,3.5
59410,51.9B,3,50.366667,3.5
59410,32.2B,1,50.366667,3.5
59410,67.05,3,50.366667,3.5
59410,41.10A,3,50.366667,3.5
59410,64.40,2,50.366667,3.5
59410,93.0D,11,50.366667,3.5
59410,58.01,1,50.366667,3.5
59410,43.11Z,1,50.366667,3.5
59410,84.11,2,50.366667,3.5
59410,52.3A,4,50.366667,3.5
59410,47.79Z,5,50.366667,3.5
59410,01.11Z,1,50.366667,3.5
59410,67.12,1,50.366667,3.5
59410,00.97,1,50.366667,3.5
59410,49.41A,12,50.366667,3.5
59410,77.01,7,50.366667,3.5
59410,65.02,5,50.366667,3.5
59410,43.99A,2,50.366667,3.5
59410,52.4Z,2,50.366667,3.5
59410,92.3A,9,50.366667,3.5
59410,95.29Z,9,50.366667,3.5
59410,44.23,1,50.366667,3.5
59410,47.65Z,1,50.366667,3.5
59410,68.20A,151,50.366667,3.5
59410,64.49,13,50.366667,3.5
59410,55.40,9,50.366667,3.5
59410,85.1E,2,50.366667,3.5
59410,51.3J,1,50.366667,3.5
59410,46.46Z,1,50.366667,3.5
59410,49.32Z,98,50.366667,3.5
59410,45.3E,6,50.366667,3.5
59410,80.04,4,50.366667,3.5
59410,60.2E,7,50.366667,3.5
59410,84.24Z,1,50.366667,3.5
59410,45.2J,4,50.366667,3.5
59410,55.60,7,50.366667,3.5
59410,15.8D,2,50.366667,3.5
59410,56.30Z,25,50.366667,3.5
59410,22.19Z,1,50.366667,3.5
59410,86.22A,3,50.366667,3.5
59410,74.5A,2,50.366667,3.5
59410,32.99Z,3,50.366667,3.5
59410,72.2Z,5,50.366667,3.5
59410,49.01,1,50.366667,3.5
59410,52.21Z,2,50.366667,3.5
59410,17.29Z,1,50.366667,3.5
59410,52.29A,1,50.366667,3.5
59410,56.21Z,9,50.366667,3.5
59410,95.11Z,12,50.366667,3.5
59410,62.11,17,50.366667,3.5
59410,85.1C,16,50.366667,3.5
59410,46.49Z,11,50.366667,3.5
59410,50.2Z,5,50.366667,3.5
59410,64.44,1,50.366667,3.5
59410,47.77Z,1,50.366667,3.5
59410,45.4J,8,50.366667,3.5
59410,11.07B,1,50.366667,3.5
59410,13.30Z,1,50.366667,3.5
59410,78.20Z,4,50.366667,3.5
59410,47.52A,1,50.366667,3.5
59410,51.1G,1,50.366667,3.5
59410,77.32Z,2,50.366667,3.5
59410,81.22Z,9,50.366667,3.5
59410,52.4V,1,50.366667,3.5
59410,95.21Z,2,50.366667,3.5
59410,43.34Z,49,50.366667,3.5
59410,88.99A,2,50.366667,3.5
59410,93.19Z,8,50.366667,3.5
59410,15.9J,1,50.366667,3.5
59410,52.4X,11,50.366667,3.5
59410,93.0N,16,50.366667,3.5
59410,72.20Z,4,50.366667,3.5
59410,46.74A,2,50.366667,3.5
59410,47.02,1,50.366667,3.5
59410,64.20Z,33,50.366667,3.5
59410,87.10A,1,50.366667,3.5
59410,46.13Z,1,50.366667,3.5
59410,86.90E,140,50.366667,3.5
59410,90.01Z,60,50.366667,3.5
59410,46.71Z,3,50.366667,3.5
59410,85.31Z,4,50.366667,3.5
59410,74.3B,1,50.366667,3.5
59410,59.13,1,50.366667,3.5
59410,82.20Z,2,50.366667,3.5
59410,80.4C,6,50.366667,3.5
59410,47.82Z,33,50.366667,3.5
59410,43.32B,5,50.366667,3.5
59410,52.2G,4,50.366667,3.5
59410,47.75Z,3,50.366667,3.5
59410,77.12Z,1,50.366667,3.5
59410,94.92Z,1,50.366667,3.5
59410,94.91Z,7,50.366667,3.5
59410,74.10Z,35,50.366667,3.5
59410,56.10C,55,50.366667,3.5
59410,52.4R,4,50.366667,3.5
59410,74.90A,4,50.366667,3.5
59410,82.11Z,6,50.366667,3.5
59410,51.8L,1,50.366667,3.5
59410,87.20A,1,50.366667,3.5
59410,43.91A,1,50.366667,3.5
59410,93.13Z,2,50.366667,3.5
59410,46.44Z,2,50.366667,3.5
59410,81.30Z,5,50.366667,3.5
59410,86.10Z,1,50.366667,3.5
59410,45.4L,2,50.366667,3.5
59410,49.05,2,50.366667,3.5
59410,64.41,1,50.366667,3.5
59410,84.11Z,38,50.366667,3.5
59410,64.42,1,50.366667,3.5
59410,29.3D,3,50.366667,3.5
59410,59.11,1,50.366667,3.5
59410,50.4Z,1,50.366667,3.5
59410,79.12Z,2,50.366667,3.5
59410,50.1Z,10,50.366667,3.5
59410,52.7C,2,50.366667,3.5
59410,17.7C,2,50.366667,3.5
59410,26.12Z,1,50.366667,3.5
59410,77.08,4,50.366667,3.5
59410,66.30Z,10,50.366667,3.5
59410,64.45,2,50.366667,3.5
59410,45.4D,2,50.366667,3.5
59410,"",5,50.366667,3.5
59410,60.04,2,50.366667,3.5
59410,18.2D,2,50.366667,3.5
59410,20.14Z,1,50.366667,3.5
59410,85.1G,15,50.366667,3.5
59410,77.14,6,50.366667,3.5
59410,29.32Z,3,50.366667,3.5
59410,59.05,1,50.366667,3.5
59410,29.5L,1,50.366667,3.5
59410,33.11Z,1,50.366667,3.5
59410,43.39Z,9,50.366667,3.5
59410,22.29B,1,50.366667,3.5
59410,87.01,5,50.366667,3.5
59410,55.20Z,2,50.366667,3.5
59410,93.12Z,51,50.366667,3.5
59410,43.22B,15,50.366667,3.5
59410,43.29B,3,50.366667,3.5
59410,69.22,1,50.366667,3.5
59410,25.2H,1,50.366667,3.5
59410,43.32A,24,50.366667,3.5
59410,46.42Z,4,50.366667,3.5
59410,65.1E,2,50.366667,3.5
59410,56.29B,7,50.366667,3.5
59410,00.10,8,50.366667,3.5
59410,28.1C,1,50.366667,3.5
59410,58.12,2,50.366667,3.5
59410,93.11Z,1,50.366667,3.5
59410,25.62B,1,50.366667,3.5
59410,74.1G,21,50.366667,3.5
