codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
60150,47.99A,77,49.483333,2.8
60150,47.99A,77,49.483333,2.883333
60150,47.99A,77,49.483333,2.9
60150,47.99A,77,49.5,2.85
60150,47.99A,77,49.5,2.866667
60150,47.99A,77,49.466667,2.866667
60150,47.99A,77,49.466667,2.9
60150,47.99A,77,49.45,2.866667
60150,47.99A,77,49.466667,2.816667
60150,47.99A,77,49.466667,2.816667
60150,47.99A,77,49.5,2.85
60150,70.3A,22,49.483333,2.8
60150,70.3A,22,49.483333,2.883333
60150,70.3A,22,49.483333,2.9
60150,70.3A,22,49.5,2.85
60150,70.3A,22,49.5,2.866667
60150,70.3A,22,49.466667,2.866667
60150,70.3A,22,49.466667,2.9
60150,70.3A,22,49.45,2.866667
60150,70.3A,22,49.466667,2.816667
60150,70.3A,22,49.466667,2.816667
60150,70.3A,22,49.5,2.85
60150,55.3A,11,49.483333,2.8
60150,55.3A,11,49.483333,2.883333
60150,55.3A,11,49.483333,2.9
60150,55.3A,11,49.5,2.85
60150,55.3A,11,49.5,2.866667
60150,55.3A,11,49.466667,2.866667
60150,55.3A,11,49.466667,2.9
60150,55.3A,11,49.45,2.866667
60150,55.3A,11,49.466667,2.816667
60150,55.3A,11,49.466667,2.816667
60150,55.3A,11,49.5,2.85
60150,43.22A,22,49.483333,2.8
60150,43.22A,22,49.483333,2.883333
60150,43.22A,22,49.483333,2.9
60150,43.22A,22,49.5,2.85
60150,43.22A,22,49.5,2.866667
60150,43.22A,22,49.466667,2.866667
60150,43.22A,22,49.466667,2.9
60150,43.22A,22,49.45,2.866667
60150,43.22A,22,49.466667,2.816667
60150,43.22A,22,49.466667,2.816667
60150,43.22A,22,49.5,2.85
60150,67.05,11,49.483333,2.8
60150,67.05,11,49.483333,2.883333
60150,67.05,11,49.483333,2.9
60150,67.05,11,49.5,2.85
60150,67.05,11,49.5,2.866667
60150,67.05,11,49.466667,2.866667
60150,67.05,11,49.466667,2.9
60150,67.05,11,49.45,2.866667
60150,67.05,11,49.466667,2.816667
60150,67.05,11,49.466667,2.816667
60150,67.05,11,49.5,2.85
60150,93.0D,11,49.483333,2.8
60150,93.0D,11,49.483333,2.883333
60150,93.0D,11,49.483333,2.9
60150,93.0D,11,49.5,2.85
60150,93.0D,11,49.5,2.866667
60150,93.0D,11,49.466667,2.866667
60150,93.0D,11,49.466667,2.9
60150,93.0D,11,49.45,2.866667
60150,93.0D,11,49.466667,2.816667
60150,93.0D,11,49.466667,2.816667
60150,93.0D,11,49.5,2.85
60150,01.11Z,77,49.483333,2.8
60150,01.11Z,77,49.483333,2.883333
60150,01.11Z,77,49.483333,2.9
60150,01.11Z,77,49.5,2.85
60150,01.11Z,77,49.5,2.866667
60150,01.11Z,77,49.466667,2.866667
60150,01.11Z,77,49.466667,2.9
60150,01.11Z,77,49.45,2.866667
60150,01.11Z,77,49.466667,2.816667
60150,01.11Z,77,49.466667,2.816667
60150,01.11Z,77,49.5,2.85
60150,47.79Z,11,49.483333,2.8
60150,47.79Z,11,49.483333,2.883333
60150,47.79Z,11,49.483333,2.9
60150,47.79Z,11,49.5,2.85
60150,47.79Z,11,49.5,2.866667
60150,47.79Z,11,49.466667,2.866667
