codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
60170,47.99A,9,49.483333,3.016667
60170,47.99A,9,49.483333,2.95
60170,47.99A,9,"",""
60170,47.99A,9,49.516667,2.95
60170,47.99A,9,49.516667,3.016667
60170,47.99A,9,49.5,2.9
60170,47.99A,9,49.5,2.966667
60170,47.99A,9,49.466667,3
60170,47.99A,9,49.433333,2.983333
60170,64.11,18,49.483333,3.016667
60170,64.11,18,49.483333,2.95
60170,64.11,18,"",""
60170,64.11,18,49.516667,2.95
60170,64.11,18,49.516667,3.016667
60170,64.11,18,49.5,2.9
60170,64.11,18,49.5,2.966667
60170,64.11,18,49.466667,3
60170,64.11,18,49.433333,2.983333
60170,43.22A,27,49.483333,3.016667
60170,43.22A,27,49.483333,2.95
60170,43.22A,27,"",""
60170,43.22A,27,49.516667,2.95
60170,43.22A,27,49.516667,3.016667
60170,43.22A,27,49.5,2.9
60170,43.22A,27,49.5,2.966667
60170,43.22A,27,49.466667,3
60170,43.22A,27,49.433333,2.983333
60170,02.10Z,9,49.483333,3.016667
60170,02.10Z,9,49.483333,2.95
60170,02.10Z,9,"",""
60170,02.10Z,9,49.516667,2.95
60170,02.10Z,9,49.516667,3.016667
60170,02.10Z,9,49.5,2.9
60170,02.10Z,9,49.5,2.966667
60170,02.10Z,9,49.466667,3
60170,02.10Z,9,49.433333,2.983333
60170,01.11Z,18,49.483333,3.016667
60170,01.11Z,18,49.483333,2.95
60170,01.11Z,18,"",""
60170,01.11Z,18,49.516667,2.95
60170,01.11Z,18,49.516667,3.016667
60170,01.11Z,18,49.5,2.9
60170,01.11Z,18,49.5,2.966667
60170,01.11Z,18,49.466667,3
60170,01.11Z,18,49.433333,2.983333
60170,77.01,27,49.483333,3.016667
60170,77.01,27,49.483333,2.95
60170,77.01,27,"",""
60170,77.01,27,49.516667,2.95
60170,77.01,27,49.516667,3.016667
60170,77.01,27,49.5,2.9
60170,77.01,27,49.5,2.966667
60170,77.01,27,49.466667,3
60170,77.01,27,49.433333,2.983333
60170,95.29Z,9,49.483333,3.016667
60170,95.29Z,9,49.483333,2.95
60170,95.29Z,9,"",""
60170,95.29Z,9,49.516667,2.95
60170,95.29Z,9,49.516667,3.016667
60170,95.29Z,9,49.5,2.9
60170,95.29Z,9,49.5,2.966667
60170,95.29Z,9,49.466667,3
60170,95.29Z,9,49.433333,2.983333
60170,92.3A,9,49.483333,3.016667
60170,92.3A,9,49.483333,2.95
60170,92.3A,9,"",""
60170,92.3A,9,49.516667,2.95
60170,92.3A,9,49.516667,3.016667
60170,92.3A,9,49.5,2.9
60170,92.3A,9,49.5,2.966667
60170,92.3A,9,49.466667,3
60170,92.3A,9,49.433333,2.983333
60170,68.20A,63,49.483333,3.016667
60170,68.20A,63,49.483333,2.95
60170,68.20A,63,"",""
60170,68.20A,63,49.516667,2.95
60170,68.20A,63,49.516667,3.016667
60170,68.20A,63,49.5,2.9
60170,68.20A,63,49.5,2.966667
60170,68.20A,63,49.466667,3
60170,68.20A,63,49.433333,2.983333
60170,55.40,27,49.483333,3.016667
60170,55.40,27,49.483333,2.95
60170,55.40,27,"",""
60170,55.40,27,49.516667,2.95
60170,55.40,27,49.516667,3.016667
60170,55.40,27,49.5,2.9
60170,55.40,27,49.5,2.966667
60170,55.40,27,49.466667,3
60170,55.40,27,49.433333,2.983333
60170,60.2E,9,49.483333,3.016667
60170,60.2E,9,49.483333,2.95
60170,60.2E,9,"",""
60170,60.2E,9,49.516667,2.95
60170,60.2E,9,49.516667,3.016667
60170,60.2E,9,49.5,2.9
60170,60.2E,9,49.5,2.966667
60170,60.2E,9,49.466667,3
60170,60.2E,9,49.433333,2.983333
60170,55.60,9,49.483333,3.016667
60170,55.60,9,49.483333,2.95
60170,55.60,9,"",""
60170,55.60,9,49.516667,2.95
60170,55.60,9,49.516667,3.016667
60170,55.60,9,49.5,2.9
60170,55.60,9,49.5,2.966667
60170,55.60,9,49.466667,3
60170,55.60,9,49.433333,2.983333
60170,56.21Z,18,49.483333,3.016667
60170,56.21Z,18,49.483333,2.95
60170,56.21Z,18,"",""
60170,56.21Z,18,49.516667,2.95
60170,56.21Z,18,49.516667,3.016667
60170,56.21Z,18,49.5,2.9
60170,56.21Z,18,49.5,2.966667
60170,56.21Z,18,49.466667,3
60170,56.21Z,18,49.433333,2.983333
60170,43.34Z,27,49.483333,3.016667
60170,43.34Z,27,49.483333,2.95
60170,43.34Z,27,"",""
60170,43.34Z,27,49.516667,2.95
60170,43.34Z,27,49.516667,3.016667
60170,43.34Z,27,49.5,2.9
60170,43.34Z,27,49.5,2.966667
60170,43.34Z,27,49.466667,3
60170,43.34Z,27,49.433333,2.983333
60170,80.20Z,9,49.483333,3.016667
60170,80.20Z,9,49.483333,2.95
60170,80.20Z,9,"",""
60170,80.20Z,9,49.516667,2.95
60170,80.20Z,9,49.516667,3.016667
60170,80.20Z,9,49.5,2.9
60170,80.20Z,9,49.5,2.966667
60170,80.20Z,9,49.466667,3
60170,80.20Z,9,49.433333,2.983333
60170,64.20Z,36,49.483333,3.016667
60170,64.20Z,36,49.483333,2.95
60170,64.20Z,36,"",""
60170,64.20Z,36,49.516667,2.95
60170,64.20Z,36,49.516667,3.016667
60170,64.20Z,36,49.5,2.9
60170,64.20Z,36,49.5,2.966667
60170,64.20Z,36,49.466667,3
60170,64.20Z,36,49.433333,2.983333
