codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
60200,46.45Z,5,49.416667,2.833333
60200,46.45Z,5,49.45,2.833333
60200,46.45Z,5,49.45,2.833333
60200,46.45Z,5,49.416667,2.8
60200,46.45Z,5,49.416667,2.833333
60200,01.11Z,5,49.416667,2.833333
60200,01.11Z,5,49.45,2.833333
60200,01.11Z,5,49.45,2.833333
60200,01.11Z,5,49.416667,2.8
60200,01.11Z,5,49.416667,2.833333
60200,64.49,5,49.416667,2.833333
60200,64.49,5,49.45,2.833333
60200,64.49,5,49.45,2.833333
60200,64.49,5,49.416667,2.8
60200,64.49,5,49.416667,2.833333
60200,21.08,5,49.416667,2.833333
60200,21.08,5,49.45,2.833333
60200,21.08,5,49.45,2.833333
60200,21.08,5,49.416667,2.8
60200,21.08,5,49.416667,2.833333
60200,47.52A,5,49.416667,2.833333
60200,47.52A,5,49.45,2.833333
60200,47.52A,5,49.45,2.833333
60200,47.52A,5,49.416667,2.8
60200,47.52A,5,49.416667,2.833333
60200,80.4D,5,49.416667,2.833333
60200,80.4D,5,49.45,2.833333
60200,80.4D,5,49.45,2.833333
60200,80.4D,5,49.416667,2.8
60200,80.4D,5,49.416667,2.833333
60200,93.19Z,5,49.416667,2.833333
60200,93.19Z,5,49.45,2.833333
60200,93.19Z,5,49.45,2.833333
60200,93.19Z,5,49.416667,2.8
60200,93.19Z,5,49.416667,2.833333
60200,87.10A,5,49.416667,2.833333
60200,87.10A,5,49.45,2.833333
60200,87.10A,5,49.45,2.833333
60200,87.10A,5,49.416667,2.8
60200,87.10A,5,49.416667,2.833333
60200,64.20Z,5,49.416667,2.833333
60200,64.20Z,5,49.45,2.833333
60200,64.20Z,5,49.45,2.833333
60200,64.20Z,5,49.416667,2.8
60200,64.20Z,5,49.416667,2.833333
60200,94.91Z,5,49.416667,2.833333
60200,94.91Z,5,49.45,2.833333
60200,94.91Z,5,49.45,2.833333
60200,94.91Z,5,49.416667,2.8
60200,94.91Z,5,49.416667,2.833333
60200,74.10Z,5,49.416667,2.833333
60200,74.10Z,5,49.45,2.833333
60200,74.10Z,5,49.45,2.833333
60200,74.10Z,5,49.416667,2.8
60200,74.10Z,5,49.416667,2.833333
60200,84.11Z,15,49.416667,2.833333
60200,84.11Z,15,49.45,2.833333
60200,84.11Z,15,49.45,2.833333
60200,84.11Z,15,49.416667,2.8
60200,84.11Z,15,49.416667,2.833333
60200,55.5A,5,49.416667,2.833333
60200,55.5A,5,49.45,2.833333
60200,55.5A,5,49.45,2.833333
60200,55.5A,5,49.416667,2.8
60200,55.5A,5,49.416667,2.833333
60200,43.39Z,5,49.416667,2.833333
60200,43.39Z,5,49.45,2.833333
60200,43.39Z,5,49.45,2.833333
60200,43.39Z,5,49.416667,2.8
60200,43.39Z,5,49.416667,2.833333
60200,55.20Z,5,49.416667,2.833333
60200,55.20Z,5,49.45,2.833333
60200,55.20Z,5,49.45,2.833333
60200,55.20Z,5,49.416667,2.8
60200,55.20Z,5,49.416667,2.833333
60200,97.22,5,49.416667,2.833333
60200,97.22,5,49.45,2.833333
60200,97.22,5,49.45,2.833333
60200,97.22,5,49.416667,2.8
60200,97.22,5,49.416667,2.833333
60200,82.19Z,5,49.416667,2.833333
60200,82.19Z,5,49.45,2.833333
60200,82.19Z,5,49.45,2.833333
60200,82.19Z,5,49.416667,2.8
60200,82.19Z,5,49.416667,2.833333
60200,69.12,5,49.416667,2.833333
60200,69.12,5,49.45,2.833333
60200,69.12,5,49.45,2.833333
60200,69.12,5,49.416667,2.8
60200,69.12,5,49.416667,2.833333
60200,94.99Z,5,49.416667,2.833333
60200,94.99Z,5,49.45,2.833333
60200,94.99Z,5,49.45,2.833333
60200,94.99Z,5,49.416667,2.8
60200,94.99Z,5,49.416667,2.833333
60200,56.29A,10,49.416667,2.833333
60200,56.29A,10,49.45,2.833333
60200,56.29A,10,49.45,2.833333
60200,56.29A,10,49.416667,2.8
60200,56.29A,10,49.416667,2.833333
60200,93.21Z,5,49.416667,2.833333
60200,93.21Z,5,49.45,2.833333
60200,93.21Z,5,49.45,2.833333
60200,93.21Z,5,49.416667,2.8
60200,93.21Z,5,49.416667,2.833333
60200,01.50Z,5,49.416667,2.833333
60200,01.50Z,5,49.45,2.833333
60200,01.50Z,5,49.45,2.833333
60200,01.50Z,5,49.416667,2.8
60200,01.50Z,5,49.416667,2.833333
60200,70.2C,5,49.416667,2.833333
60200,70.2C,5,49.45,2.833333
60200,70.2C,5,49.45,2.833333
60200,70.2C,5,49.416667,2.8
60200,70.2C,5,49.416667,2.833333
60200,85.52Z,5,49.416667,2.833333
60200,85.52Z,5,49.45,2.833333
60200,85.52Z,5,49.45,2.833333
60200,85.52Z,5,49.416667,2.8
60200,85.52Z,5,49.416667,2.833333
60200,25.11Z,5,49.416667,2.833333
60200,25.11Z,5,49.45,2.833333
60200,25.11Z,5,49.45,2.833333
60200,25.11Z,5,49.416667,2.8
60200,25.11Z,5,49.416667,2.833333
60200,47.51Z,5,49.416667,2.833333
60200,47.51Z,5,49.45,2.833333
60200,47.51Z,5,49.45,2.833333
60200,47.51Z,5,49.416667,2.8
60200,47.51Z,5,49.416667,2.833333
60200,88.99B,15,49.416667,2.833333
60200,88.99B,15,49.45,2.833333
60200,88.99B,15,49.45,2.833333
60200,88.99B,15,49.416667,2.8
60200,88.99B,15,49.416667,2.833333
60200,93.29Z,5,49.416667,2.833333
60200,93.29Z,5,49.45,2.833333
60200,93.29Z,5,49.45,2.833333
60200,93.29Z,5,49.416667,2.8
60200,93.29Z,5,49.416667,2.833333
60200,28.5D,5,49.416667,2.833333
60200,28.5D,5,49.45,2.833333
60200,28.5D,5,49.45,2.833333
60200,28.5D,5,49.416667,2.8
60200,28.5D,5,49.416667,2.833333
60200,74.90B,5,49.416667,2.833333
60200,74.90B,5,49.45,2.833333
60200,74.90B,5,49.45,2.833333
60200,74.90B,5,49.416667,2.8
60200,74.90B,5,49.416667,2.833333
60200,68.20B,10,49.416667,2.833333
60200,68.20B,10,49.45,2.833333
