codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
60220,47.99A,21,"",""
60220,47.99A,21,"",""
60220,47.99A,21,49.633333,1.816667
60220,47.99A,21,49.716667,1.8
60220,47.99A,21,49.75,1.766667
60220,47.99A,21,49.616667,1.85
60220,47.99A,21,49.633333,1.783333
60220,47.99A,21,49.65,1.783333
60220,47.99A,21,49.666667,1.816667
60220,47.99A,21,49.7,1.75
60220,47.99A,21,49.733333,1.783333
60220,47.99A,21,"",""
60220,47.99A,21,49.65,1.733333
60220,47.99A,21,49.75,1.8
60220,47.99A,21,49.6,1.716667
60220,47.99A,21,49.616667,1.75
60220,47.99A,21,49.666667,1.833333
60220,47.99A,21,49.65,1.75
60220,47.99A,21,"",""
60220,47.99A,21,49.666667,1.766667
60220,47.99A,21,49.7,1.766667
60220,64.11,21,"",""
60220,64.11,21,"",""
60220,64.11,21,49.633333,1.816667
60220,64.11,21,49.716667,1.8
60220,64.11,21,49.75,1.766667
60220,64.11,21,49.616667,1.85
60220,64.11,21,49.633333,1.783333
60220,64.11,21,49.65,1.783333
60220,64.11,21,49.666667,1.816667
60220,64.11,21,49.7,1.75
60220,64.11,21,49.733333,1.783333
60220,64.11,21,"",""
60220,64.11,21,49.65,1.733333
60220,64.11,21,49.75,1.8
60220,64.11,21,49.6,1.716667
60220,64.11,21,49.616667,1.75
60220,64.11,21,49.666667,1.833333
60220,64.11,21,49.65,1.75
60220,64.11,21,"",""
60220,64.11,21,49.666667,1.766667
60220,64.11,21,49.7,1.766667
60220,60.01,21,"",""
60220,60.01,21,"",""
60220,60.01,21,49.633333,1.816667
60220,60.01,21,49.716667,1.8
60220,60.01,21,49.75,1.766667
60220,60.01,21,49.616667,1.85
60220,60.01,21,49.633333,1.783333
60220,60.01,21,49.65,1.783333
60220,60.01,21,49.666667,1.816667
60220,60.01,21,49.7,1.75
60220,60.01,21,49.733333,1.783333
60220,60.01,21,"",""
60220,60.01,21,49.65,1.733333
60220,60.01,21,49.75,1.8
60220,60.01,21,49.6,1.716667
60220,60.01,21,49.616667,1.75
60220,60.01,21,49.666667,1.833333
60220,60.01,21,49.65,1.75
60220,60.01,21,"",""
60220,60.01,21,49.666667,1.766667
60220,60.01,21,49.7,1.766667
60220,68.20A,42,"",""
60220,68.20A,42,"",""
60220,68.20A,42,49.633333,1.816667
60220,68.20A,42,49.716667,1.8
60220,68.20A,42,49.75,1.766667
60220,68.20A,42,49.616667,1.85
60220,68.20A,42,49.633333,1.783333
60220,68.20A,42,49.65,1.783333
60220,68.20A,42,49.666667,1.816667
60220,68.20A,42,49.7,1.75
60220,68.20A,42,49.733333,1.783333
60220,68.20A,42,"",""
60220,68.20A,42,49.65,1.733333
60220,68.20A,42,49.75,1.8
60220,68.20A,42,49.6,1.716667
60220,68.20A,42,49.616667,1.75
60220,68.20A,42,49.666667,1.833333
60220,68.20A,42,49.65,1.75
60220,68.20A,42,"",""
60220,68.20A,42,49.666667,1.766667
60220,68.20A,42,49.7,1.766667
60220,49.32Z,21,"",""
60220,49.32Z,21,"",""
60220,49.32Z,21,49.633333,1.816667
60220,49.32Z,21,49.716667,1.8
60220,49.32Z,21,49.75,1.766667
60220,49.32Z,21,49.616667,1.85
60220,49.32Z,21,49.633333,1.783333
60220,49.32Z,21,49.65,1.783333
60220,49.32Z,21,49.666667,1.816667
60220,49.32Z,21,49.7,1.75
60220,49.32Z,21,49.733333,1.783333
60220,49.32Z,21,"",""
