codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
60310,47.99A,44,49.566667,2.883333
60310,47.99A,44,49.7,2.883333
60310,47.99A,44,49.583333,2.783333
60310,47.99A,44,49.583333,2.833333
60310,47.99A,44,49.683333,2.9
60310,47.99A,44,49.683333,2.866667
60310,47.99A,44,49.583333,2.85
60310,47.99A,44,49.616667,2.916667
60310,47.99A,44,49.583333,2.766667
60310,47.99A,44,49.566667,2.816667
60310,47.99A,44,49.616667,2.816667
60310,47.99A,44,49.566667,2.9
60310,47.99A,44,49.633333,2.916667
60310,47.99A,44,49.583333,2.883333
60310,47.99A,44,49.583333,2.9
60310,47.99A,44,49.633333,2.8
60310,47.99A,44,49.6,2.8
60310,47.99A,44,49.55,2.9
60310,47.99A,44,49.616667,2.883333
60310,47.99A,44,49.65,2.916667
60310,47.99A,44,49.65,2.866667
60310,47.99A,44,49.65,2.833333
60310,43.22A,22,49.566667,2.883333
60310,43.22A,22,49.7,2.883333
60310,43.22A,22,49.583333,2.783333
60310,43.22A,22,49.583333,2.833333
60310,43.22A,22,49.683333,2.9
60310,43.22A,22,49.683333,2.866667
60310,43.22A,22,49.583333,2.85
60310,43.22A,22,49.616667,2.916667
60310,43.22A,22,49.583333,2.766667
60310,43.22A,22,49.566667,2.816667
60310,43.22A,22,49.616667,2.816667
60310,43.22A,22,49.566667,2.9
60310,43.22A,22,49.633333,2.916667
60310,43.22A,22,49.583333,2.883333
60310,43.22A,22,49.583333,2.9
60310,43.22A,22,49.633333,2.8
60310,43.22A,22,49.6,2.8
60310,43.22A,22,49.55,2.9
60310,43.22A,22,49.616667,2.883333
60310,43.22A,22,49.65,2.916667
60310,43.22A,22,49.65,2.866667
60310,43.22A,22,49.65,2.833333
60310,01.11Z,22,49.566667,2.883333
60310,01.11Z,22,49.7,2.883333
60310,01.11Z,22,49.583333,2.783333
60310,01.11Z,22,49.583333,2.833333
60310,01.11Z,22,49.683333,2.9
60310,01.11Z,22,49.683333,2.866667
60310,01.11Z,22,49.583333,2.85
60310,01.11Z,22,49.616667,2.916667
60310,01.11Z,22,49.583333,2.766667
60310,01.11Z,22,49.566667,2.816667
60310,01.11Z,22,49.616667,2.816667
60310,01.11Z,22,49.566667,2.9
60310,01.11Z,22,49.633333,2.916667
60310,01.11Z,22,49.583333,2.883333
60310,01.11Z,22,49.583333,2.9
60310,01.11Z,22,49.633333,2.8
60310,01.11Z,22,49.6,2.8
60310,01.11Z,22,49.55,2.9
60310,01.11Z,22,49.616667,2.883333
60310,01.11Z,22,49.65,2.916667
60310,01.11Z,22,49.65,2.866667
60310,01.11Z,22,49.65,2.833333
60310,47.79Z,22,49.566667,2.883333
60310,47.79Z,22,49.7,2.883333
60310,47.79Z,22,49.583333,2.783333
60310,47.79Z,22,49.583333,2.833333
60310,47.79Z,22,49.683333,2.9
60310,47.79Z,22,49.683333,2.866667
60310,47.79Z,22,49.583333,2.85
60310,47.79Z,22,49.616667,2.916667
60310,47.79Z,22,49.583333,2.766667
60310,47.79Z,22,49.566667,2.816667
60310,47.79Z,22,49.616667,2.816667
60310,47.79Z,22,49.566667,2.9
60310,47.79Z,22,49.633333,2.916667
60310,47.79Z,22,49.583333,2.883333
60310,47.79Z,22,49.583333,2.9
60310,47.79Z,22,49.633333,2.8
60310,47.79Z,22,49.6,2.8
60310,47.79Z,22,49.55,2.9
60310,47.79Z,22,49.616667,2.883333
60310,47.79Z,22,49.65,2.916667
60310,47.79Z,22,49.65,2.866667
60310,47.79Z,22,49.65,2.833333
60310,60.01,22,49.566667,2.883333
60310,60.01,22,49.7,2.883333
60310,60.01,22,49.583333,2.783333
60310,60.01,22,49.583333,2.833333
60310,60.01,22,49.683333,2.9
60310,60.01,22,49.683333,2.866667
60310,60.01,22,49.583333,2.85
60310,60.01,22,49.616667,2.916667
60310,60.01,22,49.583333,2.766667
60310,60.01,22,49.566667,2.816667
60310,60.01,22,49.616667,2.816667
60310,60.01,22,49.566667,2.9
60310,60.01,22,49.633333,2.916667
60310,60.01,22,49.583333,2.883333
60310,60.01,22,49.583333,2.9
60310,60.01,22,49.633333,2.8
60310,60.01,22,49.6,2.8
60310,60.01,22,49.55,2.9
60310,60.01,22,49.616667,2.883333
60310,60.01,22,49.65,2.916667
60310,60.01,22,49.65,2.866667
60310,60.01,22,49.65,2.833333
60310,68.20A,44,49.566667,2.883333
60310,68.20A,44,49.7,2.883333
60310,68.20A,44,49.583333,2.783333
60310,68.20A,44,49.583333,2.833333
60310,68.20A,44,49.683333,2.9
60310,68.20A,44,49.683333,2.866667
60310,68.20A,44,49.583333,2.85
60310,68.20A,44,49.616667,2.916667
60310,68.20A,44,49.583333,2.766667
60310,68.20A,44,49.566667,2.816667
60310,68.20A,44,49.616667,2.816667
60310,68.20A,44,49.566667,2.9
60310,68.20A,44,49.633333,2.916667
60310,68.20A,44,49.583333,2.883333
60310,68.20A,44,49.583333,2.9
60310,68.20A,44,49.633333,2.8
