codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
60340,47.99A,4,49.216667,2.4
60340,47.99A,4,49.216667,2.416667
60340,70.3A,2,49.216667,2.4
60340,70.3A,2,49.216667,2.416667
60340,55.3A,2,49.216667,2.4
60340,55.3A,2,49.216667,2.416667
60340,01.11Z,16,49.216667,2.4
60340,01.11Z,16,49.216667,2.416667
60340,49.32Z,2,49.216667,2.4
60340,49.32Z,2,49.216667,2.416667
60340,55.60,8,49.216667,2.4
60340,55.60,8,49.216667,2.416667
60340,56.30Z,4,49.216667,2.4
60340,56.30Z,4,49.216667,2.416667
60340,43.34Z,2,49.216667,2.4
60340,43.34Z,2,49.216667,2.416667
60340,93.19Z,2,49.216667,2.4
60340,93.19Z,2,49.216667,2.416667
60340,47.02,2,49.216667,2.4
60340,47.02,2,49.216667,2.416667
60340,86.90E,6,49.216667,2.4
60340,86.90E,6,49.216667,2.416667
60340,01.07,2,49.216667,2.4
60340,01.07,2,49.216667,2.416667
60340,43.32B,2,49.216667,2.4
60340,43.32B,2,49.216667,2.416667
60340,74.10Z,2,49.216667,2.4
60340,74.10Z,2,49.216667,2.416667
60340,84.11Z,8,49.216667,2.4
60340,84.11Z,8,49.216667,2.416667
60340,55.2C,2,49.216667,2.4
60340,55.2C,2,49.216667,2.416667
60340,70.2B,4,49.216667,2.4
60340,70.2B,4,49.216667,2.416667
60340,01.4A,2,49.216667,2.4
60340,01.4A,2,49.216667,2.416667
60340,01.3Z,2,49.216667,2.4
60340,01.3Z,2,49.216667,2.416667
60340,93.12Z,4,49.216667,2.4
60340,93.12Z,4,49.216667,2.416667
60340,43.22B,2,49.216667,2.4
60340,43.22B,2,49.216667,2.416667
60340,43.32A,6,49.216667,2.4
60340,43.32A,6,49.216667,2.416667
60340,69.25,2,49.216667,2.4
60340,69.25,2,49.216667,2.416667
60340,02.20Z,2,49.216667,2.4
60340,02.20Z,2,49.216667,2.416667
60340,56.10A,2,49.216667,2.4
60340,56.10A,2,49.216667,2.416667
60340,51.1R,2,49.216667,2.4
60340,51.1R,2,49.216667,2.416667
60340,85.32Z,4,49.216667,2.4
60340,85.32Z,4,49.216667,2.416667
60340,01.00,6,49.216667,2.4
60340,01.00,6,49.216667,2.416667
60340,94.99Z,8,49.216667,2.4
60340,94.99Z,8,49.216667,2.416667
60340,47.76Z,4,49.216667,2.4
60340,47.76Z,4,49.216667,2.416667
60340,26.52Z,4,49.216667,2.4
60340,26.52Z,4,49.216667,2.416667
60340,67.01,4,49.216667,2.4
60340,67.01,4,49.216667,2.416667
60340,02.0B,2,49.216667,2.4
60340,02.0B,2,49.216667,2.416667
60340,47.78C,2,49.216667,2.4
60340,47.78C,2,49.216667,2.416667
60340,67.03,2,49.216667,2.4
60340,67.03,2,49.216667,2.416667
60340,45.4A,2,49.216667,2.4
60340,45.4A,2,49.216667,2.416667
60340,62.43,2,49.216667,2.4
60340,62.43,2,49.216667,2.416667
60340,55.73,8,49.216667,2.4
60340,55.73,8,49.216667,2.416667
60340,72.3Z,2,49.216667,2.4
60340,72.3Z,2,49.216667,2.416667
60340,55.71,2,49.216667,2.4
60340,55.71,2,49.216667,2.416667
60340,01.50Z,14,49.216667,2.4
60340,01.50Z,14,49.216667,2.416667
60340,84.12Z,2,49.216667,2.4
60340,84.12Z,2,49.216667,2.416667
60340,70.2C,2,49.216667,2.4
60340,70.2C,2,49.216667,2.416667
60340,47.71Z,2,49.216667,2.4
60340,47.71Z,2,49.216667,2.416667
60340,49.39B,4,49.216667,2.4
60340,49.39B,4,49.216667,2.416667
60340,47.78B,2,49.216667,2.4
60340,47.78B,2,49.216667,2.416667
60340,85.52Z,2,49.216667,2.4
60340,85.52Z,2,49.216667,2.416667
60340,57.08,2,49.216667,2.4
60340,57.08,2,49.216667,2.416667
60340,47.81Z,2,49.216667,2.4
60340,47.81Z,2,49.216667,2.416667
60340,84.25Z,2,49.216667,2.4
60340,84.25Z,2,49.216667,2.416667
60340,01.41Z,2,49.216667,2.4
60340,01.41Z,2,49.216667,2.416667
60340,85.59B,2,49.216667,2.4
60340,85.59B,2,49.216667,2.416667
60340,43.99C,2,49.216667,2.4
60340,43.99C,2,49.216667,2.416667
60340,49.41B,2,49.216667,2.4
60340,49.41B,2,49.216667,2.416667
60340,10.71C,4,49.216667,2.4
60340,10.71C,4,49.216667,2.416667
60340,45.20A,2,49.216667,2.4
60340,45.20A,2,49.216667,2.416667
60340,37.04,2,49.216667,2.4
60340,37.04,2,49.216667,2.416667
60340,45.11Z,4,49.216667,2.4
60340,45.11Z,4,49.216667,2.416667
60340,01.49Z,2,49.216667,2.4
60340,01.49Z,2,49.216667,2.416667
60340,78.30Z,2,49.216667,2.4
60340,78.30Z,2,49.216667,2.416667
60340,01.1A,6,49.216667,2.4
60340,01.1A,6,49.216667,2.416667
60340,16.10A,2,49.216667,2.4
60340,16.10A,2,49.216667,2.416667
60340,41.20B,4,49.216667,2.4
60340,41.20B,4,49.216667,2.416667
60340,51.1J,2,49.216667,2.4
60340,51.1J,2,49.216667,2.416667
60340,70.22Z,6,49.216667,2.4
60340,70.22Z,6,49.216667,2.416667
60340,45.4H,4,49.216667,2.4
60340,45.4H,4,49.216667,2.416667
60340,88.99B,4,49.216667,2.4
60340,88.99B,4,49.216667,2.416667
60340,47.89Z,4,49.216667,2.4
60340,47.89Z,4,49.216667,2.416667
60340,45.2V,2,49.216667,2.4
60340,45.2V,2,49.216667,2.416667
60340,43.21A,2,49.216667,2.4
60340,43.21A,2,49.216667,2.416667
60340,59.11A,2,49.216667,2.4
60340,59.11A,2,49.216667,2.416667
60340,71.12B,4,49.216667,2.4
60340,71.12B,4,49.216667,2.416667
60340,52.6D,2,49.216667,2.4
60340,52.6D,2,49.216667,2.416667
60340,68.20B,32,49.216667,2.4
60340,68.20B,32,49.216667,2.416667
60340,60.2L,2,49.216667,2.4
60340,60.2L,2,49.216667,2.416667
