codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
60410,47.99A,12,49.3,2.766667
60410,47.99A,12,49.283333,2.683333
60410,47.99A,12,49.316667,2.733333
60410,47.99A,12,49.3,2.733333
60410,47.99A,12,49.3,2.683333
60410,47.99A,12,49.3,2.7
60410,43.22A,6,49.3,2.766667
60410,43.22A,6,49.283333,2.683333
60410,43.22A,6,49.316667,2.733333
60410,43.22A,6,49.3,2.733333
60410,43.22A,6,49.3,2.683333
60410,43.22A,6,49.3,2.7
60410,67.05,6,49.3,2.766667
60410,67.05,6,49.283333,2.683333
60410,67.05,6,49.316667,2.733333
60410,67.05,6,49.3,2.733333
60410,67.05,6,49.3,2.683333
60410,67.05,6,49.3,2.7
60410,02.10Z,6,49.3,2.766667
60410,02.10Z,6,49.283333,2.683333
60410,02.10Z,6,49.316667,2.733333
60410,02.10Z,6,49.3,2.733333
60410,02.10Z,6,49.3,2.683333
60410,02.10Z,6,49.3,2.7
60410,01.11Z,36,49.3,2.766667
60410,01.11Z,36,49.283333,2.683333
60410,01.11Z,36,49.316667,2.733333
60410,01.11Z,36,49.3,2.733333
60410,01.11Z,36,49.3,2.683333
60410,01.11Z,36,49.3,2.7
60410,43.99A,6,49.3,2.766667
60410,43.99A,6,49.283333,2.683333
60410,43.99A,6,49.316667,2.733333
60410,43.99A,6,49.3,2.733333
60410,43.99A,6,49.3,2.683333
60410,43.99A,6,49.3,2.7
60410,45.3E,6,49.3,2.766667
60410,45.3E,6,49.283333,2.683333
60410,45.3E,6,49.316667,2.733333
60410,45.3E,6,49.3,2.733333
60410,45.3E,6,49.3,2.683333
60410,45.3E,6,49.3,2.7
60410,01.2E,6,49.3,2.766667
60410,01.2E,6,49.283333,2.683333
60410,01.2E,6,49.316667,2.733333
60410,01.2E,6,49.3,2.733333
60410,01.2E,6,49.3,2.683333
60410,01.2E,6,49.3,2.7
60410,56.21Z,6,49.3,2.766667
60410,56.21Z,6,49.283333,2.683333
60410,56.21Z,6,49.316667,2.733333
60410,56.21Z,6,49.3,2.733333
60410,56.21Z,6,49.3,2.683333
60410,56.21Z,6,49.3,2.7
60410,43.34Z,12,49.3,2.766667
60410,43.34Z,12,49.283333,2.683333
60410,43.34Z,12,49.316667,2.733333
