codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
60440,47.99A,16,"",""
60440,47.99A,16,49.183333,2.783333
60440,47.99A,16,49.166667,2.85
60440,47.99A,16,49.1,2.825
60440,47.99A,16,49.133333,2.8
60440,47.99A,16,49.116667,2.85
60440,47.99A,16,49.083333,2.866667
60440,47.99A,16,49.166667,2.866667
60440,33.20A,16,"",""
60440,33.20A,16,49.183333,2.783333
60440,33.20A,16,49.166667,2.85
60440,33.20A,16,49.1,2.825
60440,33.20A,16,49.133333,2.8
60440,33.20A,16,49.116667,2.85
60440,33.20A,16,49.083333,2.866667
60440,33.20A,16,49.166667,2.866667
60440,31.03Z,8,"",""
60440,31.03Z,8,49.183333,2.783333
60440,31.03Z,8,49.166667,2.85
60440,31.03Z,8,49.1,2.825
60440,31.03Z,8,49.133333,2.8
60440,31.03Z,8,49.116667,2.85
60440,31.03Z,8,49.083333,2.866667
60440,31.03Z,8,49.166667,2.866667
60440,02.10Z,8,"",""
60440,02.10Z,8,49.183333,2.783333
60440,02.10Z,8,49.166667,2.85
60440,02.10Z,8,49.1,2.825
60440,02.10Z,8,49.133333,2.8
60440,02.10Z,8,49.116667,2.85
60440,02.10Z,8,49.083333,2.866667
60440,02.10Z,8,49.166667,2.866667
60440,01.11Z,40,"",""
60440,01.11Z,40,49.183333,2.783333
60440,01.11Z,40,49.166667,2.85
60440,01.11Z,40,49.1,2.825
60440,01.11Z,40,49.133333,2.8
60440,01.11Z,40,49.116667,2.85
60440,01.11Z,40,49.083333,2.866667
60440,01.11Z,40,49.166667,2.866667
60440,47.79Z,8,"",""
60440,47.79Z,8,49.183333,2.783333
60440,47.79Z,8,49.166667,2.85
60440,47.79Z,8,49.1,2.825
60440,47.79Z,8,49.133333,2.8
60440,47.79Z,8,49.116667,2.85
60440,47.79Z,8,49.083333,2.866667
60440,47.79Z,8,49.166667,2.866667
60440,95.29Z,8,"",""
60440,95.29Z,8,49.183333,2.783333
60440,95.29Z,8,49.166667,2.85
60440,95.29Z,8,49.1,2.825
60440,95.29Z,8,49.133333,2.8
60440,95.29Z,8,49.116667,2.85
60440,95.29Z,8,49.083333,2.866667
60440,95.29Z,8,49.166667,2.866667
60440,52.4Z,8,"",""
60440,52.4Z,8,49.183333,2.783333
60440,52.4Z,8,49.166667,2.85
60440,52.4Z,8,49.1,2.825
60440,52.4Z,8,49.133333,2.8
60440,52.4Z,8,49.116667,2.85
60440,52.4Z,8,49.083333,2.866667
60440,52.4Z,8,49.166667,2.866667
60440,68.20A,16,"",""
60440,68.20A,16,49.183333,2.783333
60440,68.20A,16,49.166667,2.85
60440,68.20A,16,49.1,2.825
60440,68.20A,16,49.133333,2.8
60440,68.20A,16,49.116667,2.85
60440,68.20A,16,49.083333,2.866667
60440,68.20A,16,49.166667,2.866667
60440,51.3A,24,"",""
60440,51.3A,24,49.183333,2.783333
60440,51.3A,24,49.166667,2.85
60440,51.3A,24,49.1,2.825
60440,51.3A,24,49.133333,2.8
60440,51.3A,24,49.116667,2.85
60440,51.3A,24,49.083333,2.866667
60440,51.3A,24,49.166667,2.866667
60440,60.2E,8,"",""
60440,60.2E,8,49.183333,2.783333
60440,60.2E,8,49.166667,2.85
60440,60.2E,8,49.1,2.825
60440,60.2E,8,49.133333,2.8
60440,60.2E,8,49.116667,2.85
60440,60.2E,8,49.083333,2.866667
60440,60.2E,8,49.166667,2.866667
60440,56.30Z,8,"",""
60440,56.30Z,8,49.183333,2.783333
60440,56.30Z,8,49.166667,2.85
60440,56.30Z,8,49.1,2.825
60440,56.30Z,8,49.133333,2.8
60440,56.30Z,8,49.116667,2.85
60440,56.30Z,8,49.083333,2.866667
60440,56.30Z,8,49.166667,2.866667
60440,36.00Z,8,"",""
60440,36.00Z,8,49.183333,2.783333
