codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
61130,47.99A,108,48.35,0.483333
61130,47.99A,108,48.366667,0.583333
61130,47.99A,108,48.416667,0.583333
61130,47.99A,108,"",""
61130,47.99A,108,48.283333,0.616667
61130,47.99A,108,48.316667,0.45
61130,47.99A,108,48.333333,0.633333
61130,47.99A,108,48.283333,0.516667
61130,47.99A,108,48.35,0.416667
61130,47.99A,108,48.366667,0.466667
61130,47.99A,108,48.366667,0.516667
61130,47.99A,108,48.316667,0.6
61130,47.99A,108,48.316667,0.516667
61130,47.99A,108,48.3,0.616667
61130,47.99A,108,48.35,0.616667
61130,47.99A,108,48.283333,0.55
61130,47.99A,108,48.366667,0.566667
61130,47.99A,108,48.35,0.566667
61130,67.05,18,48.35,0.483333
61130,67.05,18,48.366667,0.583333
61130,67.05,18,48.416667,0.583333
61130,67.05,18,"",""
61130,67.05,18,48.283333,0.616667
61130,67.05,18,48.316667,0.45
61130,67.05,18,48.333333,0.633333
61130,67.05,18,48.283333,0.516667
61130,67.05,18,48.35,0.416667
61130,67.05,18,48.366667,0.466667
61130,67.05,18,48.366667,0.516667
61130,67.05,18,48.316667,0.6
61130,67.05,18,48.316667,0.516667
61130,67.05,18,48.3,0.616667
61130,67.05,18,48.35,0.616667
61130,67.05,18,48.283333,0.55
61130,67.05,18,48.366667,0.566667
61130,67.05,18,48.35,0.566667
61130,93.0D,18,48.35,0.483333
61130,93.0D,18,48.366667,0.583333
61130,93.0D,18,48.416667,0.583333
61130,93.0D,18,"",""
61130,93.0D,18,48.283333,0.616667
61130,93.0D,18,48.316667,0.45
61130,93.0D,18,48.333333,0.633333
61130,93.0D,18,48.283333,0.516667
61130,93.0D,18,48.35,0.416667
61130,93.0D,18,48.366667,0.466667
61130,93.0D,18,48.366667,0.516667
61130,93.0D,18,48.316667,0.6
61130,93.0D,18,48.316667,0.516667
61130,93.0D,18,48.3,0.616667
61130,93.0D,18,48.35,0.616667
61130,93.0D,18,48.283333,0.55
61130,93.0D,18,48.366667,0.566667
61130,93.0D,18,48.35,0.566667
61130,02.10Z,18,48.35,0.483333
61130,02.10Z,18,48.366667,0.583333
61130,02.10Z,18,48.416667,0.583333
61130,02.10Z,18,"",""
61130,02.10Z,18,48.283333,0.616667
61130,02.10Z,18,48.316667,0.45
61130,02.10Z,18,48.333333,0.633333
61130,02.10Z,18,48.283333,0.516667
61130,02.10Z,18,48.35,0.416667
61130,02.10Z,18,48.366667,0.466667
61130,02.10Z,18,48.366667,0.516667
61130,02.10Z,18,48.316667,0.6
61130,02.10Z,18,48.316667,0.516667
61130,02.10Z,18,48.3,0.616667
61130,02.10Z,18,48.35,0.616667
61130,02.10Z,18,48.283333,0.55
61130,02.10Z,18,48.366667,0.566667
61130,02.10Z,18,48.35,0.566667
61130,01.11Z,198,48.35,0.483333
61130,01.11Z,198,48.366667,0.583333
61130,01.11Z,198,48.416667,0.583333
61130,01.11Z,198,"",""
61130,01.11Z,198,48.283333,0.616667
61130,01.11Z,198,48.316667,0.45
61130,01.11Z,198,48.333333,0.633333
61130,01.11Z,198,48.283333,0.516667
61130,01.11Z,198,48.35,0.416667
61130,01.11Z,198,48.366667,0.466667
61130,01.11Z,198,48.366667,0.516667
61130,01.11Z,198,48.316667,0.6
61130,01.11Z,198,48.316667,0.516667
61130,01.11Z,198,48.3,0.616667
61130,01.11Z,198,48.35,0.616667
61130,01.11Z,198,48.283333,0.55
61130,01.11Z,198,48.366667,0.566667
61130,01.11Z,198,48.35,0.566667
61130,95.29Z,18,48.35,0.483333
61130,95.29Z,18,48.366667,0.583333
61130,95.29Z,18,48.416667,0.583333
61130,95.29Z,18,"",""
61130,95.29Z,18,48.283333,0.616667
61130,95.29Z,18,48.316667,0.45
61130,95.29Z,18,48.333333,0.633333
61130,95.29Z,18,48.283333,0.516667
61130,95.29Z,18,48.35,0.416667
61130,95.29Z,18,48.366667,0.466667
61130,95.29Z,18,48.366667,0.516667
61130,95.29Z,18,48.316667,0.6
61130,95.29Z,18,48.316667,0.516667
61130,95.29Z,18,48.3,0.616667
61130,95.29Z,18,48.35,0.616667
61130,95.29Z,18,48.283333,0.55
61130,95.29Z,18,48.366667,0.566667
61130,95.29Z,18,48.35,0.566667
61130,68.20A,54,48.35,0.483333
61130,68.20A,54,48.366667,0.583333
61130,68.20A,54,48.416667,0.583333
61130,68.20A,54,"",""
61130,68.20A,54,48.283333,0.616667
61130,68.20A,54,48.316667,0.45
61130,68.20A,54,48.333333,0.633333
61130,68.20A,54,48.283333,0.516667
61130,68.20A,54,48.35,0.416667
61130,68.20A,54,48.366667,0.466667
61130,68.20A,54,48.366667,0.516667
61130,68.20A,54,48.316667,0.6
61130,68.20A,54,48.316667,0.516667
61130,68.20A,54,48.3,0.616667
61130,68.20A,54,48.35,0.616667
61130,68.20A,54,48.283333,0.55
61130,68.20A,54,48.366667,0.566667
61130,68.20A,54,48.35,0.566667
61130,55.60,36,48.35,0.483333
61130,55.60,36,48.366667,0.583333
61130,55.60,36,48.416667,0.583333
61130,55.60,36,"",""
61130,55.60,36,48.283333,0.616667
61130,55.60,36,48.316667,0.45
61130,55.60,36,48.333333,0.633333
61130,55.60,36,48.283333,0.516667
61130,55.60,36,48.35,0.416667
61130,55.60,36,48.366667,0.466667
61130,55.60,36,48.366667,0.516667
61130,55.60,36,48.316667,0.6
61130,55.60,36,48.316667,0.516667
61130,55.60,36,48.3,0.616667
61130,55.60,36,48.35,0.616667
61130,55.60,36,48.283333,0.55
61130,55.60,36,48.366667,0.566667
61130,55.60,36,48.35,0.566667
61130,86.22A,18,48.35,0.483333
61130,86.22A,18,48.366667,0.583333
61130,86.22A,18,48.416667,0.583333
61130,86.22A,18,"",""
61130,86.22A,18,48.283333,0.616667
61130,86.22A,18,48.316667,0.45
61130,86.22A,18,48.333333,0.633333
61130,86.22A,18,48.283333,0.516667
61130,86.22A,18,48.35,0.416667
61130,86.22A,18,48.366667,0.466667
61130,86.22A,18,48.366667,0.516667
61130,86.22A,18,48.316667,0.6
61130,86.22A,18,48.316667,0.516667
61130,86.22A,18,48.3,0.616667
61130,86.22A,18,48.35,0.616667
61130,86.22A,18,48.283333,0.55
61130,86.22A,18,48.366667,0.566667
61130,86.22A,18,48.35,0.566667
61130,43.34Z,36,48.35,0.483333
61130,43.34Z,36,48.366667,0.583333
61130,43.34Z,36,48.416667,0.583333
61130,43.34Z,36,"",""
61130,43.34Z,36,48.283333,0.616667
61130,43.34Z,36,48.316667,0.45
61130,43.34Z,36,48.333333,0.633333
61130,43.34Z,36,48.283333,0.516667
61130,43.34Z,36,48.35,0.416667
61130,43.34Z,36,48.366667,0.466667
61130,43.34Z,36,48.366667,0.516667
61130,43.34Z,36,48.316667,0.6
61130,43.34Z,36,48.316667,0.516667
61130,43.34Z,36,48.3,0.616667
61130,43.34Z,36,48.35,0.616667
61130,43.34Z,36,48.283333,0.55
61130,43.34Z,36,48.366667,0.566667
61130,43.34Z,36,48.35,0.566667
61130,93.19Z,18,48.35,0.483333
61130,93.19Z,18,48.366667,0.583333
61130,93.19Z,18,48.416667,0.583333
61130,93.19Z,18,"",""
61130,93.19Z,18,48.283333,0.616667
61130,93.19Z,18,48.316667,0.45
61130,93.19Z,18,48.333333,0.633333
61130,93.19Z,18,48.283333,0.516667
61130,93.19Z,18,48.35,0.416667
61130,93.19Z,18,48.366667,0.466667
61130,93.19Z,18,48.366667,0.516667
61130,93.19Z,18,48.316667,0.6
61130,93.19Z,18,48.316667,0.516667
61130,93.19Z,18,48.3,0.616667
61130,93.19Z,18,48.35,0.616667
61130,93.19Z,18,48.283333,0.55
61130,93.19Z,18,48.366667,0.566667
61130,93.19Z,18,48.35,0.566667
61130,90.01Z,18,48.35,0.483333
61130,90.01Z,18,48.366667,0.583333
61130,90.01Z,18,48.416667,0.583333
61130,90.01Z,18,"",""
61130,90.01Z,18,48.283333,0.616667
61130,90.01Z,18,48.316667,0.45
61130,90.01Z,18,48.333333,0.633333
61130,90.01Z,18,48.283333,0.516667
61130,90.01Z,18,48.35,0.416667
61130,90.01Z,18,48.366667,0.466667
61130,90.01Z,18,48.366667,0.516667
61130,90.01Z,18,48.316667,0.6
61130,90.01Z,18,48.316667,0.516667
61130,90.01Z,18,48.3,0.616667
61130,90.01Z,18,48.35,0.616667
61130,90.01Z,18,48.283333,0.55
61130,90.01Z,18,48.366667,0.566667
61130,90.01Z,18,48.35,0.566667
61130,01.43Z,54,48.35,0.483333
61130,01.43Z,54,48.366667,0.583333
61130,01.43Z,54,48.416667,0.583333
