codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
61250,62.11,80,48.516667,0.133333
61250,62.11,80,48.466667,0.116667
61250,62.11,80,48.466667,0.15
61250,62.11,80,48.5,0.016667
61250,62.11,80,48.383333,-0.05
61250,62.11,80,48.516667,0.1
61250,62.11,80,48.45,-
61250,62.11,80,48.5,0.233333
61250,62.11,80,48.4,0.016667
61250,62.11,80,48.5,0.183333
61250,62.11,80,48.466667,0.033333
61250,62.11,80,48.483333,0.233333
61250,62.11,80,48.5,0.166667
61250,62.11,80,48.4,0.033333
61250,62.11,80,48.483333,0.2
61250,62.11,80,48.5,0.116667
61250,62.11,80,"",""
61250,62.11,80,48.466667,0.016667
61250,62.11,80,48.433333,0.033333
61250,62.11,80,48.466667,0.05
61250,80.4D,20,48.516667,0.133333
61250,80.4D,20,48.466667,0.116667
61250,80.4D,20,48.466667,0.15
61250,80.4D,20,48.5,0.016667
61250,80.4D,20,48.383333,-0.05
61250,80.4D,20,48.516667,0.1
61250,80.4D,20,48.45,-
61250,80.4D,20,48.5,0.233333
61250,80.4D,20,48.4,0.016667
61250,80.4D,20,48.5,0.183333
61250,80.4D,20,48.466667,0.033333
61250,80.4D,20,48.483333,0.233333
61250,80.4D,20,48.5,0.166667
61250,80.4D,20,48.4,0.033333
61250,80.4D,20,48.483333,0.2
61250,80.4D,20,48.5,0.116667
61250,80.4D,20,"",""
61250,80.4D,20,48.466667,0.016667
61250,80.4D,20,48.433333,0.033333
61250,80.4D,20,48.466667,0.05
61250,01.3Z,40,48.516667,0.133333
61250,01.3Z,40,48.466667,0.116667
61250,01.3Z,40,48.466667,0.15
61250,01.3Z,40,48.5,0.016667
61250,01.3Z,40,48.383333,-0.05
61250,01.3Z,40,48.516667,0.1
61250,01.3Z,40,48.45,-
61250,01.3Z,40,48.5,0.233333
61250,01.3Z,40,48.4,0.016667
61250,01.3Z,40,48.5,0.183333
61250,01.3Z,40,48.466667,0.033333
61250,01.3Z,40,48.483333,0.233333
61250,01.3Z,40,48.5,0.166667
61250,01.3Z,40,48.4,0.033333
61250,01.3Z,40,48.483333,0.2
61250,01.3Z,40,48.5,0.116667
61250,01.3Z,40,"",""
61250,01.3Z,40,48.466667,0.016667
61250,01.3Z,40,48.433333,0.033333
61250,01.3Z,40,48.466667,0.05
61250,01.80,40,48.516667,0.133333
61250,01.80,40,48.466667,0.116667
61250,01.80,40,48.466667,0.15
61250,01.80,40,48.5,0.016667
61250,01.80,40,48.383333,-0.05
61250,01.80,40,48.516667,0.1
61250,01.80,40,48.45,-
61250,01.80,40,48.5,0.233333
61250,01.80,40,48.4,0.016667
61250,01.80,40,48.5,0.183333
61250,01.80,40,48.466667,0.033333
61250,01.80,40,48.483333,0.233333
61250,01.80,40,48.5,0.166667
61250,01.80,40,48.4,0.033333
61250,01.80,40,48.483333,0.2
61250,01.80,40,48.5,0.116667
61250,01.80,40,"",""
61250,01.80,40,48.466667,0.016667
61250,01.80,40,48.433333,0.033333
61250,01.80,40,48.466667,0.05
61250,69.12,20,48.516667,0.133333
61250,69.12,20,48.466667,0.116667
61250,69.12,20,48.466667,0.15
61250,69.12,20,48.5,0.016667
61250,69.12,20,48.383333,-0.05
61250,69.12,20,48.516667,0.1
61250,69.12,20,48.45,-
61250,69.12,20,48.5,0.233333
61250,69.12,20,48.4,0.016667
61250,69.12,20,48.5,0.183333
61250,69.12,20,48.466667,0.033333
61250,69.12,20,48.483333,0.233333
61250,69.12,20,48.5,0.166667
61250,69.12,20,48.4,0.033333
61250,69.12,20,48.483333,0.2
