codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
62160,47.99A,498,50.45,2.733333
62160,47.99A,498,50.433333,2.716667
62160,47.99A,498,50.416667,2.7
62160,33.20A,12,50.45,2.733333
62160,33.20A,12,50.433333,2.716667
62160,33.20A,12,50.416667,2.7
62160,45.20B,9,50.45,2.733333
62160,45.20B,9,50.433333,2.716667
62160,45.20B,9,50.416667,2.7
62160,64.11,348,50.45,2.733333
62160,64.11,348,50.433333,2.716667
62160,64.11,348,50.416667,2.7
62160,70.3A,234,50.45,2.733333
62160,70.3A,234,50.433333,2.716667
62160,70.3A,234,50.416667,2.7
62160,15.8P,6,50.45,2.733333
62160,15.8P,6,50.433333,2.716667
62160,15.8P,6,50.416667,2.7
62160,87.30A,9,50.45,2.733333
62160,87.30A,9,50.433333,2.716667
62160,87.30A,9,50.416667,2.7
62160,10.31Z,9,50.45,2.733333
62160,10.31Z,9,50.433333,2.716667
62160,10.31Z,9,50.416667,2.7
62160,61.10Z,18,50.45,2.733333
62160,61.10Z,18,50.433333,2.716667
62160,61.10Z,18,50.416667,2.7
62160,55.3A,798,50.45,2.733333
62160,55.3A,798,50.433333,2.716667
62160,55.3A,798,50.416667,2.7
62160,46.45Z,18,50.45,2.733333
62160,46.45Z,18,50.433333,2.716667
62160,46.45Z,18,50.416667,2.7
62160,65.12Z,159,50.45,2.733333
62160,65.12Z,159,50.433333,2.716667
62160,65.12Z,159,50.416667,2.7
62160,45.1B,3,50.45,2.733333
62160,45.1B,3,50.433333,2.716667
62160,45.1B,3,50.416667,2.7
62160,43.22A,129,50.45,2.733333
62160,43.22A,129,50.433333,2.716667
62160,43.22A,129,50.416667,2.7
62160,47.04,30,50.45,2.733333
62160,47.04,30,50.433333,2.716667
62160,47.04,30,50.416667,2.7
62160,95.12Z,6,50.45,2.733333
62160,95.12Z,6,50.433333,2.716667
62160,95.12Z,6,50.416667,2.7
62160,22.1E,18,50.45,2.733333
62160,22.1E,18,50.433333,2.716667
62160,22.1E,18,50.416667,2.7
62160,32.2B,6,50.45,2.733333
62160,32.2B,6,50.433333,2.716667
62160,32.2B,6,50.416667,2.7
62160,51.9B,9,50.45,2.733333
62160,51.9B,9,50.433333,2.716667
62160,51.9B,9,50.416667,2.7
62160,71.1A,3,50.45,2.733333
62160,71.1A,3,50.433333,2.716667
62160,71.1A,3,50.416667,2.7
62160,41.10A,36,50.45,2.733333
62160,41.10A,36,50.433333,2.716667
62160,41.10A,36,50.416667,2.7
62160,67.05,57,50.45,2.733333
62160,67.05,57,50.433333,2.716667
62160,67.05,57,50.416667,2.7
62160,64.40,27,50.45,2.733333
62160,64.40,27,50.433333,2.716667
62160,64.40,27,50.416667,2.7
62160,93.0D,156,50.45,2.733333
62160,93.0D,156,50.433333,2.716667
62160,93.0D,156,50.416667,2.7
62160,89.05,6,50.45,2.733333
62160,89.05,6,50.433333,2.716667
62160,89.05,6,50.416667,2.7
62160,02.10Z,21,50.45,2.733333
62160,02.10Z,21,50.433333,2.716667
62160,02.10Z,21,50.416667,2.7
62160,14.39Z,3,50.45,2.733333
62160,14.39Z,3,50.433333,2.716667
62160,14.39Z,3,50.416667,2.7
62160,73.08,3,50.45,2.733333
62160,73.08,3,50.433333,2.716667
62160,73.08,3,50.416667,2.7
62160,60.2N,3,50.45,2.733333
62160,60.2N,3,50.433333,2.716667
62160,60.2N,3,50.416667,2.7
62160,84.11,39,50.45,2.733333
62160,84.11,39,50.433333,2.716667
62160,84.11,39,50.416667,2.7
62160,52.3A,36,50.45,2.733333
62160,52.3A,36,50.433333,2.716667
62160,52.3A,36,50.416667,2.7
62160,47.79Z,111,50.45,2.733333
62160,47.79Z,111,50.433333,2.716667
62160,47.79Z,111,50.416667,2.7
62160,01.11Z,18,50.45,2.733333
62160,01.11Z,18,50.433333,2.716667
62160,01.11Z,18,50.416667,2.7
62160,49.41A,90,50.45,2.733333
62160,49.41A,90,50.433333,2.716667
62160,49.41A,90,50.416667,2.7
62160,77.01,57,50.45,2.733333
62160,77.01,57,50.433333,2.716667
62160,77.01,57,50.416667,2.7
62160,65.02,15,50.45,2.733333
62160,65.02,15,50.433333,2.716667
62160,65.02,15,50.416667,2.7
62160,46.23Z,3,50.45,2.733333
62160,46.23Z,3,50.433333,2.716667
62160,46.23Z,3,50.416667,2.7
62160,52.4Z,177,50.45,2.733333
62160,52.4Z,177,50.433333,2.716667
62160,52.4Z,177,50.416667,2.7
62160,92.3A,30,50.45,2.733333
62160,92.3A,30,50.433333,2.716667
62160,92.3A,30,50.416667,2.7
62160,64.23,30,50.45,2.733333
62160,64.23,30,50.433333,2.716667
62160,64.23,30,50.416667,2.7
62160,95.29Z,42,50.45,2.733333
62160,95.29Z,42,50.433333,2.716667
62160,95.29Z,42,50.416667,2.7
62160,43.99A,9,50.45,2.733333
62160,43.99A,9,50.433333,2.716667
62160,43.99A,9,50.416667,2.7
62160,47.65Z,21,50.45,2.733333
62160,47.65Z,21,50.433333,2.716667
62160,47.65Z,21,50.416667,2.7
62160,90.13,3,50.45,2.733333
62160,90.13,3,50.433333,2.716667
62160,90.13,3,50.416667,2.7
62160,44.18,3,50.45,2.733333
62160,44.18,3,50.433333,2.716667
62160,44.18,3,50.416667,2.7
62160,68.20A,2397,50.45,2.733333
62160,68.20A,2397,50.433333,2.716667
62160,68.20A,2397,50.416667,2.7
62160,05.0A,96,50.45,2.733333
62160,05.0A,96,50.433333,2.716667
62160,05.0A,96,50.416667,2.7
62160,64.49,180,50.45,2.733333
62160,64.49,180,50.433333,2.716667
62160,64.49,180,50.416667,2.7
62160,51.3J,42,50.45,2.733333
62160,51.3J,42,50.433333,2.716667
62160,51.3J,42,50.416667,2.7
62160,55.40,42,50.45,2.733333
62160,55.40,42,50.433333,2.716667
62160,55.40,42,50.416667,2.7
62160,85.1E,27,50.45,2.733333
62160,85.1E,27,50.433333,2.716667
62160,85.1E,27,50.416667,2.7
62160,51.3A,15,50.45,2.733333
62160,51.3A,15,50.433333,2.716667
62160,51.3A,15,50.416667,2.7
62160,14.2A,6,50.45,2.733333
62160,14.2A,6,50.433333,2.716667
62160,14.2A,6,50.416667,2.7
62160,49.32Z,105,50.45,2.733333
62160,49.32Z,105,50.433333,2.716667
62160,49.32Z,105,50.416667,2.7
62160,53.05,3,50.45,2.733333
62160,53.05,3,50.433333,2.716667
62160,53.05,3,50.416667,2.7
62160,45.3E,18,50.45,2.733333
62160,45.3E,18,50.433333,2.716667
62160,45.3E,18,50.416667,2.7
62160,60.2E,30,50.45,2.733333
62160,60.2E,30,50.433333,2.716667
62160,60.2E,30,50.416667,2.7
62160,80.04,6,50.45,2.733333
62160,80.04,6,50.433333,2.716667
62160,80.04,6,50.416667,2.7
62160,46.46Z,3,50.45,2.733333
62160,46.46Z,3,50.433333,2.716667
62160,46.46Z,3,50.416667,2.7
62160,84.24Z,15,50.45,2.733333
62160,84.24Z,15,50.433333,2.716667
62160,84.24Z,15,50.416667,2.7
62160,55.60,69,50.45,2.733333
62160,55.60,69,50.433333,2.716667
62160,55.60,69,50.416667,2.7
62160,52.22Z,12,50.45,2.733333
62160,52.22Z,12,50.433333,2.716667
62160,52.22Z,12,50.416667,2.7
62160,45.2J,33,50.45,2.733333
62160,45.2J,33,50.433333,2.716667
62160,45.2J,33,50.416667,2.7
62160,36.6E,9,50.45,2.733333
62160,36.6E,9,50.433333,2.716667
62160,36.6E,9,50.416667,2.7
62160,56.30Z,738,50.45,2.733333
62160,56.30Z,738,50.433333,2.716667
62160,56.30Z,738,50.416667,2.7
62160,15.8D,30,50.45,2.733333
62160,15.8D,30,50.433333,2.716667
62160,15.8D,30,50.416667,2.7
62160,86.22A,81,50.45,2.733333
62160,86.22A,81,50.433333,2.716667
