codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
62175,01.11Z,5,50.2,2.733333
62175,01.11Z,5,50.216667,2.8
62175,01.11Z,5,50.2,2.783333
62175,01.11Z,5,50.2,2.766667
62175,01.11Z,5,50.2,2.75
62175,49.41A,5,50.2,2.733333
62175,49.41A,5,50.216667,2.8
62175,49.41A,5,50.2,2.783333
62175,49.41A,5,50.2,2.766667
62175,49.41A,5,50.2,2.75
62175,68.20A,5,50.2,2.733333
62175,68.20A,5,50.216667,2.8
62175,68.20A,5,50.2,2.783333
62175,68.20A,5,50.2,2.766667
62175,68.20A,5,50.2,2.75
62175,86.22A,5,50.2,2.733333
62175,86.22A,5,50.216667,2.8
62175,86.22A,5,50.2,2.783333
62175,86.22A,5,50.2,2.766667
62175,86.22A,5,50.2,2.75
62175,43.34Z,10,50.2,2.733333
62175,43.34Z,10,50.216667,2.8
62175,43.34Z,10,50.2,2.783333
62175,43.34Z,10,50.2,2.766667
62175,43.34Z,10,50.2,2.75
62175,86.90E,5,50.2,2.733333
62175,86.90E,5,50.216667,2.8
62175,86.90E,5,50.2,2.783333
62175,86.90E,5,50.2,2.766667
62175,86.90E,5,50.2,2.75
62175,84.11Z,5,50.2,2.733333
62175,84.11Z,5,50.216667,2.8
62175,84.11Z,5,50.2,2.783333
62175,84.11Z,5,50.2,2.766667
62175,84.11Z,5,50.2,2.75
62175,66.30Z,10,50.2,2.733333
62175,66.30Z,10,50.216667,2.8
62175,66.30Z,10,50.2,2.783333
62175,66.30Z,10,50.2,2.766667
62175,66.30Z,10,50.2,2.75
62175,85.1G,5,50.2,2.733333
62175,85.1G,5,50.216667,2.8
62175,85.1G,5,50.2,2.783333
62175,85.1G,5,50.2,2.766667
62175,85.1G,5,50.2,2.75
62175,01.3Z,10,50.2,2.733333
62175,01.3Z,10,50.216667,2.8
62175,01.3Z,10,50.2,2.783333
62175,01.3Z,10,50.2,2.766667
62175,01.3Z,10,50.2,2.75
62175,43.32A,5,50.2,2.733333
62175,43.32A,5,50.216667,2.8
62175,43.32A,5,50.2,2.783333
62175,43.32A,5,50.2,2.766667
62175,43.32A,5,50.2,2.75
62175,57.02,5,50.2,2.733333
62175,57.02,5,50.216667,2.8
62175,57.02,5,50.2,2.783333
62175,57.02,5,50.2,2.766667
62175,57.02,5,50.2,2.75
62175,59.20Z,5,50.2,2.733333
62175,59.20Z,5,50.216667,2.8
62175,59.20Z,5,50.2,2.783333
62175,59.20Z,5,50.2,2.766667
62175,59.20Z,5,50.2,2.75
62175,43.33Z,5,50.2,2.733333
62175,43.33Z,5,50.216667,2.8
62175,43.33Z,5,50.2,2.783333
62175,43.33Z,5,50.2,2.766667
62175,43.33Z,5,50.2,2.75
62175,31.09B,5,50.2,2.733333
62175,31.09B,5,50.216667,2.8
62175,31.09B,5,50.2,2.783333
62175,31.09B,5,50.2,2.766667
62175,31.09B,5,50.2,2.75
62175,94.99Z,5,50.2,2.733333
62175,94.99Z,5,50.216667,2.8
62175,94.99Z,5,50.2,2.783333
62175,94.99Z,5,50.2,2.766667
62175,94.99Z,5,50.2,2.75
62175,47.76Z,5,50.2,2.733333
62175,47.76Z,5,50.216667,2.8
62175,47.76Z,5,50.2,2.783333
62175,47.76Z,5,50.2,2.766667
62175,47.76Z,5,50.2,2.75
62175,45.4M,5,50.2,2.733333
62175,45.4M,5,50.216667,2.8
62175,45.4M,5,50.2,2.783333
62175,45.4M,5,50.2,2.766667
62175,45.4M,5,50.2,2.75
62175,01.50Z,5,50.2,2.733333
62175,01.50Z,5,50.216667,2.8
62175,01.50Z,5,50.2,2.783333
62175,01.50Z,5,50.2,2.766667
62175,01.50Z,5,50.2,2.75
62175,01.1C,5,50.2,2.733333
62175,01.1C,5,50.216667,2.8
62175,01.1C,5,50.2,2.783333
62175,01.1C,5,50.2,2.766667
62175,01.1C,5,50.2,2.75
62175,47.91A,5,50.2,2.733333
62175,47.91A,5,50.216667,2.8
62175,47.91A,5,50.2,2.783333
62175,47.91A,5,50.2,2.766667
62175,47.91A,5,50.2,2.75
62175,01.1A,15,50.2,2.733333
62175,01.1A,15,50.216667,2.8
62175,01.1A,15,50.2,2.783333
62175,01.1A,15,50.2,2.766667
62175,01.1A,15,50.2,2.75
62175,66.22Z,5,50.2,2.733333
62175,66.22Z,5,50.216667,2.8
62175,66.22Z,5,50.2,2.783333
62175,66.22Z,5,50.2,2.766667
62175,66.22Z,5,50.2,2.75
62175,88.99B,5,50.2,2.733333
62175,88.99B,5,50.216667,2.8
62175,88.99B,5,50.2,2.783333
62175,88.99B,5,50.2,2.766667
62175,88.99B,5,50.2,2.75
62175,52.6D,10,50.2,2.733333
62175,52.6D,10,50.216667,2.8
62175,52.6D,10,50.2,2.783333
62175,52.6D,10,50.2,2.766667
62175,52.6D,10,50.2,2.75
62175,68.20B,30,50.2,2.733333
62175,68.20B,30,50.216667,2.8
62175,68.20B,30,50.2,2.783333
62175,68.20B,30,50.2,2.766667
62175,68.20B,30,50.2,2.75
