codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
62230,47.99A,3,50.7,1.583333
62230,70.3A,1,50.7,1.583333
62230,55.3A,2,50.7,1.583333
62230,43.22A,3,50.7,1.583333
62230,02.10Z,2,50.7,1.583333
62230,01.11Z,3,50.7,1.583333
62230,47.79Z,1,50.7,1.583333
62230,49.41A,1,50.7,1.583333
62230,24.3Z,1,50.7,1.583333
62230,43.99A,2,50.7,1.583333
62230,95.29Z,1,50.7,1.583333
62230,68.20A,9,50.7,1.583333
62230,55.60,1,50.7,1.583333
62230,21.08,1,50.7,1.583333
62230,46.11Z,1,50.7,1.583333
62230,52.21Z,1,50.7,1.583333
62230,36.00Z,1,50.7,1.583333
62230,54.08,1,50.7,1.583333
62230,64.20Z,1,50.7,1.583333
62230,86.90E,6,50.7,1.583333
62230,52.29B,1,50.7,1.583333
62230,43.32B,1,50.7,1.583333
62230,82.11Z,1,50.7,1.583333
62230,43.91A,1,50.7,1.583333
62230,81.30Z,1,50.7,1.583333
62230,84.11Z,2,50.7,1.583333
62230,66.30Z,1,50.7,1.583333
62230,85.1G,2,50.7,1.583333
62230,01.3Z,5,50.7,1.583333
62230,01.4A,1,50.7,1.583333
62230,55.20Z,1,50.7,1.583333
62230,93.12Z,2,50.7,1.583333
62230,43.22B,1,50.7,1.583333
62230,43.32A,6,50.7,1.583333
62230,25.62B,1,50.7,1.583333
62230,74.1G,1,50.7,1.583333
62230,20.5C,1,50.7,1.583333
62230,37.00Z,1,50.7,1.583333
62230,55.4B,1,50.7,1.583333
62230,43.33Z,1,50.7,1.583333
62230,01.80,1,50.7,1.583333
62230,56.10A,2,50.7,1.583333
62230,86.90D,8,50.7,1.583333
62230,96.02A,2,50.7,1.583333
62230,51.1R,1,50.7,1.583333
62230,82.19Z,1,50.7,1.583333
62230,46.19B,1,50.7,1.583333
62230,77.31Z,1,50.7,1.583333
62230,45.3A,1,50.7,1.583333
62230,46.69B,1,50.7,1.583333
62230,94.12Z,1,50.7,1.583333
62230,43.91B,1,50.7,1.583333
62230,94.99Z,2,50.7,1.583333
62230,47.78C,1,50.7,1.583333
62230,45.4A,2,50.7,1.583333
62230,46.21Z,1,50.7,1.583333
62230,01.50Z,10,50.7,1.583333
62230,43.31Z,3,50.7,1.583333
62230,47.62Z,2,50.7,1.583333
62230,60.03,1,50.7,1.583333
62230,70.2C,1,50.7,1.583333
62230,46.61Z,4,50.7,1.583333
62230,86.21Z,1,50.7,1.583333
62230,96.02B,1,50.7,1.583333
62230,45.2A,1,50.7,1.583333
62230,45.32Z,3,50.7,1.583333
62230,47.81Z,3,50.7,1.583333
62230,01.41Z,5,50.7,1.583333
62230,68.31Z,1,50.7,1.583333
62230,01.42Z,4,50.7,1.583333
62230,85.59B,1,50.7,1.583333
62230,85.59A,2,50.7,1.583333
62230,22.02,1,50.7,1.583333
62230,43.99C,8,50.7,1.583333
62230,49.41B,3,50.7,1.583333
62230,10.71C,2,50.7,1.583333
62230,01.61Z,3,50.7,1.583333
62230,45.20A,1,50.7,1.583333
62230,66.21Z,1,50.7,1.583333
62230,41.20A,2,50.7,1.583333
62230,51.2A,1,50.7,1.583333
62230,52.6G,1,50.7,1.583333
62230,60.09,1,50.7,1.583333
62230,81.21Z,1,50.7,1.583333
62230,35.11Z,1,50.7,1.583333
62230,52.2E,1,50.7,1.583333
62230,43.12A,3,50.7,1.583333
62230,47.91A,1,50.7,1.583333
62230,46.73A,1,50.7,1.583333
62230,01.13Z,1,50.7,1.583333
62230,67.08,3,50.7,1.583333
62230,45.11Z,2,50.7,1.583333
62230,90.03B,1,50.7,1.583333
62230,01.1A,3,50.7,1.583333
62230,41.20B,1,50.7,1.583333
62230,86.90F,1,50.7,1.583333
62230,70.22Z,2,50.7,1.583333
62230,66.22Z,1,50.7,1.583333
62230,88.99B,1,50.7,1.583333
62230,93.29Z,1,50.7,1.583333
62230,55.1C,1,50.7,1.583333
62230,47.89Z,1,50.7,1.583333
62230,45.2V,2,50.7,1.583333
62230,43.21A,1,50.7,1.583333
62230,53.10Z,2,50.7,1.583333
62230,71.12B,1,50.7,1.583333
62230,52.6D,1,50.7,1.583333
62230,68.20B,23,50.7,1.583333
