codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
62320,64.11,4,50.383333,2.9
62320,64.11,4,50.383333,2.916667
62320,64.11,4,50.383333,2.916667
62320,64.11,4,50.383333,2.883333
62320,43.22A,8,50.383333,2.9
62320,43.22A,8,50.383333,2.916667
62320,43.22A,8,50.383333,2.916667
62320,43.22A,8,50.383333,2.883333
62320,67.05,4,50.383333,2.9
62320,67.05,4,50.383333,2.916667
62320,67.05,4,50.383333,2.916667
62320,67.05,4,50.383333,2.883333
62320,01.11Z,20,50.383333,2.9
62320,01.11Z,20,50.383333,2.916667
62320,01.11Z,20,50.383333,2.916667
62320,01.11Z,20,50.383333,2.883333
62320,68.20A,12,50.383333,2.9
62320,68.20A,12,50.383333,2.916667
62320,68.20A,12,50.383333,2.916667
62320,68.20A,12,50.383333,2.883333
62320,56.30Z,4,50.383333,2.9
62320,56.30Z,4,50.383333,2.916667
62320,56.30Z,4,50.383333,2.916667
62320,56.30Z,4,50.383333,2.883333
62320,85.10Z,4,50.383333,2.9
62320,85.10Z,4,50.383333,2.916667
62320,85.10Z,4,50.383333,2.916667
62320,85.10Z,4,50.383333,2.883333
62320,85.1C,4,50.383333,2.9
62320,85.1C,4,50.383333,2.916667
62320,85.1C,4,50.383333,2.916667
62320,85.1C,4,50.383333,2.883333
62320,81.22Z,4,50.383333,2.9
62320,81.22Z,4,50.383333,2.916667
62320,81.22Z,4,50.383333,2.916667
62320,81.22Z,4,50.383333,2.883333
62320,93.19Z,4,50.383333,2.9
62320,93.19Z,4,50.383333,2.916667
62320,93.19Z,4,50.383333,2.916667
62320,93.19Z,4,50.383333,2.883333
62320,64.20Z,4,50.383333,2.9
62320,64.20Z,4,50.383333,2.916667
62320,64.20Z,4,50.383333,2.916667
62320,64.20Z,4,50.383333,2.883333
62320,86.90E,8,50.383333,2.9
62320,86.90E,8,50.383333,2.916667
62320,86.90E,8,50.383333,2.916667
62320,86.90E,8,50.383333,2.883333
62320,03.22Z,4,50.383333,2.9
62320,03.22Z,4,50.383333,2.916667
62320,03.22Z,4,50.383333,2.916667
62320,03.22Z,4,50.383333,2.883333
62320,01.07,4,50.383333,2.9
62320,01.07,4,50.383333,2.916667
62320,01.07,4,50.383333,2.916667
62320,01.07,4,50.383333,2.883333
62320,56.10C,8,50.383333,2.9
62320,56.10C,8,50.383333,2.916667
62320,56.10C,8,50.383333,2.916667
62320,56.10C,8,50.383333,2.883333
62320,84.11Z,12,50.383333,2.9
62320,84.11Z,12,50.383333,2.916667
62320,84.11Z,12,50.383333,2.916667
62320,84.11Z,12,50.383333,2.883333
62320,66.30Z,4,50.383333,2.9
62320,66.30Z,4,50.383333,2.916667
62320,66.30Z,4,50.383333,2.916667
62320,66.30Z,4,50.383333,2.883333
62320,01.3Z,4,50.383333,2.9
62320,01.3Z,4,50.383333,2.916667
62320,01.3Z,4,50.383333,2.916667
62320,01.3Z,4,50.383333,2.883333
62320,93.12Z,4,50.383333,2.9
62320,93.12Z,4,50.383333,2.916667
62320,93.12Z,4,50.383333,2.916667
62320,93.12Z,4,50.383333,2.883333
62320,43.22B,4,50.383333,2.9
62320,43.22B,4,50.383333,2.916667
62320,43.22B,4,50.383333,2.916667
62320,43.22B,4,50.383333,2.883333
62320,74.1G,4,50.383333,2.9
62320,74.1G,4,50.383333,2.916667
62320,74.1G,4,50.383333,2.916667
62320,74.1G,4,50.383333,2.883333
62320,70.1F,8,50.383333,2.9
62320,70.1F,8,50.383333,2.916667
62320,70.1F,8,50.383333,2.916667
62320,70.1F,8,50.383333,2.883333
62320,59.20Z,4,50.383333,2.9
62320,59.20Z,4,50.383333,2.916667
62320,59.20Z,4,50.383333,2.916667
62320,59.20Z,4,50.383333,2.883333
62320,55.4B,4,50.383333,2.9
62320,55.4B,4,50.383333,2.916667
62320,55.4B,4,50.383333,2.916667
62320,55.4B,4,50.383333,2.883333
62320,74.1J,4,50.383333,2.9
62320,74.1J,4,50.383333,2.916667
62320,74.1J,4,50.383333,2.916667
62320,74.1J,4,50.383333,2.883333
62320,56.10A,4,50.383333,2.9
62320,56.10A,4,50.383333,2.916667
62320,56.10A,4,50.383333,2.916667
62320,56.10A,4,50.383333,2.883333
62320,96.02A,4,50.383333,2.9
62320,96.02A,4,50.383333,2.916667
62320,96.02A,4,50.383333,2.916667
62320,96.02A,4,50.383333,2.883333
62320,94.99Z,16,50.383333,2.9
62320,94.99Z,16,50.383333,2.916667
62320,94.99Z,16,50.383333,2.916667
62320,94.99Z,16,50.383333,2.883333
62320,62.01Z,4,50.383333,2.9
62320,62.01Z,4,50.383333,2.916667
62320,62.01Z,4,50.383333,2.916667
62320,62.01Z,4,50.383333,2.883333
62320,42.99Z,4,50.383333,2.9
62320,42.99Z,4,50.383333,2.916667
62320,42.99Z,4,50.383333,2.916667
62320,42.99Z,4,50.383333,2.883333
62320,01.1C,4,50.383333,2.9
62320,01.1C,4,50.383333,2.916667
62320,01.1C,4,50.383333,2.916667
62320,01.1C,4,50.383333,2.883333
62320,95.24Z,4,50.383333,2.9
62320,95.24Z,4,50.383333,2.916667
62320,95.24Z,4,50.383333,2.916667
62320,95.24Z,4,50.383333,2.883333
62320,86.21Z,4,50.383333,2.9
62320,86.21Z,4,50.383333,2.916667
62320,86.21Z,4,50.383333,2.916667
62320,86.21Z,4,50.383333,2.883333
62320,38.21Z,4,50.383333,2.9
62320,38.21Z,4,50.383333,2.916667
62320,38.21Z,4,50.383333,2.916667
62320,38.21Z,4,50.383333,2.883333
62320,43.99C,4,50.383333,2.9
62320,43.99C,4,50.383333,2.916667
62320,43.99C,4,50.383333,2.916667
62320,43.99C,4,50.383333,2.883333
62320,10.71C,4,50.383333,2.9
62320,10.71C,4,50.383333,2.916667
62320,10.71C,4,50.383333,2.916667
62320,10.71C,4,50.383333,2.883333
62320,01.61Z,4,50.383333,2.9
62320,01.61Z,4,50.383333,2.916667
62320,01.61Z,4,50.383333,2.916667
62320,01.61Z,4,50.383333,2.883333
62320,41.20A,8,50.383333,2.9
62320,41.20A,8,50.383333,2.916667
62320,41.20A,8,50.383333,2.916667
62320,41.20A,8,50.383333,2.883333
62320,47.91A,4,50.383333,2.9
62320,47.91A,4,50.383333,2.916667
62320,47.91A,4,50.383333,2.916667
62320,47.91A,4,50.383333,2.883333
62320,01.13Z,4,50.383333,2.9
