codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
62410,01.11Z,40,50.483333,2.85
62410,01.11Z,40,50.5,2.883333
62410,01.11Z,40,50.483333,2.816667
62410,01.11Z,40,50.483333,2.833333
62410,95.29Z,4,50.483333,2.85
62410,95.29Z,4,50.5,2.883333
62410,95.29Z,4,50.483333,2.816667
62410,95.29Z,4,50.483333,2.833333
62410,36.00Z,4,50.483333,2.85
62410,36.00Z,4,50.5,2.883333
62410,36.00Z,4,50.483333,2.816667
62410,36.00Z,4,50.483333,2.833333
62410,62.11,4,50.483333,2.85
62410,62.11,4,50.5,2.883333
62410,62.11,4,50.483333,2.816667
62410,62.11,4,50.483333,2.833333
62410,01.43Z,4,50.483333,2.85
62410,01.43Z,4,50.5,2.883333
62410,01.43Z,4,50.483333,2.816667
62410,01.43Z,4,50.483333,2.833333
62410,84.11Z,4,50.483333,2.85
62410,84.11Z,4,50.5,2.883333
62410,84.11Z,4,50.483333,2.816667
62410,84.11Z,4,50.483333,2.833333
62410,01.4B,4,50.483333,2.85
62410,01.4B,4,50.5,2.883333
62410,01.4B,4,50.483333,2.816667
62410,01.4B,4,50.483333,2.833333
62410,43.22B,4,50.483333,2.85
62410,43.22B,4,50.5,2.883333
62410,43.22B,4,50.483333,2.816667
62410,43.22B,4,50.483333,2.833333
62410,51.1A,4,50.483333,2.85
62410,51.1A,4,50.5,2.883333
62410,51.1A,4,50.483333,2.816667
62410,51.1A,4,50.483333,2.833333
62410,57.02,4,50.483333,2.85
62410,57.02,4,50.5,2.883333
62410,57.02,4,50.483333,2.816667
62410,57.02,4,50.483333,2.833333
62410,55.4B,8,50.483333,2.85
62410,55.4B,8,50.5,2.883333
62410,55.4B,8,50.483333,2.816667
62410,55.4B,8,50.483333,2.833333
62410,86.90D,8,50.483333,2.85
62410,86.90D,8,50.5,2.883333
62410,86.90D,8,50.483333,2.816667
62410,86.90D,8,50.483333,2.833333
62410,96.02A,4,50.483333,2.85
62410,96.02A,4,50.5,2.883333
62410,96.02A,4,50.483333,2.816667
62410,96.02A,4,50.483333,2.833333
62410,70.1C,4,50.483333,2.85
62410,70.1C,4,50.5,2.883333
62410,70.1C,4,50.483333,2.816667
62410,70.1C,4,50.483333,2.833333
62410,94.99Z,12,50.483333,2.85
