codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
62440,47.99A,5,50.45,2.9
62440,34.2A,1,50.45,2.9
62440,64.11,1,50.45,2.9
62440,55.3A,1,50.45,2.9
62440,43.22A,2,50.45,2.9
62440,67.05,1,50.45,2.9
62440,93.0D,1,50.45,2.9
62440,01.11Z,32,50.45,2.9
62440,09.90Z,1,50.45,2.9
62440,49.41A,2,50.45,2.9
62440,95.29Z,2,50.45,2.9
62440,52.4Z,1,50.45,2.9
62440,68.20A,7,50.45,2.9
62440,64.49,1,50.45,2.9
62440,45.3E,1,50.45,2.9
62440,45.2J,1,50.45,2.9
62440,56.30Z,2,50.45,2.9
62440,56.21Z,2,50.45,2.9
62440,85.1C,1,50.45,2.9
62440,62.11,1,50.45,2.9
62440,92.3J,2,50.45,2.9
62440,81.29B,2,50.45,2.9
62440,52.4X,1,50.45,2.9
62440,93.0N,1,50.45,2.9
62440,64.20Z,2,50.45,2.9
62440,86.90E,10,50.45,2.9
62440,90.01Z,1,50.45,2.9
62440,46.71Z,1,50.45,2.9
62440,82.20Z,1,50.45,2.9
62440,56.10C,4,50.45,2.9
62440,74.10Z,1,50.45,2.9
62440,81.30Z,2,50.45,2.9
62440,01.4B,1,50.45,2.9
62440,84.11Z,5,50.45,2.9
62440,10.13B,1,50.45,2.9
62440,64.45,1,50.45,2.9
62440,70.2B,1,50.45,2.9
62440,55.5A,1,50.45,2.9
62440,01.3Z,12,50.45,2.9
62440,93.12Z,2,50.45,2.9
62440,43.22B,1,50.45,2.9
62440,47.11B,2,50.45,2.9
62440,64.19Z,3,50.45,2.9
62440,02.20Z,3,50.45,2.9
62440,86.23Z,2,50.45,2.9
62440,55.4B,1,50.45,2.9
62440,01.80,3,50.45,2.9
62440,47.11D,1,50.45,2.9
62440,56.10A,1,50.45,2.9
62440,86.90D,15,50.45,2.9
62440,82.19Z,1,50.45,2.9
62440,96.02A,2,50.45,2.9
62440,46.19B,3,50.45,2.9
62440,45.3A,2,50.45,2.9
62440,69.12,2,50.45,2.9
62440,46.69B,1,50.45,2.9
62440,01.00,2,50.45,2.9
62440,10.89Z,1,50.45,2.9
62440,43.91B,2,50.45,2.9
62440,94.99Z,6,50.45,2.9
62440,67.2Z,2,50.45,2.9
