codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
62700,47.99A,2,"",""
62700,01.11Z,9,"",""
62700,45.2J,1,"",""
62700,36.00Z,1,"",""
62700,43.34Z,1,"",""
62700,01.07,1,"",""
62700,84.11Z,2,"",""
62700,01.3Z,5,"",""
62700,00.10,1,"",""
62700,72.5Z,1,"",""
62700,47.11B,1,"",""
62700,70.1F,1,"",""
62700,55.4B,1,"",""
62700,97.22,1,"",""
62700,43.33Z,1,"",""
62700,86.90D,3,"",""
62700,31.09B,1,"",""
62700,94.99Z,2,"",""
62700,47.76Z,1,"",""
62700,13.10Z,1,"",""
62700,87.03,1,"",""
62700,62.43,1,"",""
62700,42.99Z,1,"",""
62700,01.50Z,3,"",""
62700,43.31Z,1,"",""
62700,17.1H,1,"",""
62700,57.08,1,"",""
62700,45.2U,1,"",""
62700,01.42Z,1,"",""
62700,01.16Z,1,"",""
62700,96.09Z,1,"",""
62700,35.11Z,1,"",""
62700,67.08,1,"",""
62700,16.23Z,1,"",""
62700,01.1A,1,"",""
62700,01.62Z,1,"",""
62700,62.02A,1,"",""
62700,88.99B,1,"",""
62700,43.21A,1,"",""
62700,68.20B,5,"",""
