codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
62730,47.99A,10,50.95,1.95
62730,47.99A,10,50.9,1.933333
62730,55.3A,10,50.95,1.95
62730,55.3A,10,50.9,1.933333
62730,41.10A,2,50.95,1.95
62730,41.10A,2,50.9,1.933333
62730,93.0D,2,50.95,1.95
62730,93.0D,2,50.9,1.933333
62730,01.11Z,40,50.95,1.95
62730,01.11Z,40,50.9,1.933333
62730,47.79Z,2,50.95,1.95
62730,47.79Z,2,50.9,1.933333
62730,77.01,2,50.95,1.95
62730,77.01,2,50.9,1.933333
62730,60.01,2,50.95,1.95
62730,60.01,2,50.9,1.933333
62730,64.23,2,50.95,1.95
62730,64.23,2,50.9,1.933333
62730,68.20A,30,50.95,1.95
62730,68.20A,30,50.9,1.933333
62730,49.32Z,4,50.95,1.95
62730,49.32Z,4,50.9,1.933333
62730,55.60,6,50.95,1.95
62730,55.60,6,50.9,1.933333
62730,21.08,2,50.95,1.95
62730,21.08,2,50.9,1.933333
62730,72.2Z,2,50.95,1.95
62730,72.2Z,2,50.9,1.933333
62730,01.2E,2,50.95,1.95
62730,01.2E,2,50.9,1.933333
62730,36.00Z,8,50.95,1.95
62730,36.00Z,8,50.9,1.933333
62730,27.5G,2,50.95,1.95
62730,27.5G,2,50.9,1.933333
62730,43.34Z,2,50.95,1.95
62730,43.34Z,2,50.9,1.933333
62730,93.19Z,2,50.95,1.95
62730,93.19Z,2,50.9,1.933333
62730,80.20Z,4,50.95,1.95
62730,80.20Z,4,50.9,1.933333
62730,64.20Z,4,50.95,1.95
62730,64.20Z,4,50.9,1.933333
62730,86.90E,6,50.95,1.95
62730,86.90E,6,50.9,1.933333
62730,90.01Z,4,50.95,1.95
62730,90.01Z,4,50.9,1.933333
62730,82.20Z,2,50.95,1.95
62730,82.20Z,2,50.9,1.933333
62730,38.11Z,2,50.95,1.95
62730,38.11Z,2,50.9,1.933333
62730,47.82Z,4,50.95,1.95
62730,47.82Z,4,50.9,1.933333
62730,94.91Z,2,50.95,1.95
62730,94.91Z,2,50.9,1.933333
62730,38.31Z,2,50.95,1.95
62730,38.31Z,2,50.9,1.933333
62730,52.4R,2,50.95,1.95
62730,52.4R,2,50.9,1.933333
62730,74.10Z,4,50.95,1.95
62730,74.10Z,4,50.9,1.933333
62730,74.90A,2,50.95,1.95
62730,74.90A,2,50.9,1.933333
62730,56.10C,2,50.95,1.95
62730,56.10C,2,50.9,1.933333
62730,84.11Z,6,50.95,1.95
62730,84.11Z,6,50.9,1.933333
62730,66.30Z,2,50.95,1.95
62730,66.30Z,2,50.9,1.933333
62730,55.2C,2,50.95,1.95
62730,55.2C,2,50.9,1.933333
62730,"",2,50.95,1.95
62730,"",2,50.9,1.933333
62730,01.3Z,16,50.95,1.95
62730,01.3Z,16,50.9,1.933333
