codes_postaux,df1_activitePrincipaleUniteLegale,df1_count,latitude,longitude
63111,47.99A,1,45.766667,3.233333
63111,43.22A,1,45.766667,3.233333
63111,01.11Z,8,45.766667,3.233333
63111,81.22Z,1,45.766667,3.233333
63111,93.19Z,1,45.766667,3.233333
63111,01.43Z,1,45.766667,3.233333
63111,81.30Z,2,45.766667,3.233333
63111,84.11Z,1,45.766667,3.233333
63111,55.2C,1,45.766667,3.233333
63111,86.90D,1,45.766667,3.233333
63111,94.99Z,1,45.766667,3.233333
63111,82.99Z,1,45.766667,3.233333
63111,86.22C,1,45.766667,3.233333
63111,62.43,1,45.766667,3.233333
63111,90.12,1,45.766667,3.233333
63111,90.03A,1,45.766667,3.233333
63111,18.2C,1,45.766667,3.233333
63111,01.42Z,2,45.766667,3.233333
63111,49.41B,1,45.766667,3.233333
63111,01.61Z,1,45.766667,3.233333
63111,35.11Z,1,45.766667,3.233333
63111,88.99B,1,45.766667,3.233333
63111,85.51Z,1,45.766667,3.233333
63111,43.21A,2,45.766667,3.233333
63111,70.2A,1,45.766667,3.233333
63111,74.90B,1,45.766667,3.233333
63111,21.03,1,45.766667,3.233333
63111,68.20B,2,45.766667,3.233333
